"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Netlogo_H_17","Net_H"
"2",1,0.99825,0.00075,0.001,0,"Netlogo_H_17","Net_H"
"3",2,0.9975,0.0015,9e-04,1e-04,"Netlogo_H_17","Net_H"
"4",3,0.99685,0.0019,0.00105,2e-04,"Netlogo_H_17","Net_H"
"5",4,0.9963,0.00185,0.00145,4e-04,"Netlogo_H_17","Net_H"
"6",5,0.99565,0.002,0.0019,0.00045,"Netlogo_H_17","Net_H"
"7",6,0.99465,0.00255,0.0022,6e-04,"Netlogo_H_17","Net_H"
"8",7,0.9926,0.0043,0.0023,8e-04,"Netlogo_H_17","Net_H"
"9",8,0.9913,0.00505,0.00215,0.0015,"Netlogo_H_17","Net_H"
"10",9,0.9902,0.0051,0.00285,0.00185,"Netlogo_H_17","Net_H"
"11",10,0.9886,0.00545,0.00395,0.002,"Netlogo_H_17","Net_H"
"12",11,0.98565,0.0069,0.0049,0.00255,"Netlogo_H_17","Net_H"
"13",12,0.9818,0.0097,0.0056,0.0029,"Netlogo_H_17","Net_H"
"14",13,0.97805,0.01135,0.00725,0.00335,"Netlogo_H_17","Net_H"
"15",14,0.97295,0.01485,0.008,0.0042,"Netlogo_H_17","Net_H"
"16",15,0.9678,0.01735,0.00975,0.0051,"Netlogo_H_17","Net_H"
"17",16,0.962,0.01965,0.01185,0.0065,"Netlogo_H_17","Net_H"
"18",17,0.9543,0.02355,0.01455,0.0076,"Netlogo_H_17","Net_H"
"19",18,0.94505,0.0283,0.0181,0.00855,"Netlogo_H_17","Net_H"
"20",19,0.9331,0.0348,0.02155,0.01055,"Netlogo_H_17","Net_H"
"21",20,0.9202,0.04125,0.02585,0.0127,"Netlogo_H_17","Net_H"
"22",21,0.9039,0.0495,0.0318,0.0148,"Netlogo_H_17","Net_H"
"23",22,0.8843,0.06085,0.03655,0.0183,"Netlogo_H_17","Net_H"
"24",23,0.8616,0.07225,0.0445,0.02165,"Netlogo_H_17","Net_H"
"25",24,0.83565,0.08495,0.05245,0.02695,"Netlogo_H_17","Net_H"
"26",25,0.80625,0.09845,0.06325,0.03205,"Netlogo_H_17","Net_H"
"27",26,0.77,0.1148,0.0779,0.0373,"Netlogo_H_17","Net_H"
"28",27,0.72955,0.1348,0.09065,0.045,"Netlogo_H_17","Net_H"
"29",28,0.68575,0.1505,0.10985,0.0539,"Netlogo_H_17","Net_H"
"30",29,0.6367,0.16665,0.1322,0.06445,"Netlogo_H_17","Net_H"
"31",30,0.5839,0.18595,0.15235,0.0778,"Netlogo_H_17","Net_H"
"32",31,0.526,0.2055,0.17635,0.09215,"Netlogo_H_17","Net_H"
"33",32,0.46745,0.2221,0.1992,0.11125,"Netlogo_H_17","Net_H"
"34",33,0.4044,0.24005,0.22335,0.1322,"Netlogo_H_17","Net_H"
"35",34,0.3468,0.2482,0.24955,0.15545,"Netlogo_H_17","Net_H"
