"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Netlogo_H_28","Net_H"
"2",1,0.9988,2e-04,0.001,0,"Netlogo_H_28","Net_H"
"3",2,0.99755,0.00145,0.001,0,"Netlogo_H_28","Net_H"
"4",3,0.9969,0.00205,9e-04,0.00015,"Netlogo_H_28","Net_H"
"5",4,0.9962,0.00225,0.00135,2e-04,"Netlogo_H_28","Net_H"
"6",5,0.9955,0.00255,0.0017,0.00025,"Netlogo_H_28","Net_H"
"7",6,0.99445,0.00305,0.0021,4e-04,"Netlogo_H_28","Net_H"
"8",7,0.99285,0.00425,0.00225,0.00065,"Netlogo_H_28","Net_H"
"9",8,0.9915,0.0047,0.0029,9e-04,"Netlogo_H_28","Net_H"
"10",9,0.98985,0.00525,0.00365,0.00125,"Netlogo_H_28","Net_H"
"11",10,0.98665,0.0076,0.004,0.00175,"Netlogo_H_28","Net_H"
"12",11,0.98445,0.0083,0.00525,0.002,"Netlogo_H_28","Net_H"
"13",12,0.9802,0.01065,0.0067,0.00245,"Netlogo_H_28","Net_H"
"14",13,0.97485,0.014,0.0081,0.00305,"Netlogo_H_28","Net_H"
"15",14,0.96855,0.0179,0.00955,0.004,"Netlogo_H_28","Net_H"
"16",15,0.96265,0.0206,0.01205,0.0047,"Netlogo_H_28","Net_H"
"17",16,0.954,0.0252,0.015,0.0058,"Netlogo_H_28","Net_H"
"18",17,0.9448,0.03,0.01815,0.00705,"Netlogo_H_28","Net_H"
"19",18,0.93335,0.0362,0.0212,0.00925,"Netlogo_H_28","Net_H"
"20",19,0.92075,0.042,0.02635,0.0109,"Netlogo_H_28","Net_H"
"21",20,0.90315,0.0514,0.03195,0.0135,"Netlogo_H_28","Net_H"
"22",21,0.8827,0.06215,0.03815,0.017,"Netlogo_H_28","Net_H"
"23",22,0.8578,0.0753,0.0465,0.0204,"Netlogo_H_28","Net_H"
"24",23,0.8311,0.08845,0.05505,0.0254,"Netlogo_H_28","Net_H"
"25",24,0.80265,0.09925,0.0678,0.0303,"Netlogo_H_28","Net_H"
"26",25,0.76585,0.1163,0.08165,0.0362,"Netlogo_H_28","Net_H"
"27",26,0.72465,0.1358,0.0955,0.04405,"Netlogo_H_28","Net_H"
"28",27,0.67785,0.1573,0.11105,0.0538,"Netlogo_H_28","Net_H"
"29",28,0.62735,0.1767,0.1315,0.06445,"Netlogo_H_28","Net_H"
"30",29,0.57215,0.19685,0.1541,0.0769,"Netlogo_H_28","Net_H"
"31",30,0.5141,0.21585,0.1775,0.09255,"Netlogo_H_28","Net_H"
"32",31,0.4561,0.22865,0.20305,0.1122,"Netlogo_H_28","Net_H"
"33",32,0.39435,0.2401,0.2345,0.13105,"Netlogo_H_28","Net_H"
"34",33,0.33535,0.24865,0.25975,0.15625,"Netlogo_H_28","Net_H"
"35",34,0.27935,0.25055,0.28535,0.18475,"Netlogo_H_28","Net_H"
"36",35,0.2259,0.2507,0.3094,0.214,"Netlogo_H_28","Net_H"
"37",36,0.18215,0.23735,0.33215,0.24835,"Netlogo_H_28","Net_H"
"38",37,0.145,0.2207,0.3488,0.2855,"Netlogo_H_28","Net_H"
"39",38,0.11515,0.1969,0.3627,0.32525,"Netlogo_H_28","Net_H"
"40",39,0.08925,0.1769,0.3667,0.36715,"Netlogo_H_28","Net_H"
"41",40,0.0717,0.15235,0.3666,0.40935,"Netlogo_H_28","Net_H"
"42",41,0.05665,0.1302,0.3588,0.45435,"Netlogo_H_28","Net_H"
"43",42,0.04675,0.1068,0.35145,0.495,"Netlogo_H_28","Net_H"
"44",43,0.0391,0.08905,0.33345,0.5384,"Netlogo_H_28","Net_H"
"45",44,0.03275,0.07415,0.31535,0.57775,"Netlogo_H_28","Net_H"
"46",45,0.0282,0.06125,0.29585,0.6147,"Netlogo_H_28","Net_H"
"47",46,0.0248,0.0511,0.27365,0.65045,"Netlogo_H_28","Net_H"
"48",47,0.02275,0.04135,0.25125,0.68465,"Netlogo_H_28","Net_H"
"49",48,0.021,0.03535,0.22915,0.7145,"Netlogo_H_28","Net_H"
"50",49,0.01995,0.02925,0.2068,0.744,"Netlogo_H_28","Net_H"
"51",50,0.0199,0.0242,0.18765,0.76825,"Netlogo_H_28","Net_H"
"52",51,0.0198,0.02085,0.17095,0.7884,"Netlogo_H_28","Net_H"
"53",52,0.0194,0.01815,0.15505,0.8074,"Netlogo_H_28","Net_H"
"54",53,0.0199,0.01555,0.13895,0.8256,"Netlogo_H_28","Net_H"
"55",54,0.02025,0.0136,0.1257,0.84045,"Netlogo_H_28","Net_H"
"56",55,0.0208,0.01195,0.11175,0.8555,"Netlogo_H_28","Net_H"
"57",56,0.02185,0.0106,0.09995,0.8676,"Netlogo_H_28","Net_H"
"58",57,0.02335,0.00975,0.0893,0.8776,"Netlogo_H_28","Net_H"
"59",58,0.0253,0.008,0.0801,0.8866,"Netlogo_H_28","Net_H"
"60",59,0.028,0.0064,0.07125,0.89435,"Netlogo_H_28","Net_H"
"61",60,0.0304,0.00595,0.06325,0.9004,"Netlogo_H_28","Net_H"
"62",61,0.0321,0.0058,0.0564,0.9057,"Netlogo_H_28","Net_H"
"63",62,0.03485,0.0055,0.0507,0.90895,"Netlogo_H_28","Net_H"
"64",63,0.03705,0.0052,0.04565,0.9121,"Netlogo_H_28","Net_H"
"65",64,0.03875,0.00485,0.04015,0.91625,"Netlogo_H_28","Net_H"
"66",65,0.04145,0.0045,0.03585,0.9182,"Netlogo_H_28","Net_H"
"67",66,0.0434,0.0047,0.0315,0.9204,"Netlogo_H_28","Net_H"
"68",67,0.04585,0.0044,0.02945,0.9203,"Netlogo_H_28","Net_H"
"69",68,0.0492,0.0042,0.0265,0.9201,"Netlogo_H_28","Net_H"
"70",69,0.05125,0.00425,0.0236,0.9209,"Netlogo_H_28","Net_H"
"71",70,0.05425,0.00385,0.0212,0.9207,"Netlogo_H_28","Net_H"
"72",71,0.0565,0.00375,0.01845,0.9213,"Netlogo_H_28","Net_H"
"73",72,0.0589,0.0034,0.0168,0.9209,"Netlogo_H_28","Net_H"
"74",73,0.06155,0.0031,0.01535,0.92,"Netlogo_H_28","Net_H"
"75",74,0.06385,0.00285,0.01395,0.91935,"Netlogo_H_28","Net_H"
"76",75,0.06645,0.00285,0.01305,0.91765,"Netlogo_H_28","Net_H"
"77",76,0.069,0.00295,0.01165,0.9164,"Netlogo_H_28","Net_H"
"78",77,0.0714,0.00315,0.0108,0.91465,"Netlogo_H_28","Net_H"
"79",78,0.0742,0.00265,0.0105,0.91265,"Netlogo_H_28","Net_H"
"80",79,0.07665,0.00285,0.0098,0.9107,"Netlogo_H_28","Net_H"
"81",80,0.07885,0.00265,0.0088,0.9097,"Netlogo_H_28","Net_H"
"82",81,0.0814,0.002,0.00845,0.90815,"Netlogo_H_28","Net_H"
"83",82,0.0844,0.002,0.00815,0.90545,"Netlogo_H_28","Net_H"
"84",83,0.0868,0.00195,0.00735,0.9039,"Netlogo_H_28","Net_H"
"85",84,0.08915,0.00185,0.0068,0.9022,"Netlogo_H_28","Net_H"
"86",85,0.0916,0.00175,0.006,0.90065,"Netlogo_H_28","Net_H"
"87",86,0.0943,0.0016,0.0057,0.8984,"Netlogo_H_28","Net_H"
"88",87,0.0967,0.0017,0.00555,0.89605,"Netlogo_H_28","Net_H"
"89",88,0.0994,0.00185,0.0052,0.89355,"Netlogo_H_28","Net_H"
"90",89,0.1026,0.00175,0.0051,0.89055,"Netlogo_H_28","Net_H"
"91",90,0.10495,0.00175,0.00505,0.88825,"Netlogo_H_28","Net_H"
"92",91,0.10665,0.00135,0.00535,0.88665,"Netlogo_H_28","Net_H"
"93",92,0.10875,0.0014,0.00515,0.8847,"Netlogo_H_28","Net_H"
"94",93,0.1111,0.0016,0.00485,0.88245,"Netlogo_H_28","Net_H"
"95",94,0.1138,0.00145,0.0046,0.88015,"Netlogo_H_28","Net_H"
"96",95,0.11645,0.00155,0.0043,0.8777,"Netlogo_H_28","Net_H"
"97",96,0.1186,0.0014,0.0043,0.8757,"Netlogo_H_28","Net_H"
"98",97,0.12125,0.00145,0.00355,0.87375,"Netlogo_H_28","Net_H"
"99",98,0.12375,0.00125,0.00335,0.87165,"Netlogo_H_28","Net_H"
"100",99,0.12625,0.00125,0.0031,0.8694,"Netlogo_H_28","Net_H"
"101",100,0.12825,0.0012,0.00295,0.8676,"Netlogo_H_28","Net_H"
"102",101,0.13085,0.0012,0.0029,0.86505,"Netlogo_H_28","Net_H"
"103",102,0.13395,7e-04,0.003,0.86235,"Netlogo_H_28","Net_H"
"104",103,0.13635,0.00095,0.0028,0.8599,"Netlogo_H_28","Net_H"
"105",104,0.13825,0.00085,0.00265,0.85825,"Netlogo_H_28","Net_H"
"106",105,0.14065,0.00085,0.00255,0.85595,"Netlogo_H_28","Net_H"
"107",106,0.1434,9e-04,0.00205,0.85365,"Netlogo_H_28","Net_H"
"108",107,0.1456,0.00095,0.00195,0.8515,"Netlogo_H_28","Net_H"
"109",108,0.14845,6e-04,0.00205,0.8489,"Netlogo_H_28","Net_H"
"110",109,0.1504,0.00075,0.0018,0.84705,"Netlogo_H_28","Net_H"
"111",110,0.15285,0.001,0.00175,0.8444,"Netlogo_H_28","Net_H"
"112",111,0.15585,9e-04,0.00155,0.8417,"Netlogo_H_28","Net_H"
"113",112,0.158,0.001,0.00175,0.83925,"Netlogo_H_28","Net_H"
"114",113,0.16085,0.00075,0.002,0.8364,"Netlogo_H_28","Net_H"
"115",114,0.16265,7e-04,0.002,0.83465,"Netlogo_H_28","Net_H"
"116",115,0.16545,8e-04,0.00195,0.8318,"Netlogo_H_28","Net_H"
"117",116,0.16795,7e-04,0.00205,0.8293,"Netlogo_H_28","Net_H"
"118",117,0.17025,0.00095,0.00205,0.82675,"Netlogo_H_28","Net_H"
"119",118,0.1725,9e-04,0.00195,0.82465,"Netlogo_H_28","Net_H"
"120",119,0.1752,0.00075,0.002,0.82205,"Netlogo_H_28","Net_H"
"121",120,0.1777,7e-04,0.0021,0.8195,"Netlogo_H_28","Net_H"
"122",121,0.1801,9e-04,0.00195,0.81705,"Netlogo_H_28","Net_H"
"123",122,0.182,0.00095,0.00205,0.815,"Netlogo_H_28","Net_H"
"124",123,0.18375,0.0012,0.002,0.81305,"Netlogo_H_28","Net_H"
"125",124,0.18555,0.00135,0.00185,0.81125,"Netlogo_H_28","Net_H"
"126",125,0.18815,0.0012,0.0018,0.80885,"Netlogo_H_28","Net_H"
