"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Netlogo_H_19","Net_H"
"2",1,0.9984,6e-04,0.001,0,"Netlogo_H_19","Net_H"
"3",2,0.99765,0.00135,8e-04,2e-04,"Netlogo_H_19","Net_H"
"4",3,0.9971,0.0017,0.001,2e-04,"Netlogo_H_19","Net_H"
"5",4,0.99625,0.0022,0.0013,0.00025,"Netlogo_H_19","Net_H"
"6",5,0.9951,0.003,0.00165,0.00025,"Netlogo_H_19","Net_H"
"7",6,0.99395,0.0037,0.002,0.00035,"Netlogo_H_19","Net_H"
"8",7,0.9925,0.00425,0.0027,0.00055,"Netlogo_H_19","Net_H"
"9",8,0.99085,0.0051,0.00325,8e-04,"Netlogo_H_19","Net_H"
"10",9,0.98915,0.00585,0.00385,0.00115,"Netlogo_H_19","Net_H"
"11",10,0.9864,0.0071,0.00485,0.00165,"Netlogo_H_19","Net_H"
"12",11,0.98285,0.00925,0.00565,0.00225,"Netlogo_H_19","Net_H"
"13",12,0.97915,0.0115,0.00665,0.0027,"Netlogo_H_19","Net_H"
"14",13,0.974,0.01515,0.00765,0.0032,"Netlogo_H_19","Net_H"
"15",14,0.96865,0.0178,0.00965,0.0039,"Netlogo_H_19","Net_H"
"16",15,0.962,0.02145,0.01145,0.0051,"Netlogo_H_19","Net_H"
"17",16,0.95445,0.02515,0.01405,0.00635,"Netlogo_H_19","Net_H"
"18",17,0.945,0.029,0.0184,0.0076,"Netlogo_H_19","Net_H"
"19",18,0.93175,0.0366,0.0224,0.00925,"Netlogo_H_19","Net_H"
"20",19,0.91765,0.04405,0.0275,0.0108,"Netlogo_H_19","Net_H"
"21",20,0.9027,0.0507,0.03305,0.01355,"Netlogo_H_19","Net_H"
"22",21,0.8826,0.06095,0.0403,0.01615,"Netlogo_H_19","Net_H"
"23",22,0.85695,0.0744,0.04795,0.0207,"Netlogo_H_19","Net_H"
"24",23,0.83095,0.08655,0.0565,0.026,"Netlogo_H_19","Net_H"
"25",24,0.7979,0.10225,0.06965,0.0302,"Netlogo_H_19","Net_H"
"26",25,0.75685,0.1232,0.08345,0.0365,"Netlogo_H_19","Net_H"
"27",26,0.71575,0.14125,0.09855,0.04445,"Netlogo_H_19","Net_H"
"28",27,0.66595,0.16295,0.1171,0.054,"Netlogo_H_19","Net_H"
"29",28,0.61295,0.18185,0.1393,0.0659,"Netlogo_H_19","Net_H"
"30",29,0.55635,0.2037,0.15975,0.0802,"Netlogo_H_19","Net_H"
"31",30,0.4983,0.221,0.1844,0.0963,"Netlogo_H_19","Net_H"
"32",31,0.4378,0.2361,0.21165,0.11445,"Netlogo_H_19","Net_H"
"33",32,0.3787,0.24625,0.24005,0.135,"Netlogo_H_19","Net_H"
"34",33,0.3196,0.2549,0.26485,0.16065,"Netlogo_H_19","Net_H"
"35",34,0.2639,0.25765,0.2898,0.18865,"Netlogo_H_19","Net_H"
"36",35,0.2137,0.2519,0.31745,0.21695,"Netlogo_H_19","Net_H"
