step,S,E,I,R
0,0.99995,0.0,5.0e-5,0.0
1,0.99995,0.0,5.0e-5,0.0
2,0.99995,0.0,5.0e-5,0.0
3,0.9999,5.0e-5,5.0e-5,0.0
4,0.9999,5.0e-5,5.0e-5,0.0
5,0.99985,5.0e-5,0.0001,0.0
6,0.99985,5.0e-5,0.0001,0.0
7,0.9998,0.0001,0.0001,0.0
8,0.9997,0.0002,0.0001,0.0
9,0.99955,0.00035,0.0001,0.0
10,0.9994,0.0005,5.0e-5,5.0e-5
11,0.99935,0.00045,0.00015,5.0e-5
12,0.9993,0.0004,0.00025,5.0e-5
13,0.99895,0.0007,0.0002,0.00015
14,0.99855,0.00085,0.00045,0.00015
15,0.9982,0.00115,0.00045,0.0002
16,0.99745,0.00145,0.0009,0.0002
17,0.9966,0.0021,0.001,0.0003
18,0.99565,0.00285,0.00115,0.00035
19,0.99475,0.00315,0.0016,0.0005
20,0.9936,0.00365,0.00215,0.0006
21,0.99115,0.00525,0.0028,0.0008
22,0.98915,0.00625,0.0036,0.001
23,0.98665,0.0074,0.0046,0.00135
24,0.98245,0.0101,0.0057,0.00175
25,0.97765,0.01295,0.00675,0.00265
26,0.9713,0.0171,0.0082,0.0034
27,0.9646,0.021,0.01005,0.00435
28,0.9562,0.0255,0.0131,0.0052
29,0.9447,0.03195,0.0168,0.00655
30,0.93055,0.0405,0.0213,0.00765
31,0.91415,0.0497,0.02635,0.0098
32,0.8932,0.0616,0.0327,0.0125
33,0.8695,0.07445,0.04035,0.0157
34,0.83905,0.08965,0.0521,0.0192
35,0.8017,0.1108,0.06345,0.02405
36,0.7575,0.1335,0.07915,0.02985
37,0.7077,0.15905,0.0959,0.03735
38,0.6508,0.1862,0.11495,0.04805
39,0.5906,0.2101,0.1397,0.0596
40,0.52555,0.2325,0.1685,0.07345
41,0.4547,0.2588,0.19715,0.08935
42,0.3863,0.27365,0.2291,0.11095
43,0.3175,0.284,0.26435,0.13415
44,0.255,0.2873,0.29565,0.16205
45,0.1982,0.2815,0.326,0.1943
46,0.15505,0.2654,0.35045,0.2291
47,0.1185,0.2409,0.3726,0.268
48,0.08965,0.21155,0.38915,0.30965
49,0.0668,0.18305,0.39715,0.353
50,0.05235,0.15505,0.3974,0.3952
51,0.04005,0.12875,0.39125,0.43995
52,0.03355,0.105,0.373,0.48845
53,0.02755,0.08645,0.3553,0.5307
54,0.02345,0.071,0.33225,0.5733
55,0.02105,0.05625,0.30805,0.61465
56,0.0193,0.04755,0.28115,0.652
57,0.0181,0.0392,0.25575,0.68695
58,0.0181,0.03175,0.23415,0.716
59,0.01865,0.0257,0.20945,0.7462
60,0.01885,0.0211,0.1861,0.77395
61,0.01945,0.0183,0.1667,0.79555
62,0.01975,0.0155,0.1483,0.81645
63,0.02145,0.01285,0.1316,0.8341
64,0.02215,0.0115,0.11675,0.8496
65,0.0244,0.0105,0.1032,0.8619
66,0.0255,0.0092,0.0926,0.8727
67,0.0273,0.00825,0.082,0.88245
68,0.02915,0.0076,0.0726,0.89065
69,0.031,0.00645,0.0652,0.89735
70,0.0326,0.00605,0.05845,0.9029
71,0.0341,0.00555,0.0525,0.90785
72,0.03605,0.0053,0.0468,0.91185
73,0.03765,0.0048,0.04205,0.9155
74,0.03925,0.00505,0.0377,0.918
75,0.0405,0.00495,0.03395,0.9206
76,0.04265,0.0049,0.03025,0.9222
77,0.0451,0.0041,0.027,0.9238
78,0.04735,0.00385,0.0248,0.924
79,0.04975,0.0039,0.02235,0.924
80,0.05275,0.00405,0.0198,0.9234
81,0.05455,0.004,0.0183,0.92315
82,0.05755,0.00365,0.0163,0.9225
83,0.06045,0.00335,0.0148,0.9214
84,0.0628,0.00315,0.01365,0.9204
85,0.06545,0.00315,0.01205,0.91935
86,0.0681,0.003,0.0111,0.9178
87,0.0703,0.0025,0.01055,0.91665
88,0.07265,0.00255,0.00965,0.91515
89,0.07575,0.00245,0.0087,0.9131
90,0.07765,0.00205,0.00765,0.91265
91,0.08005,0.00165,0.0073,0.911
92,0.0829,0.00165,0.00675,0.9087
93,0.08455,0.0022,0.0061,0.90715
94,0.0872,0.0021,0.00625,0.90445
95,0.08945,0.00185,0.00625,0.90245
96,0.0918,0.0018,0.006,0.9004
97,0.0939,0.00175,0.00565,0.8987
98,0.0962,0.00175,0.00525,0.8968
99,0.0984,0.00155,0.0049,0.89515
100,0.10065,0.00155,0.00475,0.89305
101,0.10335,0.0014,0.0046,0.89065
102,0.1064,0.0013,0.00405,0.88825
103,0.10965,0.0013,0.0037,0.88535
104,0.1118,0.00125,0.00325,0.8837
105,0.11385,0.0012,0.0031,0.88185
106,0.1167,0.00125,0.00255,0.8795
107,0.1195,0.001,0.00235,0.87715
108,0.1214,0.00095,0.00215,0.8755
109,0.12435,0.00095,0.002,0.8727
110,0.12735,0.00095,0.00185,0.86985
111,0.12995,0.0011,0.00175,0.8672
112,0.13225,0.00095,0.0017,0.8651
113,0.1349,0.00075,0.0018,0.86255
114,0.1384,0.00075,0.00165,0.8592
