step,S,E,I,R
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.99835,0.00065,0.001,0
3,0.9974,0.0016,8e-04,2e-04
4,0.99695,0.0019,0.00085,3e-04
5,0.9963,0.0023,0.001,4e-04
6,0.9954,0.0027,0.0015,4e-04
7,0.99445,0.0032,0.0019,0.00045
8,0.99265,0.0042,0.00235,8e-04
9,0.99085,0.0055,0.0028,0.00085
10,0.98865,0.0069,0.0031,0.00135
11,0.9865,0.0076,0.00445,0.00145
12,0.98325,0.00945,0.00535,0.00195
13,0.97935,0.0121,0.00595,0.0026
14,0.9742,0.01515,0.00755,0.0031
15,0.96915,0.0169,0.00995,0.004
16,0.96195,0.0207,0.01265,0.0047
17,0.95255,0.0272,0.01455,0.0057
18,0.94195,0.03245,0.01845,0.00715
19,0.929,0.0391,0.0231,0.0088
20,0.91315,0.04705,0.0284,0.0114
21,0.8935,0.059,0.0332,0.0143
22,0.87095,0.07045,0.0417,0.0169
23,0.8445,0.08285,0.05155,0.0211
24,0.8109,0.09985,0.06425,0.025
25,0.7719,0.1213,0.0756,0.0312
26,0.72735,0.142,0.09215,0.0385
27,0.67605,0.16585,0.10955,0.04855
28,0.61805,0.1897,0.13235,0.0599
29,0.5581,0.21575,0.1531,0.07305
30,0.49725,0.2333,0.1807,0.08875
31,0.43345,0.25055,0.20875,0.10725
32,0.3672,0.26425,0.2412,0.12735
33,0.30465,0.2722,0.27155,0.1516
34,0.24925,0.27045,0.3009,0.1794
35,0.19795,0.26015,0.3319,0.21
36,0.1539,0.2465,0.35545,0.24415
37,0.1152,0.2299,0.37015,0.28475
38,0.0868,0.20595,0.3815,0.32575
39,0.06645,0.1758,0.38835,0.3694
40,0.0492,0.1487,0.3885,0.4136
41,0.03825,0.1215,0.38375,0.4565
42,0.0289,0.1018,0.36725,0.50205
43,0.02255,0.0834,0.34935,0.5447
44,0.01815,0.0681,0.32785,0.5859
45,0.0163,0.0543,0.30625,0.62315
46,0.0143,0.04445,0.28065,0.6606
47,0.01415,0.03485,0.2562,0.6948
48,0.01365,0.0279,0.23225,0.7262
49,0.01355,0.0223,0.21045,0.7537
50,0.0142,0.018,0.18915,0.77865
51,0.0149,0.0154,0.16925,0.80045
52,0.0151,0.0128,0.1521,0.82
53,0.01495,0.0118,0.1349,0.83835
54,0.0159,0.0104,0.11855,0.85515
55,0.01675,0.0093,0.1056,0.86835
56,0.01845,0.0081,0.09195,0.8815
57,0.0196,0.0074,0.08185,0.89115
58,0.02095,0.00705,0.07225,0.89975
59,0.0236,0.0061,0.06525,0.90505
60,0.0258,0.006,0.0581,0.9101
61,0.02725,0.00525,0.0505,0.917
62,0.02885,0.00515,0.04505,0.92095
63,0.03075,0.00525,0.03965,0.92435
64,0.0333,0.0046,0.0361,0.926
65,0.03625,0.0042,0.0328,0.92675
66,0.03905,0.0036,0.0301,0.92725
67,0.04065,0.004,0.0272,0.92815
68,0.04335,0.0041,0.02465,0.9279
69,0.04595,0.0034,0.0226,0.92805
70,0.0478,0.00395,0.02035,0.9279
71,0.04995,0.00425,0.0178,0.928
72,0.052,0.0042,0.0156,0.9282
73,0.0544,0.00345,0.01425,0.9279
74,0.05755,0.0029,0.0138,0.92575
75,0.06045,0.00315,0.01235,0.92405
76,0.06315,0.0029,0.01135,0.9226
77,0.06585,0.00255,0.0104,0.9212
78,0.0681,0.0022,0.01005,0.91965
79,0.0709,0.0022,0.00925,0.91765
80,0.0734,0.00225,0.0086,0.91575
81,0.07575,0.0021,0.00785,0.9143
82,0.07855,0.002,0.0075,0.91195
83,0.08115,0.00205,0.0064,0.9104
84,0.0846,0.002,0.00565,0.90775
85,0.0876,0.00165,0.0055,0.90525
86,0.09105,0.00165,0.005,0.9023
87,0.0935,0.0017,0.00455,0.90025
88,0.0956,0.0017,0.0044,0.8983
89,0.09855,0.0018,0.00405,0.8956
90,0.10135,0.00145,0.0043,0.8929
91,0.1047,0.00155,0.00395,0.8898
92,0.1072,0.0018,0.0035,0.8875
93,0.1103,0.00165,0.00325,0.8848
94,0.1126,0.00175,0.0033,0.88235
95,0.11525,0.0017,0.0034,0.87965
96,0.117,0.00175,0.00315,0.8781
97,0.11905,0.0017,0.00285,0.8764
98,0.1215,0.00175,0.0027,0.87405
99,0.12435,0.00125,0.0025,0.8719
100,0.12675,0.0015,0.00235,0.8694
101,0.1296,0.0013,0.00245,0.86665
102,0.1324,0.0012,0.00265,0.86375
103,0.13465,0.00125,0.00255,0.86155
104,0.1366,0.0011,0.0025,0.8598
105,0.13975,0.0012,0.00225,0.8568
106,0.14215,0.0012,0.0022,0.85445
107,0.14465,0.00125,0.00225,0.85185
108,0.1467,0.0013,0.00215,0.84985
109,0.1489,0.00135,0.0021,0.84765
110,0.15195,0.0012,0.0023,0.84455
111,0.1547,0.0013,0.00215,0.84185
112,0.15705,0.00125,0.00215,0.83955
113,0.15915,0.0012,0.0024,0.83725
114,0.161,0.0016,0.00225,0.83515
115,0.1629,0.0016,0.00205,0.83345
116,0.1654,0.0016,0.0021,0.8309
117,0.16715,0.0014,0.0023,0.82915
118,0.16945,0.0017,0.00225,0.8266
119,0.1719,0.00145,0.0025,0.82415
120,0.1741,0.0013,0.0024,0.8222
121,0.17665,0.00125,0.0026,0.8195
122,0.17895,0.00135,0.00275,0.81695
123,0.1813,0.0015,0.00275,0.81445
124,0.18345,0.0014,0.0026,0.81255
125,0.18515,0.00165,0.00265,0.81055
126,0.18675,0.0016,0.00295,0.8087
127,0.18835,0.00165,0.00285,0.80715
128,0.19,0.0017,0.00295,0.80535
129,0.1923,0.0017,0.00295,0.80305
130,0.19425,0.00195,0.00265,0.80115
131,0.1958,0.00185,0.00275,0.7996
132,0.19845,0.00195,0.00305,0.79655
133,0.20065,0.0022,0.00315,0.794
134,0.2024,0.0024,0.00325,0.79195
135,0.2047,0.0023,0.0032,0.7898
136,0.2067,0.00205,0.0035,0.78775
137,0.20885,0.0019,0.0037,0.78555
138,0.21145,0.00215,0.00355,0.78285
139,0.21345,0.0022,0.0037,0.78065
140,0.21485,0.00245,0.00375,0.77895
141,0.2166,0.00235,0.0037,0.77735
142,0.2185,0.00255,0.00395,0.775
143,0.2207,0.0028,0.0041,0.7724
144,0.22235,0.00265,0.0045,0.7705
145,0.22425,0.0027,0.0047,0.76835
146,0.2256,0.0031,0.0047,0.7666
147,0.22685,0.00335,0.0047,0.7651
148,0.2282,0.00335,0.00495,0.7635
149,0.22985,0.00315,0.00475,0.76225
150,0.2312,0.00295,0.00505,0.7608
151,0.2325,0.0032,0.00485,0.75945
152,0.23345,0.00325,0.00525,0.75805
153,0.23515,0.00325,0.0052,0.7564
154,0.2359,0.0039,0.00525,0.75495
155,0.2367,0.00455,0.0053,0.75345
156,0.23825,0.00465,0.0054,0.7517
157,0.23915,0.0047,0.00575,0.7504
158,0.23965,0.005,0.00635,0.749
159,0.24105,0.00525,0.0065,0.7472
160,0.24225,0.00495,0.007,0.7458
161,0.24295,0.00535,0.00675,0.74495
162,0.24385,0.00585,0.00685,0.74345
163,0.246,0.0059,0.0073,0.7408
164,0.2469,0.0056,0.00765,0.73985
165,0.24785,0.0051,0.0085,0.73855
166,0.24935,0.0048,0.00895,0.7369
167,0.2507,0.0049,0.00915,0.73525
168,0.2522,0.0049,0.00855,0.73435
169,0.25335,0.005,0.00915,0.7325
170,0.2537,0.0049,0.0098,0.7316
171,0.25385,0.006,0.01,0.73015
172,0.254,0.00675,0.0103,0.72895
173,0.254,0.0075,0.01065,0.72785
174,0.2544,0.00765,0.0112,0.72675
175,0.25485,0.0083,0.0108,0.72605
176,0.2543,0.00865,0.0116,0.72545
