step,S,E,I,R
147,0.22935,0.00435,0.0065,0.7598
148,0.2314,0.0042,0.0069,0.7575
149,0.23245,0.00445,0.007,0.7561
150,0.23315,0.0048,0.00715,0.7549
151,0.2341,0.00475,0.00755,0.7536
152,0.23475,0.0055,0.0077,0.75205
153,0.2355,0.006,0.0076,0.7509
154,0.2365,0.00625,0.00825,0.749
155,0.2381,0.00655,0.0083,0.74705
156,0.2387,0.00625,0.00885,0.7462
157,0.2404,0.006,0.00955,0.74405
158,0.24055,0.0065,0.0094,0.74355
159,0.24155,0.0068,0.0098,0.74185
160,0.2428,0.0065,0.0106,0.7401
161,0.24355,0.00685,0.01085,0.73875
162,0.2435,0.00735,0.0113,0.73785
163,0.24315,0.00845,0.0119,0.7365
164,0.2435,0.0086,0.012,0.7359
165,0.24335,0.0093,0.0121,0.73525
166,0.24375,0.009,0.0127,0.73455
167,0.2435,0.00945,0.0135,0.73355
168,0.24375,0.00985,0.01425,0.73215
169,0.2436,0.01065,0.01445,0.7313
170,0.24365,0.0116,0.01485,0.7299
171,0.24405,0.0116,0.01535,0.729
172,0.24375,0.01145,0.0164,0.7284
173,0.2442,0.0117,0.0165,0.7276
174,0.24415,0.0116,0.01675,0.7275
175,0.2428,0.01265,0.0174,0.72715
176,0.24205,0.013,0.01795,0.727
177,0.2423,0.01285,0.01855,0.7263
178,0.2418,0.01335,0.01925,0.7256
179,0.2401,0.01425,0.01985,0.7258
180,0.23865,0.0153,0.0199,0.72615
181,0.23665,0.0158,0.02115,0.7264
182,0.2349,0.0167,0.02145,0.72695
183,0.23295,0.0171,0.023,0.72695
184,0.2297,0.01835,0.0241,0.72785
185,0.2283,0.01885,0.02515,0.7277
186,0.22665,0.01935,0.02555,0.72845
187,0.2251,0.0193,0.02665,0.72895
188,0.2232,0.0187,0.0281,0.73
189,0.2208,0.0198,0.0291,0.7303
190,0.2187,0.02015,0.02975,0.7314
191,0.2152,0.02215,0.0293,0.73335
192,0.21335,0.022,0.03095,0.7337
193,0.2095,0.0232,0.032,0.7353
194,0.2074,0.02365,0.03305,0.7359
195,0.20535,0.02215,0.0353,0.7372
196,0.2019,0.02335,0.03605,0.7387
197,0.19795,0.0253,0.03705,0.7397
198,0.19455,0.02585,0.0371,0.7425
199,0.19265,0.02515,0.0372,0.745
200,0.1906,0.0245,0.03735,0.74755
201,0.1881,0.0245,0.039,0.7484
202,0.18615,0.0239,0.04015,0.7498
203,0.18445,0.02475,0.0396,0.7512
204,0.1812,0.0254,0.0402,0.7532
205,0.17905,0.0259,0.0408,0.75425
206,0.1753,0.027,0.0414,0.7563
207,0.17385,0.02575,0.0423,0.7581
208,0.17265,0.025,0.04285,0.7595
209,0.1701,0.025,0.04395,0.76095
210,0.16775,0.0253,0.04405,0.7629
211,0.1666,0.0261,0.0437,0.7636
212,0.1652,0.02555,0.04365,0.7656
213,0.163,0.02525,0.0438,0.76795
