Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
226,0.26166,0.00406,0.00741,0.72687,0.0229011498983494,0.00134841470706242,0.00176726404994336,0.021320884388578
227,0.26257,0.00404,0.00732,0.72607,0.0228123285381684,0.00141201196091881,0.00189900558772801,0.0213505165173013
228,0.26307,0.00417,0.00753,0.72523,0.0230329739479922,0.00137440896388229,0.00210662974651192,0.021764499636896
229,0.26383,0.00424,0.00781,0.72412,0.0226690219364567,0.00118995798245148,0.00204909193980597,0.0215005839713974
230,0.26458,0.00408,0.00794,0.7234,0.0227686821948239,0.00117643529358822,0.00175701767524152,0.0217070393088407
231,0.26535,0.00403,0.008,0.72262,0.0227088944884794,0.0010562512327409,0.00186428419388128,0.0216078586527114
232,0.26611,0.00424,0.00796,0.72169,0.0229952386375963,0.00134428832886071,0.00192596296260684,0.0218286992537602
233,0.26664,0.00443,0.00807,0.72086,0.0231329106589628,0.00142910228232039,0.00192991076362498,0.0219559761543159
234,0.26743,0.00423,0.00808,0.72026,0.0232844273186084,0.00135896202219848,0.00204982384066968,0.0218432394829867
235,0.26848,0.00423,0.00801,0.71928,0.0231460003744347,0.00129876009246426,0.00200911810393405,0.0217893348019418
236,0.26926,0.00431,0.00804,0.71839,0.023143187142464,0.00115897464261399,0.00225151800644217,0.0217865121373549
237,0.26977,0.0043,0.00793,0.718,0.0230330704278291,0.00124988888395018,0.00217104685450233,0.0217239754904831
238,0.27036,0.00464,0.00816,0.71684,0.0232014942047562,0.00126947058081531,0.00216651281505044,0.0217353884508907
239,0.27108,0.00461,0.00846,0.71585,0.0229934193484426,0.000872353139502576,0.0023945308053516,0.0217073080372077
