timestamp,S,E,I,R
627.0,0.2561,0.0078,0.0124,0.7237
628.0,0.2562,0.0078,0.0137,0.7223
629.0,0.2557,0.007,0.0154,0.7219
630.0,0.2554,0.0078,0.0141,0.7227
631.0,0.2559,0.0073,0.0141,0.7227
632.0,0.2557,0.0082,0.0142,0.7219
633.0,0.2562,0.0078,0.0147,0.7213
634.0,0.2546,0.0092,0.0151,0.7211
635.0,0.2538,0.009,0.0157,0.7215
636.0,0.2536,0.009,0.0151,0.7223
637.0,0.2548,0.0084,0.0154,0.7214
638.0,0.2553,0.0073,0.0157,0.7217
639.0,0.2554,0.0072,0.0158,0.7216
640.0,0.2534,0.0084,0.016,0.7222
641.0,0.2523,0.0083,0.0163,0.7231
642.0,0.2523,0.0086,0.0154,0.7237
643.0,0.2518,0.009,0.0154,0.7238
644.0,0.2525,0.009,0.015,0.7235
645.0,0.2517,0.0081,0.0163,0.7239
646.0,0.2502,0.0096,0.0164,0.7238
647.0,0.2498,0.0091,0.0174,0.7237
648.0,0.2482,0.0095,0.0175,0.7248
649.0,0.2469,0.0103,0.0178,0.725
650.0,0.2457,0.0109,0.0185,0.7249
651.0,0.2435,0.0127,0.0181,0.7257
652.0,0.2426,0.0126,0.0182,0.7266
653.0,0.242,0.0122,0.0186,0.7272
654.0,0.2406,0.0117,0.0199,0.7278
655.0,0.2405,0.0117,0.0194,0.7284
656.0,0.2389,0.0112,0.02,0.7299
657.0,0.2368,0.0114,0.0207,0.7311
658.0,0.2348,0.0112,0.0218,0.7322
659.0,0.2344,0.0103,0.0215,0.7338
660.0,0.233,0.0101,0.022,0.7349
661.0,0.2309,0.0112,0.0225,0.7354
662.0,0.2303,0.012,0.0225,0.7352
663.0,0.2287,0.0113,0.023,0.737
664.0,0.2271,0.0115,0.0247,0.7367
665.0,0.2257,0.0117,0.0233,0.7393
666.0,0.2252,0.0112,0.0224,0.7412
667.0,0.224,0.0116,0.0227,0.7417
668.0,0.2227,0.0114,0.0236,0.7423
669.0,0.2218,0.011,0.0229,0.7443
670.0,0.2196,0.0121,0.0244,0.7439
671.0,0.2175,0.0119,0.0249,0.7457
672.0,0.2157,0.0122,0.024,0.7481
673.0,0.2143,0.0129,0.024,0.7488
674.0,0.2132,0.0122,0.024,0.7506
675.0,0.2115,0.0126,0.0246,0.7513
676.0,0.2092,0.012,0.0256,0.7532
677.0,0.207,0.0127,0.0256,0.7547
678.0,0.2055,0.0133,0.025,0.7562
679.0,0.204,0.0131,0.0253,0.7576
680.0,0.2017,0.0148,0.0247,0.7588
681.0,0.1996,0.0146,0.0255,0.7603
682.0,0.1984,0.0138,0.0253,0.7625
683.0,0.1965,0.0136,0.0255,0.7644
684.0,0.194,0.0135,0.0257,0.7668
685.0,0.1929,0.0133,0.0248,0.769
686.0,0.1915,0.0121,0.0256,0.7708
687.0,0.19,0.0118,0.0257,0.7725
688.0,0.1887,0.0121,0.0252,0.774
689.0,0.1872,0.0124,0.0244,0.776
690.0,0.1846,0.0129,0.0242,0.7783
691.0,0.1835,0.0125,0.0237,0.7803
692.0,0.1825,0.0116,0.0238,0.7821
693.0,0.1819,0.0111,0.0239,0.7831
694.0,0.1816,0.0109,0.024,0.7835
695.0,0.1818,0.0105,0.0237,0.784
696.0,0.1823,0.0099,0.0227,0.7851
697.0,0.1809,0.0098,0.0225,0.7868
698.0,0.1796,0.0105,0.0217,0.7882
699.0,0.1804,0.0097,0.0199,0.79
700.0,0.1805,0.0096,0.0211,0.7888
701.0,0.1802,0.0099,0.0199,0.79
702.0,0.1798,0.0093,0.0206,0.7903
703.0,0.1785,0.0095,0.0204,0.7916
704.0,0.1772,0.0096,0.0206,0.7926
705.0,0.1765,0.01,0.0213,0.7922
706.0,0.1765,0.0093,0.0211,0.7931
707.0,0.1761,0.0084,0.022,0.7935
708.0,0.1761,0.0093,0.0211,0.7935
709.0,0.1754,0.0104,0.021,0.7932
710.0,0.1746,0.0098,0.0206,0.795
711.0,0.1743,0.0083,0.0219,0.7955
712.0,0.174,0.0083,0.0219,0.7958
713.0,0.1728,0.0084,0.022,0.7968
714.0,0.1725,0.0086,0.0213,0.7976
715.0,0.1729,0.0084,0.0205,0.7982
716.0,0.1724,0.0095,0.0191,0.799
717.0,0.1726,0.0086,0.0197,0.7991
718.0,0.1722,0.0091,0.0181,0.8006
719.0,0.1733,0.0081,0.0191,0.7995
720.0,0.1732,0.0081,0.0187,0.8
721.0,0.1734,0.0085,0.0175,0.8006
722.0,0.1746,0.0075,0.0175,0.8004
723.0,0.1749,0.0082,0.0167,0.8002
724.0,0.1752,0.0081,0.0166,0.8001
725.0,0.1752,0.0083,0.0164,0.8001
726.0,0.1749,0.0085,0.0157,0.8009
727.0,0.1764,0.0077,0.0157,0.8002
728.0,0.1761,0.0079,0.0164,0.7996
729.0,0.1765,0.0065,0.017,0.8
730.0,0.1756,0.0064,0.0171,0.8009
