"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_0","Pyt_H"
"2",1,0.9983,7e-04,0.001,0,"Python_0","Pyt_H"
"3",2,0.9979,0.0011,0.00065,0.00035,"Python_0","Pyt_H"
"4",3,0.9973,0.00145,8e-04,0.00045,"Python_0","Pyt_H"
"5",4,0.99655,0.0021,8e-04,0.00055,"Python_0","Pyt_H"
"6",5,0.9959,0.0024,0.00105,0.00065,"Python_0","Pyt_H"
"7",6,0.99535,0.0026,0.0013,0.00075,"Python_0","Pyt_H"
"8",7,0.99375,0.0034,0.002,0.00085,"Python_0","Pyt_H"
"9",8,0.99155,0.00525,0.0022,0.001,"Python_0","Pyt_H"
"10",9,0.9901,0.00605,0.0024,0.00145,"Python_0","Pyt_H"
"11",10,0.9879,0.00645,0.00375,0.0019,"Python_0","Pyt_H"
"12",11,0.98465,0.0085,0.00465,0.0022,"Python_0","Pyt_H"
"13",12,0.98045,0.0112,0.0061,0.00225,"Python_0","Pyt_H"
"14",13,0.9749,0.0149,0.00735,0.00285,"Python_0","Pyt_H"
"15",14,0.9681,0.0192,0.00925,0.00345,"Python_0","Pyt_H"
"16",15,0.95985,0.0243,0.0116,0.00425,"Python_0","Pyt_H"
"17",16,0.94965,0.0304,0.0147,0.00525,"Python_0","Pyt_H"
"18",17,0.93805,0.03605,0.01875,0.00715,"Python_0","Pyt_H"
"19",18,0.9219,0.04515,0.02405,0.0089,"Python_0","Pyt_H"
"20",19,0.9016,0.05675,0.03015,0.0115,"Python_0","Pyt_H"
"21",20,0.8776,0.07045,0.0384,0.01355,"Python_0","Pyt_H"
"22",21,0.8475,0.0876,0.048,0.0169,"Python_0","Pyt_H"
"23",22,0.8144,0.1038,0.06045,0.02135,"Python_0","Pyt_H"
"24",23,0.7716,0.1283,0.07275,0.02735,"Python_0","Pyt_H"
"25",24,0.7267,0.1506,0.08765,0.03505,"Python_0","Pyt_H"
"26",25,0.67385,0.17345,0.10915,0.04355,"Python_0","Pyt_H"
"27",26,0.6112,0.2017,0.1324,0.0547,"Python_0","Pyt_H"
"28",27,0.54675,0.228,0.1571,0.06815,"Python_0","Pyt_H"
"29",28,0.4783,0.2521,0.1865,0.0831,"Python_0","Pyt_H"
"30",29,0.4109,0.26705,0.21975,0.1023,"Python_0","Pyt_H"
"31",30,0.3419,0.2798,0.2535,0.1248,"Python_0","Pyt_H"
"32",31,0.2764,0.2861,0.2877,0.1498,"Python_0","Pyt_H"
