"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_25","Pyt_H"
"2",1,0.9982,8e-04,0.001,0,"Python_25","Pyt_H"
"3",2,0.9975,0.0015,8e-04,2e-04,"Python_25","Pyt_H"
"4",3,0.99675,0.0022,0.00075,3e-04,"Python_25","Pyt_H"
"5",4,0.9959,0.0025,0.0012,4e-04,"Python_25","Pyt_H"
"6",5,0.99495,0.003,0.0016,0.00045,"Python_25","Pyt_H"
"7",6,0.9934,0.004,0.002,6e-04,"Python_25","Pyt_H"
"8",7,0.991,0.0059,0.00225,0.00085,"Python_25","Pyt_H"
"9",8,0.9889,0.00725,0.00285,0.001,"Python_25","Pyt_H"
"10",9,0.9861,0.00855,0.0042,0.00115,"Python_25","Pyt_H"
"11",10,0.98305,0.00995,0.00545,0.00155,"Python_25","Pyt_H"
"12",11,0.97865,0.0119,0.00735,0.0021,"Python_25","Pyt_H"
"13",12,0.9721,0.01665,0.00825,0.003,"Python_25","Pyt_H"
"14",13,0.96555,0.01955,0.0109,0.004,"Python_25","Pyt_H"
"15",14,0.95575,0.0257,0.0138,0.00475,"Python_25","Pyt_H"
"16",15,0.94295,0.0349,0.01595,0.0062,"Python_25","Pyt_H"
"17",16,0.9301,0.04065,0.0215,0.00775,"Python_25","Pyt_H"
"18",17,0.91215,0.05035,0.02765,0.00985,"Python_25","Pyt_H"
"19",18,0.89225,0.0623,0.0328,0.01265,"Python_25","Pyt_H"
"20",19,0.86705,0.07505,0.0416,0.0163,"Python_25","Pyt_H"
"21",20,0.83645,0.0919,0.0519,0.01975,"Python_25","Pyt_H"
"22",21,0.79925,0.11235,0.06375,0.02465,"Python_25","Pyt_H"
"23",22,0.752,0.13905,0.07825,0.0307,"Python_25","Pyt_H"
"24",23,0.7041,0.16045,0.0977,0.03775,"Python_25","Pyt_H"
"25",24,0.64805,0.18485,0.1193,0.0478,"Python_25","Pyt_H"
"26",25,0.5852,0.2102,0.1451,0.0595,"Python_25","Pyt_H"
"27",26,0.5183,0.23395,0.1732,0.07455,"Python_25","Pyt_H"
"28",27,0.44615,0.25895,0.20485,0.09005,"Python_25","Pyt_H"
"29",28,0.3754,0.2793,0.2363,0.109,"Python_25","Pyt_H"
"30",29,0.3111,0.28635,0.26715,0.1354,"Python_25","Pyt_H"
"31",30,0.2503,0.28495,0.30185,0.1629,"Python_25","Pyt_H"
"32",31,0.19325,0.27535,0.3388,0.1926,"Python_25","Pyt_H"
"33",32,0.1487,0.25825,0.3659,0.22715,"Python_25","Pyt_H"
"34",33,0.1128,0.23165,0.3873,0.26825,"Python_25","Pyt_H"
