"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_4","Pyt_H"
"2",1,0.9983,7e-04,0.001,0,"Python_4","Pyt_H"
"3",2,0.9979,0.0011,0.00055,0.00045,"Python_4","Pyt_H"
"4",3,0.9972,0.00175,5e-04,0.00055,"Python_4","Pyt_H"
"5",4,0.99645,0.00205,9e-04,6e-04,"Python_4","Pyt_H"
"6",5,0.99535,0.00295,0.00105,0.00065,"Python_4","Pyt_H"
"7",6,0.9946,0.0033,0.0014,7e-04,"Python_4","Pyt_H"
"8",7,0.9933,0.00385,0.00205,8e-04,"Python_4","Pyt_H"
"9",8,0.9914,0.0049,0.0027,0.001,"Python_4","Pyt_H"
"10",9,0.9891,0.0066,0.00315,0.00115,"Python_4","Pyt_H"
"11",10,0.9868,0.008,0.0035,0.0017,"Python_4","Pyt_H"
"12",11,0.98415,0.0091,0.0046,0.00215,"Python_4","Pyt_H"
"13",12,0.98,0.01115,0.0064,0.00245,"Python_4","Pyt_H"
"14",13,0.9744,0.0147,0.00805,0.00285,"Python_4","Pyt_H"
"15",14,0.9669,0.01915,0.0102,0.00375,"Python_4","Pyt_H"
"16",15,0.9572,0.0251,0.0131,0.0046,"Python_4","Pyt_H"
"17",16,0.94715,0.03115,0.01575,0.00595,"Python_4","Pyt_H"
"18",17,0.93405,0.03795,0.0205,0.0075,"Python_4","Pyt_H"
"19",18,0.9182,0.0465,0.02565,0.00965,"Python_4","Pyt_H"
"20",19,0.8982,0.0579,0.0321,0.0118,"Python_4","Pyt_H"
"21",20,0.8717,0.0734,0.0404,0.0145,"Python_4","Pyt_H"
"22",21,0.8417,0.09055,0.0495,0.01825,"Python_4","Pyt_H"
"23",22,0.8054,0.11015,0.061,0.02345,"Python_4","Pyt_H"
"24",23,0.76365,0.1314,0.07575,0.0292,"Python_4","Pyt_H"
"25",24,0.713,0.15585,0.09575,0.0354,"Python_4","Pyt_H"
"26",25,0.6523,0.1861,0.1173,0.0443,"Python_4","Pyt_H"
"27",26,0.5907,0.21355,0.14045,0.0553,"Python_4","Pyt_H"
"28",27,0.51925,0.2441,0.1676,0.06905,"Python_4","Pyt_H"
"29",28,0.44815,0.2656,0.19885,0.0874,"Python_4","Pyt_H"
"30",29,0.37925,0.28405,0.2306,0.1061,"Python_4","Pyt_H"
"31",30,0.31225,0.29075,0.2661,0.1309,"Python_4","Pyt_H"
"32",31,0.25,0.29255,0.30095,0.1565,"Python_4","Pyt_H"
"33",32,0.19585,0.27965,0.33625,0.18825,"Python_4","Pyt_H"
"34",33,0.1472,0.26355,0.3656,0.22365,"Python_4","Pyt_H"
"35",34,0.11175,0.2375,0.38745,0.2633,"Python_4","Pyt_H"
"36",35,0.0814,0.2112,0.3993,0.3081,"Python_4","Pyt_H"
"37",36,0.0605,0.18005,0.40615,0.3533,"Python_4","Pyt_H"
"38",37,0.0433,0.15235,0.40495,0.3994,"Python_4","Pyt_H"
"39",38,0.03335,0.1245,0.39525,0.4469,"Python_4","Pyt_H"
"40",39,0.02615,0.10195,0.3772,0.4947,"Python_4","Pyt_H"
"41",40,0.0206,0.0821,0.3556,0.5417,"Python_4","Pyt_H"
"42",41,0.0171,0.0659,0.3334,0.5836,"Python_4","Pyt_H"
"43",42,0.01615,0.0507,0.3089,0.62425,"Python_4","Pyt_H"
"44",43,0.01515,0.0405,0.2846,0.65975,"Python_4","Pyt_H"
"45",44,0.01445,0.0334,0.25675,0.6954,"Python_4","Pyt_H"
"46",45,0.0136,0.02595,0.23425,0.7262,"Python_4","Pyt_H"
"47",46,0.01335,0.0213,0.20985,0.7555,"Python_4","Pyt_H"
"48",47,0.01375,0.01735,0.1885,0.7804,"Python_4","Pyt_H"
"49",48,0.0142,0.015,0.16705,0.80375,"Python_4","Pyt_H"
"50",49,0.0143,0.0131,0.1491,0.8235,"Python_4","Pyt_H"
"51",50,0.0158,0.01095,0.1322,0.84105,"Python_4","Pyt_H"
"52",51,0.01615,0.0103,0.11795,0.8556,"Python_4","Pyt_H"
"53",52,0.0173,0.0085,0.1049,0.8693,"Python_4","Pyt_H"
"54",53,0.0189,0.00745,0.0911,0.88255,"Python_4","Pyt_H"
"55",54,0.01995,0.0065,0.08125,0.8923,"Python_4","Pyt_H"
"56",55,0.0221,0.00585,0.0706,0.90145,"Python_4","Pyt_H"
"57",56,0.0246,0.0053,0.06335,0.90675,"Python_4","Pyt_H"
"58",57,0.02555,0.00565,0.056,0.9128,"Python_4","Pyt_H"
"59",58,0.02815,0.00545,0.05035,0.91605,"Python_4","Pyt_H"
"60",59,0.0308,0.0052,0.0447,0.9193,"Python_4","Pyt_H"
"61",60,0.0329,0.0051,0.0392,0.9228,"Python_4","Pyt_H"
"62",61,0.0356,0.0047,0.03525,0.92445,"Python_4","Pyt_H"
"63",62,0.03795,0.0048,0.03135,0.9259,"Python_4","Pyt_H"
"64",63,0.04045,0.00485,0.0281,0.9266,"Python_4","Pyt_H"
"65",64,0.04395,0.0044,0.02565,0.926,"Python_4","Pyt_H"
"66",65,0.0466,0.0041,0.0236,0.9257,"Python_4","Pyt_H"
"67",66,0.04835,0.00405,0.02055,0.92705,"Python_4","Pyt_H"
"68",67,0.0506,0.0038,0.018,0.9276,"Python_4","Pyt_H"
"69",68,0.05285,0.00365,0.016,0.9275,"Python_4","Pyt_H"
"70",69,0.0548,0.00365,0.0149,0.92665,"Python_4","Pyt_H"
"71",70,0.05785,0.00335,0.0137,0.9251,"Python_4","Pyt_H"
"72",71,0.0603,0.0031,0.0123,0.9243,"Python_4","Pyt_H"
"73",72,0.0624,0.003,0.0113,0.9233,"Python_4","Pyt_H"
"74",73,0.06505,0.00295,0.0101,0.9219,"Python_4","Pyt_H"
"75",74,0.06795,0.0028,0.0094,0.91985,"Python_4","Pyt_H"
"76",75,0.0711,0.0026,0.00915,0.91715,"Python_4","Pyt_H"
"77",76,0.07385,0.00255,0.0085,0.9151,"Python_4","Pyt_H"
"78",77,0.0764,0.00265,0.0076,0.91335,"Python_4","Pyt_H"
"79",78,0.0794,0.0024,0.00725,0.91095,"Python_4","Pyt_H"
"80",79,0.0821,0.0023,0.007,0.9086,"Python_4","Pyt_H"
"81",80,0.0845,0.00195,0.00665,0.9069,"Python_4","Pyt_H"
"82",81,0.08755,0.00195,0.0062,0.9043,"Python_4","Pyt_H"
"83",82,0.09,0.0018,0.0055,0.9027,"Python_4","Pyt_H"
"84",83,0.09245,0.0016,0.0052,0.90075,"Python_4","Pyt_H"
"85",84,0.09585,0.0017,0.0047,0.89775,"Python_4","Pyt_H"
"86",85,0.0984,0.00185,0.0046,0.89515,"Python_4","Pyt_H"
"87",86,0.10115,0.00165,0.00445,0.89275,"Python_4","Pyt_H"
"88",87,0.10385,0.0013,0.00465,0.8902,"Python_4","Pyt_H"
"89",88,0.1067,0.00125,0.0043,0.88775,"Python_4","Pyt_H"
"90",89,0.10915,0.0014,0.0039,0.88555,"Python_4","Pyt_H"
"91",90,0.112,0.0014,0.00325,0.88335,"Python_4","Pyt_H"
"92",91,0.11415,0.00165,0.00325,0.88095,"Python_4","Pyt_H"
"93",92,0.117,0.00175,0.0029,0.87835,"Python_4","Pyt_H"
"94",93,0.1199,0.0017,0.00295,0.87545,"Python_4","Pyt_H"
"95",94,0.12235,0.0016,0.00285,0.8732,"Python_4","Pyt_H"
"96",95,0.12535,0.0014,0.00285,0.8704,"Python_4","Pyt_H"
"97",96,0.1274,0.00135,0.00245,0.8688,"Python_4","Pyt_H"
"98",97,0.12945,0.0015,0.00235,0.8667,"Python_4","Pyt_H"
