"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_5","Pyt_H"
"2",1,0.99855,0.00045,0.001,0,"Python_5","Pyt_H"
"3",2,0.99795,0.00105,0.00085,0.00015,"Python_5","Pyt_H"
"4",3,0.9971,0.0017,8e-04,4e-04,"Python_5","Pyt_H"
"5",4,0.9965,0.00205,0.00095,5e-04,"Python_5","Pyt_H"
"6",5,0.9958,0.0021,0.00145,0.00065,"Python_5","Pyt_H"
"7",6,0.9947,0.0028,0.0018,7e-04,"Python_5","Pyt_H"
"8",7,0.99325,0.0037,0.00205,0.001,"Python_5","Pyt_H"
"9",8,0.99065,0.00565,0.00265,0.00105,"Python_5","Pyt_H"
"10",9,0.98775,0.0076,0.0032,0.00145,"Python_5","Pyt_H"
"11",10,0.98475,0.0095,0.004,0.00175,"Python_5","Pyt_H"
"12",11,0.98085,0.0117,0.0053,0.00215,"Python_5","Pyt_H"
"13",12,0.976,0.01405,0.0074,0.00255,"Python_5","Pyt_H"
"14",13,0.96975,0.01775,0.0094,0.0031,"Python_5","Pyt_H"
"15",14,0.9619,0.023,0.01125,0.00385,"Python_5","Pyt_H"
"16",15,0.9527,0.02775,0.0147,0.00485,"Python_5","Pyt_H"
"17",16,0.9409,0.03485,0.01815,0.0061,"Python_5","Pyt_H"
"18",17,0.924,0.04545,0.02245,0.0081,"Python_5","Pyt_H"
"19",18,0.90545,0.05635,0.02775,0.01045,"Python_5","Pyt_H"
"20",19,0.88415,0.06665,0.03595,0.01325,"Python_5","Pyt_H"
"21",20,0.8558,0.0827,0.0449,0.0166,"Python_5","Pyt_H"
"22",21,0.824,0.09925,0.05565,0.0211,"Python_5","Pyt_H"
"23",22,0.78455,0.1202,0.06885,0.0264,"Python_5","Pyt_H"
"24",23,0.7395,0.14305,0.08475,0.0327,"Python_5","Pyt_H"
"25",24,0.6849,0.16925,0.1048,0.04105,"Python_5","Pyt_H"
"26",25,0.62875,0.1928,0.1277,0.05075,"Python_5","Pyt_H"
"27",26,0.56345,0.21825,0.1548,0.0635,"Python_5","Pyt_H"
"28",27,0.4953,0.245,0.18095,0.07875,"Python_5","Pyt_H"
"29",28,0.4264,0.2628,0.2134,0.0974,"Python_5","Pyt_H"
"30",29,0.35695,0.27615,0.24935,0.11755,"Python_5","Pyt_H"
"31",30,0.2891,0.28645,0.2814,0.14305,"Python_5","Pyt_H"
"32",31,0.2266,0.28625,0.3158,0.17135,"Python_5","Pyt_H"
"33",32,0.17505,0.2754,0.34475,0.2048,"Python_5","Pyt_H"
"34",33,0.1291,0.2548,0.37525,0.24085,"Python_5","Pyt_H"
"35",34,0.09695,0.2284,0.3932,0.28145,"Python_5","Pyt_H"
