"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_14","Pyt_H"
"2",1,0.9978,0.0012,0.001,0,"Python_14","Pyt_H"
"3",2,0.997,0.002,9e-04,1e-04,"Python_14","Pyt_H"
"4",3,0.99605,0.0026,0.00115,2e-04,"Python_14","Pyt_H"
"5",4,0.99495,0.0034,0.00135,3e-04,"Python_14","Pyt_H"
"6",5,0.9937,0.0039,0.0019,5e-04,"Python_14","Pyt_H"
"7",6,0.99205,0.00465,0.00275,0.00055,"Python_14","Pyt_H"
"8",7,0.98955,0.00675,0.00285,0.00085,"Python_14","Pyt_H"
"9",8,0.98725,0.00805,0.00325,0.00145,"Python_14","Pyt_H"
"10",9,0.98395,0.0099,0.00445,0.0017,"Python_14","Pyt_H"
"11",10,0.9805,0.0115,0.00595,0.00205,"Python_14","Pyt_H"
"12",11,0.97585,0.0139,0.0076,0.00265,"Python_14","Pyt_H"
"13",12,0.96895,0.0187,0.0089,0.00345,"Python_14","Pyt_H"
"14",13,0.96045,0.0241,0.0115,0.00395,"Python_14","Pyt_H"
"15",14,0.9518,0.0283,0.01505,0.00485,"Python_14","Pyt_H"
"16",15,0.9375,0.0371,0.019,0.0064,"Python_14","Pyt_H"
"17",16,0.9225,0.0447,0.02485,0.00795,"Python_14","Pyt_H"
"18",17,0.9012,0.05745,0.03085,0.0105,"Python_14","Pyt_H"
"19",18,0.87655,0.0711,0.0388,0.01355,"Python_14","Pyt_H"
"20",19,0.8454,0.0879,0.04905,0.01765,"Python_14","Pyt_H"
"21",20,0.81175,0.10615,0.05905,0.02305,"Python_14","Pyt_H"
"22",21,0.77025,0.12775,0.073,0.029,"Python_14","Pyt_H"
"23",22,0.72375,0.15025,0.09005,0.03595,"Python_14","Pyt_H"
"24",23,0.66885,0.176,0.11,0.04515,"Python_14","Pyt_H"
"25",24,0.6081,0.2027,0.1346,0.0546,"Python_14","Pyt_H"
"26",25,0.54175,0.22745,0.1621,0.0687,"Python_14","Pyt_H"
"27",26,0.4733,0.25135,0.19135,0.084,"Python_14","Pyt_H"
"28",27,0.4037,0.26955,0.22385,0.1029,"Python_14","Pyt_H"
"29",28,0.3347,0.28335,0.2547,0.12725,"Python_14","Pyt_H"
"30",29,0.26905,0.28475,0.29335,0.15285,"Python_14","Pyt_H"
"31",30,0.2116,0.2809,0.323,0.1845,"Python_14","Pyt_H"
"32",31,0.162,0.2671,0.3524,0.2185,"Python_14","Pyt_H"
"33",32,0.1227,0.2443,0.3768,0.2562,"Python_14","Pyt_H"
"34",33,0.0922,0.2191,0.3906,0.2981,"Python_14","Pyt_H"
"35",34,0.06735,0.19015,0.39865,0.34385,"Python_14","Pyt_H"
"36",35,0.04985,0.1628,0.39875,0.3886,"Python_14","Pyt_H"
"37",36,0.0379,0.1356,0.3912,0.4353,"Python_14","Pyt_H"
"38",37,0.02945,0.1085,0.38145,0.4806,"Python_14","Pyt_H"
"39",38,0.024,0.0864,0.36545,0.52415,"Python_14","Pyt_H"
"40",39,0.01945,0.06895,0.34415,0.56745,"Python_14","Pyt_H"
"41",40,0.0161,0.05485,0.321,0.60805,"Python_14","Pyt_H"
"42",41,0.0148,0.04435,0.29455,0.6463,"Python_14","Pyt_H"
"43",42,0.01335,0.03625,0.2672,0.6832,"Python_14","Pyt_H"
"44",43,0.01275,0.02895,0.2432,0.7151,"Python_14","Pyt_H"
"45",44,0.0125,0.02375,0.21995,0.7438,"Python_14","Pyt_H"
"46",45,0.012,0.0198,0.1975,0.7707,"Python_14","Pyt_H"
"47",46,0.01245,0.01525,0.1782,0.7941,"Python_14","Pyt_H"
"48",47,0.01335,0.01165,0.1599,0.8151,"Python_14","Pyt_H"
"49",48,0.01415,0.00935,0.14165,0.83485,"Python_14","Pyt_H"
"50",49,0.01635,0.00795,0.1247,0.851,"Python_14","Pyt_H"
"51",50,0.0174,0.00685,0.1105,0.86525,"Python_14","Pyt_H"
"52",51,0.01845,0.0065,0.09725,0.8778,"Python_14","Pyt_H"
"53",52,0.01975,0.0063,0.0846,0.88935,"Python_14","Pyt_H"
"54",53,0.0209,0.00695,0.07385,0.8983,"Python_14","Pyt_H"
"55",54,0.02305,0.00545,0.06635,0.90515,"Python_14","Pyt_H"
"56",55,0.0248,0.0051,0.05815,0.91195,"Python_14","Pyt_H"
"57",56,0.0272,0.00505,0.0514,0.91635,"Python_14","Pyt_H"
"58",57,0.02965,0.00505,0.0458,0.9195,"Python_14","Pyt_H"
"59",58,0.03235,0.0045,0.0409,0.92225,"Python_14","Pyt_H"
"60",59,0.03495,0.00435,0.0366,0.9241,"Python_14","Pyt_H"
"61",60,0.0373,0.0042,0.03175,0.92675,"Python_14","Pyt_H"
"62",61,0.0405,0.0038,0.0292,0.9265,"Python_14","Pyt_H"
"63",62,0.0422,0.00385,0.02675,0.9272,"Python_14","Pyt_H"
"64",63,0.0444,0.00415,0.02365,0.9278,"Python_14","Pyt_H"
"65",64,0.0462,0.0042,0.0218,0.9278,"Python_14","Pyt_H"
"66",65,0.04835,0.00385,0.02015,0.92765,"Python_14","Pyt_H"
"67",66,0.0509,0.0035,0.01785,0.92775,"Python_14","Pyt_H"
"68",67,0.05285,0.00365,0.0154,0.9281,"Python_14","Pyt_H"
"69",68,0.0548,0.00345,0.0141,0.92765,"Python_14","Pyt_H"
"70",69,0.0577,0.0034,0.01315,0.92575,"Python_14","Pyt_H"
"71",70,0.0598,0.00305,0.01225,0.9249,"Python_14","Pyt_H"
"72",71,0.06195,0.00295,0.01085,0.92425,"Python_14","Pyt_H"
"73",72,0.06455,0.0025,0.0105,0.92245,"Python_14","Pyt_H"
"74",73,0.06705,0.0022,0.0095,0.92125,"Python_14","Pyt_H"
"75",74,0.07,0.00195,0.0085,0.91955,"Python_14","Pyt_H"
"76",75,0.0725,0.0019,0.00745,0.91815,"Python_14","Pyt_H"
"77",76,0.0747,0.0018,0.00675,0.91675,"Python_14","Pyt_H"
"78",77,0.0773,0.00165,0.0064,0.91465,"Python_14","Pyt_H"
"79",78,0.07945,0.0017,0.0061,0.91275,"Python_14","Pyt_H"
"80",79,0.082,0.0017,0.0056,0.9107,"Python_14","Pyt_H"
"81",80,0.08425,0.0017,0.0048,0.90925,"Python_14","Pyt_H"
"82",81,0.0863,0.0017,0.00465,0.90735,"Python_14","Pyt_H"
"83",82,0.0896,0.0017,0.0042,0.9045,"Python_14","Pyt_H"
"84",83,0.0927,0.0012,0.00425,0.90185,"Python_14","Pyt_H"
"85",84,0.0956,0.00125,0.00395,0.8992,"Python_14","Pyt_H"
"86",85,0.0981,0.00145,0.0037,0.89675,"Python_14","Pyt_H"
"87",86,0.10105,0.0014,0.0036,0.89395,"Python_14","Pyt_H"
"88",87,0.1041,0.00115,0.00345,0.8913,"Python_14","Pyt_H"
"89",88,0.10635,0.00115,0.0033,0.8892,"Python_14","Pyt_H"
"90",89,0.1095,0.00105,0.00335,0.8861,"Python_14","Pyt_H"
"91",90,0.11165,0.0015,0.00295,0.8839,"Python_14","Pyt_H"
"92",91,0.1143,0.00125,0.00275,0.8817,"Python_14","Pyt_H"
"93",92,0.1171,0.0011,0.00255,0.87925,"Python_14","Pyt_H"
"94",93,0.12015,0.001,0.00245,0.8764,"Python_14","Pyt_H"
"95",94,0.12275,0.001,0.0024,0.87385,"Python_14","Pyt_H"
"96",95,0.1255,0.00095,0.0021,0.87145,"Python_14","Pyt_H"
"97",96,0.1285,0.0012,0.00195,0.86835,"Python_14","Pyt_H"
"98",97,0.1314,0.00125,0.00195,0.8654,"Python_14","Pyt_H"
"99",98,0.1332,0.00135,0.00165,0.8638,"Python_14","Pyt_H"
"100",99,0.13635,0.0011,0.0018,0.86075,"Python_14","Pyt_H"
"101",100,0.13875,0.00095,0.0018,0.8585,"Python_14","Pyt_H"
"102",101,0.14155,8e-04,0.00155,0.8561,"Python_14","Pyt_H"
"103",102,0.14415,0.00065,0.00175,0.85345,"Python_14","Pyt_H"
"104",103,0.1464,9e-04,0.0018,0.8509,"Python_14","Pyt_H"
"105",104,0.1483,0.00085,0.0018,0.84905,"Python_14","Pyt_H"
"106",105,0.1508,0.00085,0.0019,0.84645,"Python_14","Pyt_H"
"107",106,0.1541,7e-04,0.00185,0.84335,"Python_14","Pyt_H"
"108",107,0.1568,7e-04,0.0019,0.8406,"Python_14","Pyt_H"
"109",108,0.1593,0.00065,0.0018,0.83825,"Python_14","Pyt_H"
"110",109,0.1611,0.00065,0.0018,0.83645,"Python_14","Pyt_H"
"111",110,0.16355,0.00085,0.0018,0.8338,"Python_14","Pyt_H"
"112",111,0.1664,0.00085,0.0017,0.83105,"Python_14","Pyt_H"
"113",112,0.1686,0.00085,0.00165,0.8289,"Python_14","Pyt_H"
"114",113,0.17105,0.00085,0.0015,0.8266,"Python_14","Pyt_H"
"115",114,0.1734,0.00085,0.00145,0.8243,"Python_14","Pyt_H"
"116",115,0.17535,0.00065,0.0015,0.8225,"Python_14","Pyt_H"
"117",116,0.17795,7e-04,0.00145,0.8199,"Python_14","Pyt_H"
"118",117,0.17995,0.00085,0.0011,0.8181,"Python_14","Pyt_H"
"119",118,0.18205,0.00095,0.0011,0.8159,"Python_14","Pyt_H"
"120",119,0.1841,0.00095,0.00105,0.8139,"Python_14","Pyt_H"
"121",120,0.1864,8e-04,0.00105,0.81175,"Python_14","Pyt_H"
"122",121,0.1883,6e-04,0.0014,0.8097,"Python_14","Pyt_H"
"123",122,0.1905,5e-04,0.0014,0.8076,"Python_14","Pyt_H"
"124",123,0.1933,4e-04,0.0015,0.8048,"Python_14","Pyt_H"
"125",124,0.19535,5e-04,0.00135,0.8028,"Python_14","Pyt_H"
"126",125,0.1967,0.00075,0.0012,0.80135,"Python_14","Pyt_H"
"127",126,0.1991,0.00075,0.00125,0.7989,"Python_14","Pyt_H"
"128",127,0.2015,0.00065,0.00125,0.7966,"Python_14","Pyt_H"
"129",128,0.20375,0.00095,0.00115,0.79415,"Python_14","Pyt_H"
"130",129,0.2064,0.00105,0.0012,0.79135,"Python_14","Pyt_H"
"131",130,0.20855,0.001,0.0014,0.78905,"Python_14","Pyt_H"
"132",131,0.21015,0.00115,0.00155,0.78715,"Python_14","Pyt_H"
"133",132,0.2125,0.0011,0.00155,0.78485,"Python_14","Pyt_H"
"134",133,0.2149,0.0011,0.00185,0.78215,"Python_14","Pyt_H"
"135",134,0.21685,0.00115,0.00205,0.77995,"Python_14","Pyt_H"
"136",135,0.21865,0.0012,0.0022,0.77795,"Python_14","Pyt_H"
"137",136,0.21995,0.00135,0.00215,0.77655,"Python_14","Pyt_H"
"138",137,0.22165,0.00145,0.00215,0.77475,"Python_14","Pyt_H"
"139",138,0.2233,0.0014,0.00245,0.77285,"Python_14","Pyt_H"
"140",139,0.22515,0.00155,0.0024,0.7709,"Python_14","Pyt_H"
"141",140,0.22685,0.0017,0.0024,0.76905,"Python_14","Pyt_H"
"142",141,0.2285,0.00185,0.0026,0.76705,"Python_14","Pyt_H"
"143",142,0.23025,0.00225,0.0028,0.7647,"Python_14","Pyt_H"
"144",143,0.2314,0.00225,0.0032,0.76315,"Python_14","Pyt_H"
"145",144,0.2332,0.00245,0.00335,0.761,"Python_14","Pyt_H"
"146",145,0.2347,0.00265,0.00335,0.7593,"Python_14","Pyt_H"
"147",146,0.2356,0.003,0.0036,0.7578,"Python_14","Pyt_H"
"148",147,0.2371,0.0029,0.00355,0.75645,"Python_14","Pyt_H"
"149",148,0.2383,0.00295,0.00365,0.7551,"Python_14","Pyt_H"
"150",149,0.2395,0.0029,0.00415,0.75345,"Python_14","Pyt_H"
"151",150,0.24025,0.00285,0.00445,0.75245,"Python_14","Pyt_H"
"152",151,0.24115,0.00315,0.0046,0.7511,"Python_14","Pyt_H"
"153",152,0.24225,0.00365,0.0047,0.7494,"Python_14","Pyt_H"
"154",153,0.24475,0.00355,0.00495,0.74675,"Python_14","Pyt_H"
"155",154,0.2458,0.0036,0.00535,0.74525,"Python_14","Pyt_H"
"156",155,0.247,0.00385,0.0054,0.74375,"Python_14","Pyt_H"
"157",156,0.24775,0.00415,0.00555,0.74255,"Python_14","Pyt_H"
"158",157,0.24935,0.00435,0.00545,0.74085,"Python_14","Pyt_H"
"159",158,0.2503,0.00475,0.0056,0.73935,"Python_14","Pyt_H"
"160",159,0.25185,0.00505,0.0054,0.7377,"Python_14","Pyt_H"
"161",160,0.25255,0.00495,0.0061,0.7364,"Python_14","Pyt_H"
"162",161,0.25315,0.005,0.0069,0.73495,"Python_14","Pyt_H"
"163",162,0.253,0.0058,0.0071,0.7341,"Python_14","Pyt_H"
"164",163,0.25365,0.0062,0.00685,0.7333,"Python_14","Pyt_H"
"165",164,0.25455,0.0062,0.00695,0.7323,"Python_14","Pyt_H"
"166",165,0.25565,0.00595,0.0071,0.7313,"Python_14","Pyt_H"
"167",166,0.25605,0.00625,0.008,0.7297,"Python_14","Pyt_H"
"168",167,0.25635,0.00655,0.0085,0.7286,"Python_14","Pyt_H"
"169",168,0.2564,0.0068,0.00915,0.72765,"Python_14","Pyt_H"
"170",169,0.25615,0.00745,0.00905,0.72735,"Python_14","Pyt_H"
"171",170,0.25675,0.00795,0.0094,0.7259,"Python_14","Pyt_H"
"172",171,0.25695,0.00815,0.0097,0.7252,"Python_14","Pyt_H"
"173",172,0.25755,0.0081,0.0107,0.72365,"Python_14","Pyt_H"
"174",173,0.25695,0.0082,0.01205,0.7228,"Python_14","Pyt_H"
"175",174,0.2566,0.009,0.01245,0.72195,"Python_14","Pyt_H"
"176",175,0.25655,0.0092,0.0128,0.72145,"Python_14","Pyt_H"
"177",176,0.2565,0.00915,0.01355,0.7208,"Python_14","Pyt_H"
"178",177,0.2563,0.0103,0.01385,0.71955,"Python_14","Pyt_H"
"179",178,0.25545,0.01135,0.0142,0.719,"Python_14","Pyt_H"
"180",179,0.255,0.01195,0.0149,0.71815,"Python_14","Pyt_H"
"181",180,0.2541,0.0121,0.0156,0.7182,"Python_14","Pyt_H"
"182",181,0.2534,0.01235,0.0171,0.71715,"Python_14","Pyt_H"
"183",182,0.25215,0.0125,0.018,0.71735,"Python_14","Pyt_H"
"184",183,0.25145,0.0129,0.0189,0.71675,"Python_14","Pyt_H"
"185",184,0.24945,0.01435,0.01955,0.71665,"Python_14","Pyt_H"
"186",185,0.247,0.01605,0.01985,0.7171,"Python_14","Pyt_H"
"187",186,0.24565,0.0155,0.02185,0.717,"Python_14","Pyt_H"
"188",187,0.2441,0.0164,0.023,0.7165,"Python_14","Pyt_H"
