"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_23","Pyt_H"
"2",1,0.9981,9e-04,0.001,0,"Python_23","Pyt_H"
"3",2,0.9974,0.0016,0.00095,5e-05,"Python_23","Pyt_H"
"4",3,0.99675,0.0021,0.001,0.00015,"Python_23","Pyt_H"
"5",4,0.996,0.0024,0.0014,2e-04,"Python_23","Pyt_H"
"6",5,0.9947,0.00315,0.0017,0.00045,"Python_23","Pyt_H"
"7",6,0.99285,0.0044,0.0023,0.00045,"Python_23","Pyt_H"
"8",7,0.9914,0.0051,0.00265,0.00085,"Python_23","Pyt_H"
"9",8,0.9886,0.00635,0.00375,0.0013,"Python_23","Pyt_H"
"10",9,0.98545,0.0086,0.00425,0.0017,"Python_23","Pyt_H"
"11",10,0.98185,0.0109,0.00515,0.0021,"Python_23","Pyt_H"
"12",11,0.9777,0.01295,0.0069,0.00245,"Python_23","Pyt_H"
"13",12,0.972,0.0163,0.00855,0.00315,"Python_23","Pyt_H"
"14",13,0.9646,0.02005,0.01135,0.004,"Python_23","Pyt_H"
"15",14,0.956,0.0256,0.01365,0.00475,"Python_23","Pyt_H"
"16",15,0.9444,0.03215,0.01745,0.006,"Python_23","Pyt_H"
"17",16,0.9294,0.0417,0.02135,0.00755,"Python_23","Pyt_H"
"18",17,0.9125,0.0506,0.0275,0.0094,"Python_23","Pyt_H"
"19",18,0.89195,0.0619,0.034,0.01215,"Python_23","Pyt_H"
"20",19,0.86525,0.07605,0.04275,0.01595,"Python_23","Pyt_H"
"21",20,0.83395,0.09405,0.05165,0.02035,"Python_23","Pyt_H"
"22",21,0.7952,0.1144,0.06495,0.02545,"Python_23","Pyt_H"
"23",22,0.749,0.13905,0.08075,0.0312,"Python_23","Pyt_H"
"24",23,0.6983,0.16365,0.09995,0.0381,"Python_23","Pyt_H"
"25",24,0.6385,0.1923,0.12075,0.04845,"Python_23","Pyt_H"
"26",25,0.5791,0.2139,0.14505,0.06195,"Python_23","Pyt_H"
"27",26,0.51375,0.23645,0.1725,0.0773,"Python_23","Pyt_H"
"28",27,0.4422,0.25905,0.20455,0.0942,"Python_23","Pyt_H"
"29",28,0.37325,0.2747,0.2378,0.11425,"Python_23","Pyt_H"
"30",29,0.30375,0.28665,0.27095,0.13865,"Python_23","Pyt_H"
"31",30,0.24455,0.2848,0.3042,0.16645,"Python_23","Pyt_H"
"32",31,0.18815,0.2771,0.33515,0.1996,"Python_23","Pyt_H"
"33",32,0.14335,0.2592,0.3623,0.23515,"Python_23","Pyt_H"
"34",33,0.1063,0.2393,0.3806,0.2738,"Python_23","Pyt_H"
"35",34,0.0789,0.2104,0.395,0.3157,"Python_23","Pyt_H"
"36",35,0.0582,0.1796,0.40245,0.35975,"Python_23","Pyt_H"
"37",36,0.0428,0.15235,0.3982,0.40665,"Python_23","Pyt_H"
"38",37,0.03375,0.12305,0.3918,0.4514,"Python_23","Pyt_H"
"39",38,0.02595,0.10045,0.37815,0.49545,"Python_23","Pyt_H"
"40",39,0.02,0.08125,0.35535,0.5434,"Python_23","Pyt_H"
"41",40,0.01725,0.06315,0.33375,0.58585,"Python_23","Pyt_H"
"42",41,0.0149,0.05095,0.3063,0.62785,"Python_23","Pyt_H"
"43",42,0.0134,0.0412,0.28055,0.66485,"Python_23","Pyt_H"
"44",43,0.0138,0.0331,0.25375,0.69935,"Python_23","Pyt_H"
"45",44,0.0134,0.02605,0.2306,0.72995,"Python_23","Pyt_H"
"46",45,0.0134,0.0209,0.20705,0.75865,"Python_23","Pyt_H"
"47",46,0.01355,0.01775,0.18465,0.78405,"Python_23","Pyt_H"
"48",47,0.01465,0.0152,0.1646,0.80555,"Python_23","Pyt_H"
"49",48,0.0151,0.01315,0.1467,0.82505,"Python_23","Pyt_H"
"50",49,0.01605,0.0113,0.1326,0.84005,"Python_23","Pyt_H"
"51",50,0.0176,0.0093,0.118,0.8551,"Python_23","Pyt_H"
"52",51,0.0187,0.00835,0.1052,0.86775,"Python_23","Pyt_H"
"53",52,0.01945,0.00755,0.09315,0.87985,"Python_23","Pyt_H"
"54",53,0.0205,0.00665,0.08235,0.8905,"Python_23","Pyt_H"
"55",54,0.02225,0.0066,0.0731,0.89805,"Python_23","Pyt_H"
"56",55,0.0241,0.0057,0.0644,0.9058,"Python_23","Pyt_H"
"57",56,0.026,0.00525,0.0577,0.91105,"Python_23","Pyt_H"
"58",57,0.02765,0.00525,0.05055,0.91655,"Python_23","Pyt_H"
"59",58,0.03035,0.00465,0.0456,0.9194,"Python_23","Pyt_H"
"60",59,0.03245,0.00435,0.04045,0.92275,"Python_23","Pyt_H"
"61",60,0.03485,0.00425,0.03575,0.92515,"Python_23","Pyt_H"
"62",61,0.03705,0.00455,0.0318,0.9266,"Python_23","Pyt_H"
"63",62,0.03955,0.0047,0.028,0.92775,"Python_23","Pyt_H"
"64",63,0.0417,0.00435,0.0253,0.92865,"Python_23","Pyt_H"
"65",64,0.04405,0.00415,0.02325,0.92855,"Python_23","Pyt_H"
"66",65,0.04665,0.00405,0.0207,0.9286,"Python_23","Pyt_H"
"67",66,0.04835,0.00375,0.0187,0.9292,"Python_23","Pyt_H"
"68",67,0.05135,0.0036,0.0174,0.92765,"Python_23","Pyt_H"
"69",68,0.0542,0.00325,0.01615,0.9264,"Python_23","Pyt_H"
"70",69,0.0572,0.00305,0.0137,0.92605,"Python_23","Pyt_H"
"71",70,0.0601,0.00255,0.0126,0.92475,"Python_23","Pyt_H"
"72",71,0.06235,0.00245,0.01125,0.92395,"Python_23","Pyt_H"
"73",72,0.0644,0.0025,0.0101,0.923,"Python_23","Pyt_H"
"74",73,0.0673,0.00225,0.00925,0.9212,"Python_23","Pyt_H"
"75",74,0.06955,0.0019,0.00805,0.9205,"Python_23","Pyt_H"
"76",75,0.0729,0.00195,0.0073,0.91785,"Python_23","Pyt_H"
"77",76,0.07555,0.00185,0.00625,0.91635,"Python_23","Pyt_H"
"78",77,0.07775,0.00155,0.0063,0.9144,"Python_23","Pyt_H"
"79",78,0.08085,0.0014,0.0056,0.91215,"Python_23","Pyt_H"
"80",79,0.0836,0.00105,0.0053,0.91005,"Python_23","Pyt_H"
"81",80,0.0862,0.001,0.00465,0.90815,"Python_23","Pyt_H"
"82",81,0.0887,0.00105,0.0043,0.90595,"Python_23","Pyt_H"
"83",82,0.0906,0.00125,0.00375,0.9044,"Python_23","Pyt_H"
"84",83,0.09285,0.00135,0.00335,0.90245,"Python_23","Pyt_H"
"85",84,0.09635,0.0013,0.0029,0.89945,"Python_23","Pyt_H"
"86",85,0.09945,0.00135,0.00285,0.89635,"Python_23","Pyt_H"
"87",86,0.10215,0.00115,0.00265,0.89405,"Python_23","Pyt_H"
"88",87,0.1047,0.00105,0.00235,0.8919,"Python_23","Pyt_H"
"89",88,0.10665,0.00095,0.0025,0.8899,"Python_23","Pyt_H"
"90",89,0.1093,0.00095,0.00205,0.8877,"Python_23","Pyt_H"
"91",90,0.11285,7e-04,0.00215,0.8843,"Python_23","Pyt_H"
"92",91,0.11615,8e-04,0.00205,0.881,"Python_23","Pyt_H"
"93",92,0.1194,0.00105,0.00195,0.8776,"Python_23","Pyt_H"
"94",93,0.1225,9e-04,0.00205,0.87455,"Python_23","Pyt_H"
"95",94,0.1252,6e-04,0.00225,0.87195,"Python_23","Pyt_H"
"96",95,0.1282,6e-04,0.00205,0.86915,"Python_23","Pyt_H"
"97",96,0.13065,0.00075,0.00185,0.86675,"Python_23","Pyt_H"
"98",97,0.1326,7e-04,0.0017,0.865,"Python_23","Pyt_H"
"99",98,0.1349,6e-04,0.00185,0.86265,"Python_23","Pyt_H"
"100",99,0.1374,7e-04,0.00145,0.86045,"Python_23","Pyt_H"
"101",100,0.13955,0.00075,0.0012,0.8585,"Python_23","Pyt_H"
"102",101,0.14215,7e-04,9e-04,0.85625,"Python_23","Pyt_H"
"103",102,0.1455,0.001,7e-04,0.8528,"Python_23","Pyt_H"
"104",103,0.1483,8e-04,0.00085,0.85005,"Python_23","Pyt_H"
"105",104,0.1505,8e-04,0.00085,0.84785,"Python_23","Pyt_H"
"106",105,0.15305,6e-04,0.001,0.84535,"Python_23","Pyt_H"
"107",106,0.15625,0.00055,9e-04,0.8423,"Python_23","Pyt_H"
"108",107,0.1595,0.00065,0.00085,0.839,"Python_23","Pyt_H"
"109",108,0.1621,6e-04,0.00095,0.83635,"Python_23","Pyt_H"
"110",109,0.1645,0.00045,0.0012,0.83385,"Python_23","Pyt_H"
"111",110,0.1666,5e-04,0.0013,0.8316,"Python_23","Pyt_H"
"112",111,0.1687,6e-04,0.00125,0.82945,"Python_23","Pyt_H"
"113",112,0.17075,0.00055,0.00115,0.82755,"Python_23","Pyt_H"
"114",113,0.1725,0.00065,0.00115,0.8257,"Python_23","Pyt_H"
"115",114,0.1751,0.00075,0.00125,0.8229,"Python_23","Pyt_H"
"116",115,0.1781,8e-04,0.00125,0.81985,"Python_23","Pyt_H"
"117",116,0.1803,8e-04,0.00115,0.81775,"Python_23","Pyt_H"
"118",117,0.18295,0.00085,0.00135,0.81485,"Python_23","Pyt_H"
"119",118,0.18525,0.001,0.00135,0.8124,"Python_23","Pyt_H"
"120",119,0.1872,0.001,0.00115,0.81065,"Python_23","Pyt_H"
"121",120,0.18855,0.00075,0.0015,0.8092,"Python_23","Pyt_H"
"122",121,0.19,0.00095,0.00145,0.8076,"Python_23","Pyt_H"
"123",122,0.19165,0.0011,0.0015,0.80575,"Python_23","Pyt_H"
"124",123,0.19415,0.001,0.00165,0.8032,"Python_23","Pyt_H"
"125",124,0.1958,0.00115,0.0019,0.80115,"Python_23","Pyt_H"
"126",125,0.1978,0.00105,0.0021,0.79905,"Python_23","Pyt_H"
"127",126,0.19935,0.0011,0.0022,0.79735,"Python_23","Pyt_H"
"128",127,0.20105,0.0015,0.00195,0.7955,"Python_23","Pyt_H"
"129",128,0.20345,0.0015,0.0019,0.79315,"Python_23","Pyt_H"
"130",129,0.205,0.0015,0.0021,0.7914,"Python_23","Pyt_H"
"131",130,0.20685,0.00145,0.0022,0.7895,"Python_23","Pyt_H"
"132",131,0.2083,0.0017,0.00225,0.78775,"Python_23","Pyt_H"
"133",132,0.2099,0.0018,0.00235,0.78595,"Python_23","Pyt_H"
"134",133,0.21205,0.00145,0.0026,0.7839,"Python_23","Pyt_H"
"135",134,0.2139,0.00155,0.0025,0.78205,"Python_23","Pyt_H"
"136",135,0.2159,0.0015,0.0023,0.7803,"Python_23","Pyt_H"
"137",136,0.218,0.00185,0.00205,0.7781,"Python_23","Pyt_H"
"138",137,0.21925,0.00215,0.00235,0.77625,"Python_23","Pyt_H"
"139",138,0.2208,0.00205,0.00255,0.7746,"Python_23","Pyt_H"
"140",139,0.2223,0.00225,0.00245,0.773,"Python_23","Pyt_H"
"141",140,0.22445,0.0022,0.0026,0.77075,"Python_23","Pyt_H"
"142",141,0.2265,0.0025,0.00265,0.76835,"Python_23","Pyt_H"
"143",142,0.22865,0.0022,0.0027,0.76645,"Python_23","Pyt_H"
"144",143,0.23055,0.00205,0.00305,0.76435,"Python_23","Pyt_H"
"145",144,0.2318,0.00205,0.0036,0.76255,"Python_23","Pyt_H"
"146",145,0.23305,0.0021,0.0036,0.76125,"Python_23","Pyt_H"
"147",146,0.2343,0.0025,0.0037,0.7595,"Python_23","Pyt_H"
"148",147,0.23575,0.0026,0.00385,0.7578,"Python_23","Pyt_H"
"149",148,0.2373,0.00285,0.0038,0.75605,"Python_23","Pyt_H"
"150",149,0.23905,0.00305,0.00385,0.75405,"Python_23","Pyt_H"
