"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_24","Pyt_H"
"2",1,0.9981,9e-04,0.001,0,"Python_24","Pyt_H"
"3",2,0.9974,0.0016,0.00085,0.00015,"Python_24","Pyt_H"
"4",3,0.9966,0.00215,0.00095,3e-04,"Python_24","Pyt_H"
"5",4,0.9958,0.00255,0.00125,4e-04,"Python_24","Pyt_H"
"6",5,0.99475,0.00325,0.00145,0.00055,"Python_24","Pyt_H"
"7",6,0.99325,0.00415,0.0019,7e-04,"Python_24","Pyt_H"
"8",7,0.9918,0.005,0.0024,8e-04,"Python_24","Pyt_H"
"9",8,0.98995,0.0057,0.00315,0.0012,"Python_24","Pyt_H"
"10",9,0.98745,0.00705,0.00405,0.00145,"Python_24","Pyt_H"
"11",10,0.98425,0.0089,0.00485,0.002,"Python_24","Pyt_H"
"12",11,0.9803,0.011,0.00645,0.00225,"Python_24","Pyt_H"
"13",12,0.97415,0.01525,0.0077,0.0029,"Python_24","Pyt_H"
"14",13,0.968,0.019,0.00935,0.00365,"Python_24","Pyt_H"
"15",14,0.9591,0.02485,0.01125,0.0048,"Python_24","Pyt_H"
"16",15,0.9488,0.03015,0.01485,0.0062,"Python_24","Pyt_H"
"17",16,0.93545,0.0389,0.0184,0.00725,"Python_24","Pyt_H"
"18",17,0.91985,0.04795,0.0238,0.0084,"Python_24","Pyt_H"
"19",18,0.89945,0.0583,0.03155,0.0107,"Python_24","Pyt_H"
"20",19,0.8746,0.07225,0.03965,0.0135,"Python_24","Pyt_H"
"21",20,0.8441,0.08785,0.0508,0.01725,"Python_24","Pyt_H"
"22",21,0.8086,0.10735,0.06155,0.0225,"Python_24","Pyt_H"
"23",22,0.7642,0.1311,0.0756,0.0291,"Python_24","Pyt_H"
"24",23,0.71705,0.153,0.0938,0.03615,"Python_24","Pyt_H"
"25",24,0.6626,0.1778,0.11375,0.04585,"Python_24","Pyt_H"
"26",25,0.60205,0.2018,0.13935,0.0568,"Python_24","Pyt_H"
"27",26,0.53495,0.22925,0.1653,0.0705,"Python_24","Pyt_H"
"28",27,0.465,0.2546,0.1951,0.0853,"Python_24","Pyt_H"
"29",28,0.3944,0.27365,0.2273,0.10465,"Python_24","Pyt_H"
"30",29,0.3282,0.28095,0.2647,0.12615,"Python_24","Pyt_H"
"31",30,0.26385,0.2848,0.29665,0.1547,"Python_24","Pyt_H"
"32",31,0.2086,0.27785,0.32845,0.1851,"Python_24","Pyt_H"
"33",32,0.1622,0.2612,0.35505,0.22155,"Python_24","Pyt_H"
"34",33,0.1222,0.23895,0.37935,0.2595,"Python_24","Pyt_H"
"35",34,0.0911,0.21615,0.39255,0.3002,"Python_24","Pyt_H"
"36",35,0.0655,0.1917,0.39755,0.34525,"Python_24","Pyt_H"
"37",36,0.0485,0.16275,0.3983,0.39045,"Python_24","Pyt_H"
"38",37,0.03645,0.13515,0.3912,0.4372,"Python_24","Pyt_H"
"39",38,0.0278,0.109,0.3808,0.4824,"Python_24","Pyt_H"
"40",39,0.0226,0.0867,0.36405,0.52665,"Python_24","Pyt_H"
"41",40,0.01885,0.0692,0.341,0.57095,"Python_24","Pyt_H"
"42",41,0.01565,0.0556,0.31875,0.61,"Python_24","Pyt_H"
"43",42,0.01385,0.0435,0.2936,0.64905,"Python_24","Pyt_H"
"44",43,0.01265,0.0352,0.2677,0.68445,"Python_24","Pyt_H"
"45",44,0.012,0.02795,0.2419,0.71815,"Python_24","Pyt_H"
"46",45,0.0121,0.02315,0.21705,0.7477,"Python_24","Pyt_H"
"47",46,0.0125,0.01885,0.1959,0.77275,"Python_24","Pyt_H"
"48",47,0.0127,0.0153,0.1737,0.7983,"Python_24","Pyt_H"
"49",48,0.0135,0.01295,0.1569,0.81665,"Python_24","Pyt_H"
"50",49,0.01445,0.0112,0.14,0.83435,"Python_24","Pyt_H"
"51",50,0.0152,0.00985,0.12535,0.8496,"Python_24","Pyt_H"
"52",51,0.01695,0.0086,0.11175,0.8627,"Python_24","Pyt_H"
"53",52,0.01795,0.00855,0.10075,0.87275,"Python_24","Pyt_H"
"54",53,0.0201,0.008,0.09025,0.88165,"Python_24","Pyt_H"
"55",54,0.02145,0.00775,0.0806,0.8902,"Python_24","Pyt_H"
"56",55,0.0229,0.00705,0.07215,0.8979,"Python_24","Pyt_H"
"57",56,0.02525,0.00625,0.0648,0.9037,"Python_24","Pyt_H"
"58",57,0.02665,0.00495,0.05875,0.90965,"Python_24","Pyt_H"
"59",58,0.0287,0.0048,0.05215,0.91435,"Python_24","Pyt_H"
"60",59,0.0304,0.0052,0.04585,0.91855,"Python_24","Pyt_H"
"61",60,0.03315,0.0056,0.04165,0.9196,"Python_24","Pyt_H"
"62",61,0.0353,0.0054,0.0375,0.9218,"Python_24","Pyt_H"
"63",62,0.03665,0.0053,0.03345,0.9246,"Python_24","Pyt_H"
"64",63,0.03885,0.00505,0.0297,0.9264,"Python_24","Pyt_H"
"65",64,0.0402,0.00485,0.02645,0.9285,"Python_24","Pyt_H"
"66",65,0.0429,0.0048,0.0244,0.9279,"Python_24","Pyt_H"
"67",66,0.0461,0.0039,0.02255,0.92745,"Python_24","Pyt_H"
"68",67,0.04805,0.0038,0.02,0.92815,"Python_24","Pyt_H"
"69",68,0.05005,0.00365,0.0181,0.9282,"Python_24","Pyt_H"
"70",69,0.05255,0.0028,0.01655,0.9281,"Python_24","Pyt_H"
"71",70,0.05585,0.0028,0.0144,0.92695,"Python_24","Pyt_H"
"72",71,0.05845,0.0028,0.0129,0.92585,"Python_24","Pyt_H"
"73",72,0.06095,0.00295,0.0118,0.9243,"Python_24","Pyt_H"
"74",73,0.06405,0.0027,0.01155,0.9217,"Python_24","Pyt_H"
"75",74,0.06665,0.00225,0.0109,0.9202,"Python_24","Pyt_H"
"76",75,0.0698,0.0022,0.0102,0.9178,"Python_24","Pyt_H"
"77",76,0.07265,0.00245,0.0095,0.9154,"Python_24","Pyt_H"
"78",77,0.07565,0.0024,0.0086,0.91335,"Python_24","Pyt_H"
"79",78,0.07875,0.00215,0.0084,0.9107,"Python_24","Pyt_H"
"80",79,0.08245,0.00215,0.00775,0.90765,"Python_24","Pyt_H"
"81",80,0.08565,0.0024,0.0065,0.90545,"Python_24","Pyt_H"
"82",81,0.0884,0.0021,0.00665,0.90285,"Python_24","Pyt_H"
"83",82,0.09115,0.00165,0.00665,0.90055,"Python_24","Pyt_H"
"84",83,0.0938,0.0017,0.00655,0.89795,"Python_24","Pyt_H"
"85",84,0.09585,0.00195,0.006,0.8962,"Python_24","Pyt_H"
"86",85,0.0982,0.00225,0.00495,0.8946,"Python_24","Pyt_H"
"87",86,0.1002,0.0025,0.00465,0.89265,"Python_24","Pyt_H"
"88",87,0.10285,0.0021,0.0048,0.89025,"Python_24","Pyt_H"
"89",88,0.1059,0.0018,0.00485,0.88745,"Python_24","Pyt_H"
"90",89,0.10825,0.0014,0.0051,0.88525,"Python_24","Pyt_H"
"91",90,0.11165,0.00145,0.0046,0.8823,"Python_24","Pyt_H"
"92",91,0.11365,0.0013,0.0045,0.88055,"Python_24","Pyt_H"
"93",92,0.116,0.00135,0.0043,0.87835,"Python_24","Pyt_H"
"94",93,0.1193,0.0014,0.00395,0.87535,"Python_24","Pyt_H"
"95",94,0.12175,0.0014,0.00365,0.8732,"Python_24","Pyt_H"
"96",95,0.12435,0.00125,0.00325,0.87115,"Python_24","Pyt_H"
"97",96,0.12725,0.00135,0.003,0.8684,"Python_24","Pyt_H"
"98",97,0.1298,0.0014,0.00285,0.86595,"Python_24","Pyt_H"
"99",98,0.133,0.00115,0.00285,0.863,"Python_24","Pyt_H"
"100",99,0.13585,0.00125,0.0028,0.8601,"Python_24","Pyt_H"
"101",100,0.1388,0.00145,0.0027,0.85705,"Python_24","Pyt_H"
"102",101,0.14165,0.0018,0.00225,0.8543,"Python_24","Pyt_H"
"103",102,0.1444,0.0017,0.00245,0.85145,"Python_24","Pyt_H"
"104",103,0.1469,0.0015,0.0027,0.8489,"Python_24","Pyt_H"
"105",104,0.15015,0.00135,0.0027,0.8458,"Python_24","Pyt_H"
"106",105,0.15285,0.0013,0.0028,0.84305,"Python_24","Pyt_H"
"107",106,0.155,0.0013,0.0029,0.8408,"Python_24","Pyt_H"
"108",107,0.15825,0.00115,0.0028,0.8378,"Python_24","Pyt_H"
