step,S,E,I,R
0,0.999,0,0.001,0
1,0.9984,6e-04,0.001,0
2,0.9978,0.0012,8e-04,2e-04
3,0.99685,0.0018,0.00095,4e-04
4,0.99615,0.0021,0.00125,5e-04
5,0.9947,0.003,0.0017,6e-04
6,0.99315,0.004,0.0018,0.00105
7,0.9913,0.005,0.0024,0.0013
8,0.98855,0.006,0.00395,0.0015
9,0.9854,0.00735,0.0052,0.00205
10,0.9816,0.0093,0.0066,0.0025
11,0.9754,0.0124,0.0091,0.0031
12,0.96715,0.01715,0.0114,0.0043
13,0.957,0.02215,0.01525,0.0056
14,0.94245,0.02975,0.02045,0.00735
15,0.92795,0.03635,0.02545,0.01025
16,0.90775,0.0447,0.0333,0.01425
17,0.88165,0.0585,0.04175,0.0181
18,0.85065,0.0729,0.05265,0.0238
19,0.813,0.0906,0.0654,0.031
20,0.7687,0.11125,0.08035,0.0397
21,0.7176,0.13115,0.10105,0.0502
22,0.65925,0.15295,0.1226,0.0652
23,0.5898,0.17845,0.15045,0.0813
24,0.5195,0.19865,0.18215,0.0997
25,0.44235,0.21895,0.2126,0.1261
26,0.36865,0.22805,0.25025,0.15305
27,0.29935,0.2326,0.2812,0.18685
28,0.24005,0.22695,0.30675,0.22625
29,0.18905,0.21475,0.3292,0.267
30,0.14735,0.1952,0.34355,0.3139
31,0.1114,0.1774,0.35375,0.35745
32,0.08635,0.1567,0.35445,0.4025
33,0.06815,0.131,0.3507,0.45015
34,0.05355,0.1101,0.3425,0.49385
35,0.0412,0.09215,0.3306,0.53605
36,0.03415,0.07425,0.31335,0.57825
37,0.02935,0.06,0.29325,0.6174
38,0.0253,0.04875,0.2711,0.65485
39,0.02225,0.0397,0.2469,0.69115
40,0.0208,0.03285,0.2247,0.72165
41,0.0204,0.02675,0.2045,0.74835
42,0.0216,0.02005,0.18605,0.7723
43,0.02155,0.0174,0.16795,0.7931
44,0.0204,0.0147,0.15145,0.81345
45,0.02085,0.0125,0.13615,0.8305
46,0.022,0.01065,0.1194,0.84795
47,0.0235,0.0082,0.10675,0.86155
48,0.02555,0.0069,0.09445,0.8731
49,0.02745,0.0068,0.08395,0.8818
50,0.02895,0.0064,0.0751,0.88955
51,0.0315,0.00595,0.0664,0.89615
52,0.0328,0.00585,0.05855,0.9028
53,0.03455,0.0051,0.05225,0.9081
54,0.03755,0.0044,0.04585,0.9122
55,0.03945,0.0041,0.04035,0.9161
56,0.0414,0.004,0.0355,0.9191
57,0.0436,0.00365,0.0314,0.92135
58,0.0458,0.00385,0.0269,0.92345
59,0.04865,0.00365,0.02265,0.92505
60,0.05095,0.00345,0.0204,0.9252
61,0.0539,0.00225,0.01925,0.9246
62,0.0569,0.0024,0.0173,0.9234
63,0.06005,0.00255,0.0153,0.9221
64,0.0632,0.00215,0.01365,0.921
65,0.06695,0.0021,0.01185,0.9191
66,0.07015,0.00235,0.0105,0.917
67,0.07195,0.0022,0.00945,0.9164
68,0.07505,0.00145,0.0093,0.9142
69,0.078,0.00135,0.00795,0.9127
70,0.08045,0.0017,0.00665,0.9112
71,0.08305,0.0014,0.0066,0.90895
72,0.0865,0.0011,0.0059,0.9065
73,0.0897,0.0012,0.00505,0.90405
74,0.09255,0.0012,0.00465,0.9016
75,0.09455,0.00145,0.00425,0.89975
76,0.09755,0.0014,0.0039,0.89715
77,0.0997,0.0016,0.00355,0.89515
78,0.1017,0.0016,0.0031,0.8936
79,0.105,0.00145,0.0031,0.89045
80,0.10755,0.00105,0.0028,0.8886
81,0.11075,0.00085,0.0026,0.8858
82,0.11365,0.00075,0.00265,0.88295
83,0.11655,8e-04,0.0022,0.88045
84,0.11965,0.00085,0.00215,0.87735
85,0.12205,9e-04,0.002,0.87505
86,0.12465,7e-04,0.0019,0.87275
87,0.12655,0.00065,0.0016,0.8712
88,0.1296,0.00075,0.00145,0.8682
89,0.1323,0.00075,0.00125,0.8657
90,0.135,6e-04,0.0012,0.8632
91,0.13695,0.00075,0.0012,0.8611
92,0.139,0.00075,0.001,0.85925
93,0.1412,0.00065,0.0011,0.85705
94,0.14375,8e-04,9e-04,0.85455
95,0.14645,6e-04,0.001,0.85195
96,0.1493,0.00055,0.001,0.84915
97,0.15165,0.00045,0.00115,0.84675
98,0.15375,6e-04,0.0011,0.84455
99,0.15625,6e-04,0.0011,0.84205
100,0.15835,0.00055,0.00115,0.83995
101,0.1608,6e-04,0.001,0.8376
102,0.163,0.00055,0.00105,0.8354
103,0.16595,0.00025,0.00125,0.83255
104,0.16825,0.00035,0.00125,0.83015
105,0.17065,5e-04,0.00105,0.8278
106,0.1727,0.00065,9e-04,0.82575
107,0.1753,0.00055,9e-04,0.82325
108,0.1771,6e-04,0.00095,0.82135
109,0.18,6e-04,0.001,0.8184
110,0.1814,0.00075,0.001,0.81685
111,0.18355,0.00065,0.001,0.8148
112,0.18595,0.00065,0.00105,0.81235
113,0.1883,0.00055,0.00125,0.8099
114,0.1909,0.00065,8e-04,0.80765
115,0.19305,6e-04,9e-04,0.80545
116,0.1951,0.00045,0.00095,0.8035
117,0.1974,5e-04,0.001,0.8011
118,0.19995,0.00045,8e-04,0.7988
119,0.20165,0.00065,0.00075,0.79695
120,0.2036,0.00065,0.00075,0.795
121,0.2061,0.00055,8e-04,0.79255
122,0.20805,7e-04,8e-04,0.79045
123,0.2102,7e-04,0.00085,0.78825
124,0.21255,6e-04,0.00105,0.7858
125,0.21475,7e-04,0.00115,0.7834
126,0.2173,0.00075,0.00125,0.7807
127,0.21965,0.00065,0.00125,0.77845
128,0.222,0.00075,0.00115,0.7761
129,0.22425,6e-04,0.00135,0.7738
130,0.2264,0.00045,0.00135,0.7718
131,0.22825,6e-04,0.0013,0.76985
132,0.23015,0.00085,0.0012,0.7678
133,0.2323,0.00075,0.0013,0.76565
134,0.23385,7e-04,0.00135,0.7641
135,0.23545,7e-04,0.00155,0.7623
136,0.237,6e-04,0.00155,0.76085
137,0.2392,8e-04,0.00175,0.75825
138,0.24075,0.0012,0.0019,0.75615
139,0.2424,0.0011,0.00205,0.75445
140,0.24385,0.0014,0.00205,0.7527
141,0.2452,0.00155,0.00215,0.7511
142,0.247,0.0018,0.0021,0.7491
143,0.24825,0.0019,0.0025,0.74735
144,0.2503,0.00165,0.0029,0.74515
145,0.2516,0.00185,0.00295,0.7436
146,0.2535,0.0016,0.00335,0.74155
147,0.25565,0.0015,0.0032,0.73965
148,0.257,0.0014,0.0028,0.7388
149,0.25945,0.00145,0.00275,0.73635
150,0.26175,0.0015,0.00245,0.7343
151,0.263,0.00145,0.00255,0.733
152,0.2641,0.0014,0.00285,0.73165
153,0.26575,0.00145,0.0031,0.7297
154,0.26725,0.0017,0.0031,0.72795
155,0.2689,0.0019,0.0033,0.7259
156,0.2707,0.0021,0.0034,0.7238
157,0.27175,0.00265,0.0034,0.7222
158,0.27315,0.0021,0.00415,0.7206
159,0.2745,0.0023,0.00405,0.71915
160,0.2747,0.0027,0.0044,0.7182
161,0.27575,0.00255,0.0047,0.717
162,0.2765,0.0029,0.00465,0.71595
163,0.2768,0.0035,0.00465,0.71505
164,0.27805,0.0036,0.0048,0.71355
165,0.2788,0.0035,0.00535,0.71235
166,0.27895,0.004,0.0052,0.71185
167,0.27975,0.0043,0.00575,0.7102
168,0.28035,0.00445,0.00625,0.70895
169,0.2806,0.0048,0.0065,0.7081
170,0.282,0.004,0.0075,0.7065
171,0.2825,0.0046,0.0077,0.7052
172,0.28245,0.00565,0.0075,0.7044
173,0.28315,0.0059,0.00825,0.7027
174,0.2831,0.0065,0.00905,0.70135
175,0.2829,0.0069,0.00955,0.70065
176,0.28285,0.00735,0.01,0.6998
177,0.282,0.0078,0.01085,0.69935
178,0.28125,0.00835,0.01155,0.69885
179,0.28145,0.00805,0.01265,0.69785
180,0.2817,0.0076,0.013,0.6977
181,0.2809,0.0088,0.01335,0.69695
182,0.2805,0.00955,0.0139,0.69605
183,0.2805,0.0093,0.01485,0.69535
184,0.2792,0.0097,0.01535,0.69575
185,0.2777,0.01005,0.01675,0.6955
186,0.2765,0.01055,0.0175,0.69545
187,0.27555,0.01015,0.0184,0.6959
188,0.27445,0.01025,0.01855,0.69675
189,0.2727,0.0109,0.01925,0.69715
190,0.27065,0.0115,0.0198,0.69805
191,0.26925,0.01235,0.02075,0.69765
192,0.2669,0.0134,0.02155,0.69815
193,0.26445,0.0141,0.02215,0.6993
194,0.2615,0.0148,0.02355,0.70015
195,0.2589,0.01495,0.02355,0.7026
196,0.25475,0.01595,0.0256,0.7037
197,0.2524,0.01725,0.02615,0.7042
198,0.24905,0.01745,0.0282,0.7053
199,0.24605,0.01765,0.0292,0.7071
200,0.24295,0.01855,0.0297,0.7088
201,0.23855,0.0197,0.03085,0.7109
202,0.23545,0.01895,0.033,0.7126
203,0.2317,0.0193,0.0349,0.7141
204,0.22745,0.0203,0.03675,0.7155
205,0.2237,0.02145,0.03605,0.7188
206,0.21895,0.02225,0.0381,0.7207
207,0.21445,0.0225,0.04055,0.7225
208,0.21055,0.02295,0.0415,0.725
209,0.20685,0.02335,0.04235,0.72745
210,0.2016,0.0233,0.0444,0.7307
211,0.198,0.02335,0.04465,0.734
212,0.1949,0.0237,0.0444,0.737
213,0.19145,0.02265,0.04515,0.74075
214,0.18865,0.0222,0.0461,0.74305
215,0.18485,0.02285,0.0458,0.7465
216,0.18245,0.0229,0.04585,0.7488
217,0.178,0.02385,0.0466,0.75155
218,0.17555,0.0231,0.04615,0.7552
219,0.17165,0.0233,0.0459,0.75915
220,0.1698,0.02215,0.0466,0.76145
221,0.16615,0.02345,0.0456,0.7648
222,0.1629,0.02395,0.0452,0.76795
223,0.16075,0.0227,0.0458,0.77075
224,0.15805,0.02245,0.04535,0.77415
225,0.1542,0.02295,0.04405,0.7788
226,0.15295,0.02155,0.0447,0.7808
227,0.1515,0.01995,0.04335,0.7852
228,0.1494,0.0201,0.04165,0.78885
229,0.14715,0.0196,0.0412,0.79205
230,0.14625,0.01885,0.04095,0.79395
231,0.14505,0.01895,0.0411,0.7949
232,0.14435,0.01815,0.04105,0.79645
233,0.14285,0.0181,0.04025,0.7988
234,0.14375,0.01575,0.04115,0.79935
235,0.14265,0.0156,0.0401,0.80165
236,0.1419,0.0163,0.0388,0.803
237,0.14205,0.015,0.0385,0.80445
238,0.14235,0.0149,0.03645,0.8063
239,0.14245,0.01405,0.0358,0.8077
240,0.14225,0.01365,0.03465,0.80945
241,0.14335,0.0137,0.03235,0.8106
242,0.144,0.0129,0.0325,0.8106
243,0.1444,0.0126,0.0328,0.8102
244,0.146,0.0123,0.0309,0.8108
245,0.1469,0.0115,0.02985,0.81175
246,0.1477,0.01215,0.02885,0.8113
247,0.1481,0.01185,0.0284,0.81165
248,0.14985,0.0119,0.02785,0.8104
249,0.151,0.0116,0.0269,0.8105
250,0.1518,0.01135,0.02675,0.8101
251,0.15305,0.0119,0.0253,0.80975
252,0.1542,0.0111,0.0253,0.8094
253,0.15585,0.0109,0.0248,0.80845
254,0.1572,0.0109,0.02485,0.80705
255,0.15795,0.01095,0.02405,0.80705
256,0.15945,0.01045,0.0241,0.806
257,0.1607,0.01025,0.02425,0.8048
258,0.1617,0.0111,0.02385,0.80335
259,0.16375,0.01,0.0245,0.80175
260,0.16685,0.0095,0.02345,0.8002
261,0.1668,0.0103,0.02215,0.80075
262,0.16835,0.00975,0.02255,0.79935
263,0.17035,0.00935,0.02235,0.79795
264,0.1714,0.00925,0.02255,0.7968
265,0.173,0.00935,0.02195,0.7957
266,0.1751,0.00945,0.0213,0.79415
267,0.1764,0.00965,0.02105,0.7929
268,0.1777,0.0103,0.02085,0.79115
269,0.1796,0.01015,0.021,0.78925
270,0.1803,0.01065,0.02055,0.7885
271,0.18235,0.0098,0.0212,0.78665
272,0.18415,0.0095,0.0205,0.78585
273,0.1868,0.00965,0.01915,0.7844
274,0.1892,0.00915,0.0193,0.78235
275,0.1907,0.0094,0.01985,0.78005
276,0.1924,0.009,0.02065,0.77795
277,0.19355,0.00955,0.02065,0.77625
278,0.19495,0.0098,0.02015,0.7751
279,0.1957,0.0103,0.02,0.774
280,0.1959,0.01055,0.02085,0.7727
281,0.1976,0.0106,0.02085,0.77095
282,0.1981,0.01095,0.0212,0.76975
283,0.1997,0.01075,0.02175,0.7678
284,0.20045,0.01135,0.02175,0.76645
285,0.2009,0.0108,0.0217,0.7666
286,0.2013,0.01115,0.02135,0.7662
287,0.2026,0.0118,0.0209,0.7647
288,0.20275,0.01175,0.0218,0.7637
289,0.2035,0.0122,0.02245,0.76185
290,0.2042,0.0125,0.0226,0.7607
291,0.20505,0.0119,0.02395,0.7591
292,0.20575,0.0122,0.02415,0.7579
293,0.2066,0.01125,0.0253,0.75685
294,0.20805,0.0119,0.02495,0.7551
295,0.2093,0.0117,0.0255,0.7535
296,0.2105,0.0122,0.02545,0.75185
297,0.21045,0.0123,0.02655,0.7507
298,0.21115,0.0131,0.02645,0.7493
299,0.21115,0.01435,0.0254,0.7491
300,0.2111,0.01445,0.02605,0.7484
301,0.21015,0.01535,0.0261,0.7484
302,0.21005,0.01545,0.02735,0.74715
303,0.20845,0.01675,0.02695,0.74785
304,0.20805,0.0165,0.0274,0.74805
305,0.20785,0.01595,0.02975,0.74645
306,0.2067,0.016,0.0306,0.7467
307,0.20535,0.01665,0.03075,0.74725
308,0.20315,0.0179,0.03095,0.748
309,0.20305,0.01655,0.03195,0.74845
310,0.2026,0.01745,0.03225,0.7477
311,0.2022,0.017,0.0325,0.7483
