step,S,E,I,R
0,1,0,0.001,0
1,0.9987,0.0013,0.001,0
2,0.99715,0.0026,0.001,2e-04
3,0.99635,0.0026,0.0015,3e-04
4,0.9946,0.00365,0.00195,0.00045
5,0.99335,0.0039,0.00245,7e-04
6,0.9913,0.005,0.0033,8e-04
7,0.98865,0.0063,0.0043,0.0011
8,0.98495,0.0078,0.00595,0.00165
9,0.98085,0.00985,0.00685,0.00275
10,0.97515,0.01325,0.00835,0.00355
11,0.96885,0.015,0.01165,0.0048
12,0.95965,0.01955,0.0146,0.0065
13,0.9487,0.0259,0.01775,0.00795
14,0.934,0.033,0.0236,0.0096
15,0.9177,0.03995,0.02975,0.0128
16,0.8958,0.0502,0.03675,0.01745
17,0.86915,0.06375,0.04525,0.022
18,0.83745,0.0768,0.05765,0.02825
19,0.79985,0.09475,0.06985,0.0357
20,0.75595,0.11295,0.08555,0.0457
21,0.70675,0.13025,0.105,0.05815
22,0.6509,0.14895,0.12795,0.07235
23,0.5884,0.16775,0.1543,0.0897
24,0.5201,0.1876,0.18195,0.1105
25,0.4533,0.20245,0.2102,0.13415
26,0.387,0.2138,0.23625,0.163
27,0.32065,0.2183,0.2674,0.1937
28,0.2604,0.218,0.29305,0.2286
29,0.208,0.2086,0.31645,0.267
30,0.1642,0.19455,0.33265,0.30865
31,0.12725,0.17605,0.3464,0.35035
32,0.09885,0.155,0.35245,0.39375
33,0.0772,0.13495,0.3487,0.4392
34,0.05895,0.11835,0.3358,0.4869
35,0.04745,0.09615,0.3257,0.5307
36,0.03945,0.07915,0.3083,0.5731
37,0.0325,0.0642,0.28795,0.61535
38,0.0281,0.05285,0.26545,0.6536
39,0.02455,0.0434,0.24635,0.6857
40,0.02385,0.03355,0.22535,0.71725
41,0.02265,0.02845,0.20455,0.74435
42,0.0221,0.02355,0.18275,0.7716
43,0.02175,0.01905,0.16575,0.79345
44,0.02215,0.01565,0.15025,0.81195
45,0.0232,0.01325,0.13505,0.8285
46,0.02365,0.0123,0.1201,0.84395
47,0.02425,0.00995,0.10795,0.85785
48,0.02565,0.00865,0.09655,0.86915
49,0.0268,0.0077,0.0882,0.8773
50,0.0286,0.0074,0.07945,0.88455
