step,S,E,I,R
0,1,0,0.001,0
1,0.9991,9e-04,0.001,0
2,0.99805,0.00155,0.00125,5e-05
3,0.9969,0.00225,0.0016,1e-04
4,0.99555,0.00315,0.0016,3e-04
5,0.99475,0.00305,0.0023,5e-04
6,0.9928,0.0041,0.0029,8e-04
7,0.99015,0.00545,0.0038,0.0011
8,0.98765,0.0063,0.00475,0.0017
9,0.98455,0.0076,0.00575,0.0025
10,0.9802,0.0103,0.00665,0.0031
11,0.97525,0.0123,0.00865,0.004
12,0.96865,0.0158,0.0108,0.00495
13,0.96095,0.0195,0.01345,0.0063
14,0.95185,0.0235,0.01655,0.0083
15,0.9388,0.02935,0.02135,0.01065
16,0.9236,0.0357,0.02685,0.01395
17,0.9024,0.0468,0.0339,0.017
18,0.878,0.0582,0.042,0.0219
19,0.84855,0.0721,0.05265,0.0268
20,0.8147,0.08605,0.065,0.03435
21,0.7728,0.10495,0.07935,0.043
22,0.7228,0.1264,0.0977,0.0532
23,0.6723,0.14235,0.11955,0.0659
24,0.6113,0.1623,0.1443,0.0822
25,0.5449,0.1837,0.17065,0.10085
26,0.47915,0.19865,0.19775,0.1245
27,0.40865,0.21305,0.22945,0.1489
28,0.3448,0.21825,0.2563,0.1807
29,0.2823,0.21885,0.28655,0.21235
30,0.22945,0.2113,0.31055,0.2487
31,0.18095,0.1994,0.33185,0.2878
32,0.1413,0.18285,0.34325,0.3326
33,0.10935,0.16315,0.3487,0.3788
34,0.08435,0.1415,0.3494,0.42475
35,0.06585,0.1179,0.3447,0.47155
36,0.052,0.09815,0.33185,0.518
37,0.04145,0.082,0.31695,0.5596
38,0.0335,0.0686,0.29695,0.60095
39,0.0301,0.05375,0.27815,0.638
40,0.0259,0.04395,0.2565,0.67365
41,0.0236,0.036,0.23475,0.70565
42,0.0216,0.03075,0.21175,0.7359
43,0.02085,0.0257,0.19265,0.7608
44,0.02025,0.02145,0.17225,0.78605
45,0.02035,0.0187,0.15355,0.8074
46,0.02115,0.0153,0.1385,0.82505
47,0.0219,0.01195,0.12575,0.8404
48,0.02255,0.0104,0.1144,0.85265
49,0.02365,0.009,0.1028,0.86455
50,0.02415,0.00835,0.09145,0.87605
51,0.0263,0.0071,0.08265,0.88395
52,0.0274,0.007,0.0725,0.8931
53,0.0288,0.0065,0.06395,0.90075
54,0.03105,0.00605,0.05675,0.90615
55,0.03325,0.0054,0.0505,0.91085
56,0.0354,0.00445,0.0454,0.91475
57,0.0382,0.00465,0.03965,0.9175
58,0.0404,0.00415,0.0351,0.92035
59,0.0428,0.00405,0.0316,0.92155
60,0.0452,0.0038,0.02795,0.92305
61,0.0482,0.00295,0.02555,0.9233
62,0.0501,0.00245,0.023,0.92445
63,0.05285,0.00205,0.02075,0.92435
