step,S,E,I,R
0,1,0,0.001,0
1,0.999,0.001,0.001,0
2,0.9978,0.00205,0.00105,1e-04
3,0.9971,0.0021,0.0014,0.00025
4,0.996,0.0026,0.00165,5e-04
5,0.99445,0.0033,0.0021,7e-04
6,0.9927,0.0043,0.0024,0.001
7,0.991,0.00485,0.0033,0.0012
8,0.98855,0.0059,0.0043,0.00155
9,0.985,0.0078,0.00525,0.00215
10,0.9807,0.00995,0.00665,0.0028
11,0.97585,0.01225,0.0084,0.0036
12,0.9685,0.01635,0.01055,0.0047
13,0.9602,0.02005,0.01385,0.006
14,0.94975,0.0242,0.0182,0.00795
15,0.9352,0.03125,0.0231,0.01055
16,0.9195,0.03745,0.02895,0.0142
17,0.89965,0.0465,0.03635,0.01755
18,0.8736,0.0606,0.04305,0.0228
19,0.84345,0.07535,0.0534,0.02785
20,0.80805,0.09005,0.06715,0.0348
21,0.7618,0.1129,0.0811,0.04425
22,0.71675,0.12515,0.10365,0.0545
23,0.65925,0.1474,0.1236,0.0698
24,0.59895,0.1642,0.15155,0.08535
25,0.53235,0.1834,0.18035,0.10395
26,0.4616,0.205,0.2061,0.1273
27,0.396,0.2129,0.23645,0.15465
28,0.32815,0.22335,0.26225,0.18625
29,0.2658,0.22505,0.29045,0.2187
30,0.21475,0.2138,0.3142,0.25725
31,0.1667,0.2015,0.3343,0.2975
32,0.1272,0.1861,0.34725,0.33945
33,0.09765,0.1635,0.3522,0.38665
34,0.07735,0.13805,0.3556,0.429
35,0.0604,0.11625,0.3462,0.47715
36,0.0494,0.09695,0.3305,0.52315
37,0.04125,0.07865,0.314,0.5661
38,0.0337,0.06495,0.2935,0.60785
39,0.0282,0.05355,0.2724,0.64585
40,0.02475,0.04425,0.25145,0.67955
41,0.02225,0.036,0.23295,0.7088
42,0.02045,0.0296,0.21055,0.7394
43,0.02015,0.0232,0.1926,0.76405
44,0.0202,0.0192,0.17255,0.78805
45,0.0207,0.0167,0.15315,0.80945
46,0.021,0.0141,0.1376,0.8273
47,0.02175,0.0113,0.1229,0.84405
48,0.0228,0.0092,0.1103,0.8577
49,0.02405,0.00785,0.09865,0.86945
50,0.0248,0.0071,0.087,0.8811
51,0.0268,0.0065,0.0777,0.889
52,0.02835,0.00595,0.0682,0.8975
53,0.0307,0.00555,0.0609,0.90285
54,0.0325,0.00505,0.05455,0.9079
55,0.03545,0.00415,0.0484,0.912
56,0.0373,0.0043,0.04275,0.91565
57,0.0393,0.0041,0.0383,0.9183
58,0.0417,0.0035,0.03405,0.92075
59,0.04385,0.0038,0.031,0.92135
60,0.0464,0.0038,0.0268,0.923
61,0.0491,0.0036,0.024,0.9233
62,0.05115,0.0036,0.02165,0.9236
63,0.05385,0.0035,0.01995,0.9227
64,0.05535,0.00385,0.01815,0.92265
65,0.05845,0.00335,0.01655,0.92165
66,0.0607,0.00325,0.01455,0.9215
67,0.06325,0.0029,0.0134,0.92045
68,0.06625,0.00275,0.0125,0.9185
69,0.06905,0.0025,0.0112,0.91725
70,0.0725,0.0023,0.00995,0.91525
71,0.0758,0.0024,0.0088,0.913
72,0.0787,0.0019,0.00885,0.91055
73,0.08175,0.0017,0.0079,0.90865
74,0.08365,0.00225,0.00695,0.90715
75,0.08675,0.0018,0.00685,0.9046
76,0.08955,0.00175,0.0063,0.9024
77,0.0924,0.00145,0.006,0.90015
78,0.09555,0.0014,0.00555,0.8975
79,0.09865,0.00115,0.0054,0.8948
80,0.10095,0.00105,0.0051,0.8929
81,0.10365,0.00135,0.00445,0.89055
82,0.1064,0.0013,0.0043,0.888
83,0.1098,0.0011,0.0038,0.8853
84,0.11255,0.0011,0.00335,0.883
85,0.11495,0.001,0.00305,0.881
86,0.1176,0.001,0.00305,0.87835
87,0.12015,0.00085,0.00285,0.87615
88,0.12265,0.00075,0.00245,0.87415
89,0.12525,8e-04,0.00235,0.8716
90,0.1275,0.00085,0.0021,0.86955
91,0.13,7e-04,0.00195,0.86735
92,0.13215,0.00055,0.00185,0.86545
93,0.134,0.00075,0.00165,0.8636
94,0.13645,0.00065,0.0015,0.8614
95,0.13895,0.00065,0.00135,0.85905
96,0.1417,4e-04,0.00155,0.85635
97,0.14435,0.00035,0.00155,0.85375
98,0.147,4e-04,0.00145,0.85115
99,0.14955,0.00045,0.00125,0.84875
100,0.15195,0.00055,0.00105,0.84645
101,0.15485,0.00035,0.001,0.8438
102,0.1564,3e-04,0.0011,0.8422
103,0.15825,0.00045,0.00095,0.84035
104,0.1607,4e-04,0.001,0.8379
105,0.16305,3e-04,0.00085,0.8358
106,0.1653,0.00035,8e-04,0.83355
107,0.16805,3e-04,8e-04,0.83085
108,0.17085,2e-04,8e-04,0.82815
109,0.1729,3e-04,7e-04,0.8261
110,0.1751,3e-04,0.00065,0.82395
111,0.1774,0.00035,6e-04,0.82165
112,0.17985,4e-04,0.00055,0.8192
113,0.18245,3e-04,0.00055,0.8167
114,0.1853,0.00035,0.00055,0.8138
115,0.1874,3e-04,6e-04,0.8117
116,0.1894,4e-04,0.00055,0.80965
117,0.1923,5e-04,0.00065,0.80655
118,0.195,0.00065,6e-04,0.80375
119,0.1971,0.00035,0.00085,0.8017
120,0.1998,4e-04,8e-04,0.799
121,0.20155,7e-04,0.00085,0.7969
122,0.2036,6e-04,0.00095,0.79485
123,0.2058,0.00055,9e-04,0.79275
124,0.20785,0.00055,0.00085,0.79075
125,0.2099,5e-04,0.00095,0.78865
126,0.2118,5e-04,0.00095,0.78675
127,0.2136,0.00065,0.00095,0.7848
128,0.2161,5e-04,0.001,0.7824
129,0.2181,0.00065,0.001,0.78025
130,0.2202,0.00045,0.0012,0.77815
131,0.22185,0.00045,0.0011,0.7766
132,0.2241,0.00065,0.0013,0.77395
133,0.2257,9e-04,0.0012,0.7722
134,0.22775,0.001,0.0011,0.77015
135,0.22965,9e-04,0.00115,0.7683
136,0.2316,8e-04,0.0014,0.7662
137,0.23385,0.00085,0.0015,0.7638
138,0.23585,0.001,0.00145,0.7617
139,0.23845,9e-04,0.0016,0.75905
140,0.2405,0.00085,0.0018,0.75685
141,0.24135,0.00125,0.00155,0.75585
142,0.2429,0.00095,0.00195,0.7542
143,0.2443,8e-04,0.0018,0.7531
144,0.2464,0.00095,0.00165,0.751
145,0.24845,0.00095,0.00185,0.74875
146,0.25085,0.00135,0.0017,0.7461
147,0.2528,0.0012,0.00195,0.74405
148,0.25395,0.00145,0.00205,0.74255
149,0.2555,0.0015,0.00255,0.74045
150,0.2571,0.00155,0.0025,0.73885
151,0.2587,0.00145,0.00285,0.737
152,0.26,0.00155,0.0032,0.73525
153,0.26125,0.00175,0.0034,0.7336
154,0.2622,0.0025,0.0031,0.7322
155,0.26405,0.00245,0.0035,0.73
156,0.26485,0.00275,0.0038,0.7286
157,0.2651,0.00295,0.0044,0.72755
158,0.26585,0.003,0.0046,0.72655
159,0.26675,0.0033,0.0041,0.72585
160,0.26765,0.00325,0.00445,0.72465
161,0.26855,0.00405,0.0044,0.723
162,0.26995,0.0039,0.00485,0.7213
163,0.27145,0.00385,0.0049,0.7198
164,0.2729,0.00365,0.0055,0.71795
165,0.2739,0.00385,0.0058,0.71645
166,0.2746,0.0036,0.0061,0.7157
167,0.275,0.00415,0.0059,0.71495
168,0.276,0.00445,0.00625,0.7133
169,0.27715,0.0042,0.0067,0.71195
170,0.27685,0.0045,0.0074,0.71125
171,0.27685,0.00435,0.00815,0.71065
172,0.27765,0.0043,0.00875,0.7093
173,0.2781,0.00495,0.0083,0.70865
174,0.27855,0.0047,0.00875,0.708
175,0.27905,0.00495,0.0091,0.7069
176,0.2801,0.0058,0.0086,0.7055
177,0.27975,0.0063,0.00845,0.7055
178,0.27875,0.00775,0.00865,0.70485
179,0.2787,0.0078,0.00925,0.70425
180,0.27885,0.00745,0.0107,0.703
181,0.2787,0.00745,0.01105,0.7028
182,0.27895,0.00765,0.01145,0.70195
183,0.2784,0.0079,0.0118,0.7019
184,0.27845,0.00785,0.0129,0.7008
185,0.27735,0.0088,0.01295,0.7009
186,0.27755,0.0095,0.01285,0.7001
187,0.27645,0.00955,0.0144,0.6996
188,0.27555,0.0098,0.01555,0.6991
189,0.2744,0.01035,0.016,0.69925
190,0.2734,0.01015,0.01675,0.6997
191,0.27175,0.0109,0.0169,0.70045
192,0.2713,0.01045,0.01735,0.7009
193,0.2703,0.011,0.01775,0.70095
194,0.2692,0.0113,0.0186,0.7009
195,0.26735,0.0125,0.01925,0.7009
196,0.2663,0.0131,0.0194,0.7012
197,0.26525,0.0132,0.02045,0.7011
198,0.2636,0.0131,0.0219,0.7014
199,0.26165,0.0147,0.02195,0.7017
200,0.259,0.0154,0.02335,0.70225
201,0.2565,0.01535,0.0245,0.70365
202,0.2527,0.01605,0.02645,0.7048
203,0.24925,0.0169,0.02775,0.7061
204,0.2466,0.0177,0.0282,0.7075
205,0.24295,0.01835,0.02995,0.70875
206,0.2391,0.0197,0.0312,0.71
207,0.2352,0.01955,0.0329,0.71235
208,0.23165,0.01945,0.0342,0.7147
209,0.22735,0.02115,0.03465,0.71685
210,0.2248,0.0199,0.03665,0.71865
211,0.22115,0.02045,0.0378,0.7206
212,0.21835,0.02025,0.03855,0.72285
213,0.2138,0.02185,0.03765,0.7267
214,0.2111,0.02125,0.04015,0.7275
215,0.20695,0.0216,0.0405,0.73095
216,0.20305,0.02175,0.0414,0.7338
217,0.19945,0.02185,0.04295,0.73575
218,0.19565,0.0217,0.0443,0.73835
219,0.1912,0.0229,0.04415,0.74175
220,0.18745,0.02195,0.04605,0.74455
221,0.18365,0.02235,0.04625,0.74775
222,0.18115,0.0227,0.04545,0.7507
223,0.17705,0.02315,0.04555,0.75425
224,0.17415,0.02205,0.04625,0.75755
225,0.17105,0.02225,0.04565,0.76105
226,0.1686,0.02245,0.04545,0.7635
227,0.16615,0.0222,0.04555,0.7661
228,0.1639,0.0208,0.0465,0.7688
229,0.1612,0.0204,0.0455,0.7729
230,0.15865,0.01925,0.0454,0.7767
231,0.1565,0.0192,0.04465,0.77965
232,0.1552,0.0174,0.04515,0.78225
233,0.15345,0.01665,0.04545,0.78445
234,0.15055,0.0183,0.04375,0.7874
235,0.14835,0.0187,0.04285,0.7901
236,0.14765,0.01825,0.043,0.7911
237,0.1456,0.01765,0.0428,0.79395
238,0.14335,0.01845,0.04125,0.79695
239,0.1422,0.0178,0.0408,0.7992
240,0.14115,0.01715,0.04005,0.80165
241,0.1401,0.01625,0.0397,0.80395
242,0.13995,0.0159,0.0387,0.80545
243,0.141,0.01495,0.03775,0.8063
244,0.1404,0.01415,0.03715,0.8083
245,0.1413,0.0151,0.0348,0.8088
246,0.14115,0.0141,0.03505,0.8097
247,0.1415,0.0133,0.0342,0.811
248,0.1418,0.0135,0.0339,0.8108
249,0.1415,0.01385,0.0338,0.81085
250,0.14195,0.0129,0.0329,0.81225
251,0.14225,0.01275,0.03155,0.81345
252,0.14345,0.012,0.0311,0.81345
253,0.14335,0.0115,0.03065,0.8145
