timestamp,value1,value2,value3,value4
0.0,0.999,0.0,0.001,0.0
1.0,0.9985364902215019,0.0003804554732142857,0.0009505969387755102,0.00013245736650824714
2.0,0.9980647899349444,0.0006679216328809863,0.0010002214346728914,0.00026706699750170227
3.0,0.9975427628044474,0.0009221506260068902,0.0011192069292000775,0.000415879640345646
4.0,0.9969452660170386,0.0011708726113973278,0.00129777202106252,0.0005860893505015833
5.0,0.9962454472086448,0.0014375044442613103,0.0015316621495727312,0.0007853861975211897
6.0,0.9954159755555618,0.0017403276929983463,0.0018220839754199288,0.0010216127760199387
7.0,0.994427907116984,0.002093768240452763,0.002175225960977672,0.0013030986815856227
8.0,0.993248579246373,0.0025113370464413588,0.0026008046615423105,0.0016392790456434502
9.0,0.9918399876168981,0.003007383864998987,0.003111446445263308,0.0020411820728397636
10.0,0.9901574952543053,0.003597934424336086,0.0037227387518086923,0.002521831569550043
11.0,0.9881485188389968,0.00430130617277457,0.004453504296745662,0.0030966706914831413
12.0,0.9857510973602764,0.00513867723692708,0.005326185012472966,0.0037840403903236825
13.0,0.9828923417538836,0.006134603612813853,0.006367333065117589,0.004605721568185143
14.0,0.9794867679165113,0.007317489099861402,0.007608190832437746,0.005587552151189728
15.0,0.9754345320350991,0.00872000581080764,0.009085332237546668,0.006760129916546808
16.0,0.97061962108797,0.010379434347206335,0.010841336727523517,0.008159607837300431
17.0,0.9649080937243303,0.012337864239946513,0.012925458316666978,0.009828583719056466
18.0,0.9581465199905533,0.014642166568932706,0.015394234082409778,0.011817079358104372
19.0,0.9501608369719478,0.017343617148310685,0.018311951014829866,0.014183594864911931
20.0,0.9407559228082376,0.020497010186990693,0.02175085700075522,0.01699621000401668
21.0,0.9297162916668332,0.02415906226610817,0.025790960734915803,0.02033368533214302
22.0,0.9168084199431009,0.028385871573088556,0.03051921792529213,0.0242864905585186
23.0,0.9017853137415047,0.03322917948446083,0.036027851513028654,0.02895765526100602
24.0,0.8843939921854068,0.038731199521912965,0.04241151018225472,0.0344632981104257
25.0,0.8643865480160368,0.04491785852783153,0.049762946521543096,0.04093264693458881
26.0,0.8415352988482501,0.05179046809748739,0.05816691535802493,0.04850731769623786
27.0,0.8156521927464186,0.05931614093690168,0.06769208255906434,0.05733958375761564
28.0,0.786612021212667,0.06741770163963859,0.07838092710886688,0.06758935003882782
29.0,0.7543780999129724,0.07596439194450581,0.09023794157390161,0.07941956656862047
30.0,0.719027962377272,0.08476525096106625,0.10321689488451147,0.09298989177715064
31.0,0.6807754599076791,0.09356749259770072,0.11720848230325712,0.10844856519136342
32.0,0.639984802400707,0.10206226238450512,0.13203025496887622,0.125922680245912
33.0,0.5971719431849325,0.10989957469644004,0.14742113185190517,0.14550735026672262
34.0,0.5529897112074307,0.11671285099320489,0.16304284117080087,0.16725459662856385
35.0,0.5081953933748375,0.12215139152801259,0.17849012470059408,0.19116309039655602
36.0,0.4636027926123835,0.12591675906396604,0.19331038822518526,0.21717006009846546
37.0,0.420024347242682,0.12779717919812894,0.2070318189822867,0.24514665457690263
38.0,0.3782115865694412,0.12769346939399254,0.21919717141327374,0.2748977726232928
39.0,0.3388030152774894,0.12563117686138223,0.22939895225095686,0.3061668556101718
40.0,0.30228705053357335,0.12175638093364416,0.23731109509513829,0.3386454734376445
41.0,0.26898429900136767,0.11631618583851011,0.24271265679762846,0.3719868583624941
42.0,0.23904934974607928,0.10962814211957929,0.2455005021284047,0.4058220060059371
43.0,0.21248865209867085,0.10204470413129824,0.24568996382622918,0.4397766799438021
44.0,0.18918887183788327,0.09391894646581747,0.24340451491825832,0.47348766677804127
45.0,0.16894965175669593,0.08557638169418627,0.23885706876766127,0.5066168977814568
46.0,0.1515156190605447,0.07729554670528149,0.2323263426593894,0.5388624915747847
47.0,0.13660414057885545,0.0692978327931579,0.22413175706678543,0.5699662695612016
48.0,0.12392708987229535,0.061745381074725644,0.21460977552082444,0.599717753532155
49.0,0.11320632804425874,0.05474496805879436,0.2040936968033667,0.6279550070935805
50.0,0.10418353799681589,0.04835559991189171,0.1928979600448997,0.654562902046393
51.0,0.09662551121234192,0.042597800344762154,0.1813072055053562,0.6794694829375401
52.0,0.09032608837547497,0.03746307373615085,0.16956974428021054,0.702641093608164
53.0,0.08510584251415966,0.032922562115968175,0.15789474273380308,0.7240768526360695
54.0,0.08081038368943846,0.028934378579069175,0.14645228522138323,0.7438029525101095
55.0,0.07730793626062514,0.02544944433891366,0.13537548362837867,0.7618671357720829
56.0,0.0744866360988019,0.02241588025144351,0.12476389629252384,0.7783335873572311
57.0,0.07225183276600328,0.01978212712466104,0.11468765471363948,0.7932783853956966
58.0,0.07052356226024056,0.017499020297790668,0.10519184106702095,0.8067855763749482
59.0,0.06923427369215039,0.015521048773445525,0.09630079301031272,0.8189438845240917
60.0,0.06832684003007104,0.013807008019630123,0.08802212481139905,0.8298440271389002
61.0,0.06775285086640642,0.012320222685097526,0.08035034245439375,0.8395765839941027
62.0,0.06747116738948113,0.011028479874969235,0.07326999618470674,0.8482303565508433
63.0,0.06744671135106192,0.009903780349977551,0.06675836004435605,0.8558911482546049
64.0,0.06764945720279184,0.008921986406755521,0.0607876581453512,0.8626408982451018
65.0,0.06805359729188193,0.008062421980447241,0.05532687548951446,0.8685571052381568
66.0,0.06863685246959256,0.0073074624740436895,0.05034320037437884,0.8737124846819853
67.0,0.06937990368742161,0.006642138308107917,0.045803148537813115,0.8781748094666577
68.0,0.07026592355114755,0.006053766395909869,0.04167341829786754,0.8820068917550754
69.0,0.07128019004909995,0.00553161688954326,0.03792152261013066,0.8852666704512265
70.0,0.07240976760883067,0.005066617909257018,0.03451623931708323,0.8880073751648295
71.0,0.07364324320444345,0.004651097976536498,0.03142791567478518,0.8902777431442354
72.0,0.0749705074298913,0.004278564056853309,0.02862865801735527,0.8921222704959006
73.0,0.07638257229583677,0.0039435121236183965,0.02609243246984316,0.8935814831107022
74.0,0.0778714190370448,0.003641266714231225,0.023795098118266546,0.8946922161304579
75.0,0.07942987047586561,0.003367845868126448,0.02171439007086748,0.8954878935851409
76.0,0.08105148351642892,0.0031198479773602295,0.01982986641463868,0.8959988020915726
77.0,0.08273045818152654,0.0028943573468047054,0.01812283016541822,0.8962523543062509
78.0,0.08446156028310847,0.002688865588824688,0.01657623488619078,0.8962733392418765
