timestamp,value1,value2,value3,value4
35,0.50777377062806761,0.12219537166830491,0.17864986258371335,0.1913809951199141
36,0.46318453824726108,0.12593845942343362,0.19346551976103069,0.21741148256827458
37,0.4196192590811218,0.12779414852037246,0.20717551075136165,0.24541108164714409
38,0.37782874627623414,0.12766545165350432,0.21932218567176767,0.27518361639849381
39,0.33844988220454197,0.12558030024078431,0.22949846063911802,0.30647135691555577
40,0.30196881241042117,0.12168687424334575,0.2373795729830962,0.3389647403631369
41,0.26870360690552186,0.11623367817165946,0.24274665629882142,0.37231605862399719
42,0.23880645302808939,0.1095387368148039,0.24549911364507224,0.40615569651203454
43,0.2122818427127072,0.10195407680215858,0.2456548575842174,0.44010922290091681
44,0.18901508795934641,0.093831678056508425,0.24333957264912576,0.47381366133501945
45,0.16880509039143732,0.085495631067211919,0.23876772217961487,0.50693155636173604
46,0.15139625059688333,0.077223049530779256,0.23221879100571707,0.53916190886662052
47,0.13650607614996255,0.069234132132608942,0.22401223063021417,0.57024756108721453
48,0.12384680098628445,0.061690168009428697,0.21448396168003184,0.59997906932425538
49,0.11314074640673202,0.05469742802100188,0.20396637910960197,0.62819544646266445
50,0.10413007275023985,0.048314699207457075,0.1927728632655514,0.65478236477675189
51,0.096582017649289947,0.04256248688803653,0.18118700372624189,0.67966849173643196
52,0.090290813636470679,0.037432394601249419,0.16945617590999973,0.70282061585228051
53,0.085077364710532358,0.032895715493643549,0.157788779607098,0.72423814018872634
54,0.080787553612562554,0.028910721830664111,0.14635431507153643,0.74394740948523708
55,0.077289825894444705,0.025428477452438012,0.13528547951956832,0.76199621713354915
56,0.074472495208777023,0.022397218957869371,0.12468155922459551,0.77844872660875841
57,0.072241053303260694,0.019765474692374014,0.11461252490189097,0.79338094710247464
58,0.070515649654291954,0.017484142779134397,0.10512337923355745,0.80687682833301666
59,0.069228823917920165,0.015507755550382824,0.096238436040339242,0.8190249844913583
60,0.068323521379121455,0.01379513774932996,0.087965321180488804,0.82991601969106032
61,0.067751389489200148,0.012309633877083713,0.080298572699098986,0.8396404039346177
62,0.067471335834421067,0.011019045029775534,0.073222782957230628,0.84828683617857326
63,0.067448319475027538,0.0098953826077400192,0.066715271351440494,0.85594102656579241
64,0.067652344955473342,0.0089145178221557517,0.060748306447863776,0.86268483077450753
65,0.068057628980595003,0.0080557827535183094,0.055290914542654508,0.86859567372323265
66,0.068641912194634447,0.0073015606686563416,0.050310321056303245,0.87374620608040643
67,0.069385891703831928,0.0066368897570424704,0.045773074443414989,0.87820414409571113
68,0.070272753364400337,0.0060490946171958999,0.041645901541844867,0.88203225047655931
69,0.071287786092766994,0.0055274529264749024,0.037896340060605695,0.88528842092015281
70,0.072418063384058429,0.0050629000632335785,0.034493189339987677,0.88802584721272082
71,0.073652179786102959,0.004647771435415296,0.031406815386169899,0.89029323339231226
72,0.074980032263988444,0.0042755804388170861,0.028609340996882355,0.8921350463003126
73,0.076392638228365922,0.0039408289632729835,0.02607474686992569,0.8935917859384358
74,0.077881983526823018,0.0036388469179546084,0.023778905099654291,0.89470026445556849
75,0.079440894953687766,0.0033656571625302455,0.021699562500150701,0.89549388538363173
76,0.081062932860670386,0.0031178623700433609,0.019816287767756308,0.89600291700153034
77,0.08274230028650989,0.002892550613578574,0.018110393591108446,0.8962547555088034
78,0.08447376570146943,0.0026872167969481612,0.016564842392870236,0.89627417510871243
79,0.086252597010611928,0.0024996973972614099,0.015164142391952648,0.89608356320017424
80,0.088074504902281442,0.0023281163278388796,0.013894239052655665,0.89570313971722404
81,0.089935593985068785,0.0021708400480755161,0.012742405683270092,0.89515116028358555
