step,S,E,I,R
0,4.995e-05,0,5e-08,0
1,0.999,0,0.001,0
2,0.9981,9e-04,8e-04,2e-04
3,0.99725,0.0013,0.00105,4e-04
4,0.99675,0.0014,0.00115,7e-04
5,0.9954,0.0022,0.0016,8e-04
6,0.99385,0.0027,0.0024,0.00105
7,0.99245,0.00295,0.0031,0.0015
8,0.98975,0.0047,0.00365,0.0019
9,0.9863,0.00635,0.005,0.00235
10,0.9825,0.008,0.0061,0.0034
11,0.97695,0.01035,0.0083,0.0044
12,0.96995,0.0128,0.0112,0.00605
13,0.96175,0.01575,0.0139,0.0086
14,0.9489,0.02295,0.0172,0.01095
15,0.9347,0.02915,0.0226,0.01355
16,0.91475,0.03755,0.0303,0.0174
17,0.88885,0.04765,0.04115,0.02235
18,0.85475,0.06335,0.05175,0.03015
19,0.8171,0.07775,0.0662,0.03895
20,0.7694,0.097,0.0841,0.0495
21,0.71535,0.1132,0.10635,0.0651
22,0.65645,0.1294,0.13145,0.0827
23,0.58875,0.14885,0.15715,0.10525
24,0.5085,0.17355,0.1878,0.13015
25,0.4357,0.18045,0.22305,0.1608
26,0.3636,0.18845,0.25055,0.1974
27,0.2952,0.19,0.27645,0.23835
28,0.2353,0.18385,0.29895,0.2819
29,0.18615,0.1691,0.31825,0.3265
30,0.14655,0.14975,0.33045,0.37325
31,0.11705,0.1312,0.3304,0.42135
32,0.09375,0.112,0.323,0.47125
33,0.07515,0.09475,0.314,0.5161
34,0.0614,0.0792,0.3015,0.5579
35,0.0518,0.06645,0.2838,0.59795
36,0.04285,0.05605,0.26535,0.63575
37,0.0386,0.04435,0.2459,0.67115
38,0.03435,0.03685,0.2252,0.7036
39,0.03175,0.0297,0.20325,0.7353
40,0.0303,0.0238,0.1862,0.7597
41,0.0284,0.02035,0.1674,0.78385
42,0.027,0.0166,0.1504,0.806
43,0.0272,0.0129,0.13495,0.82495
44,0.02775,0.01135,0.1216,0.8393
45,0.0286,0.01055,0.10795,0.8529
46,0.0297,0.00885,0.09755,0.8639
47,0.03045,0.0082,0.0856,0.87575
48,0.03185,0.00675,0.07675,0.88465
49,0.0338,0.0059,0.06775,0.89255
50,0.03605,0.00565,0.0589,0.8994
51,0.0375,0.00485,0.0527,0.90495
52,0.03995,0.0045,0.0469,0.90865
53,0.04165,0.00435,0.0406,0.9134
54,0.04425,0.00405,0.0369,0.9148
55,0.0461,0.0039,0.03325,0.91675
56,0.04855,0.0032,0.02985,0.9184
57,0.051,0.00295,0.02595,0.9201
58,0.05425,0.00215,0.02315,0.92045
59,0.056,0.00235,0.01965,0.922
60,0.05955,0.002,0.0181,0.92035
61,0.0623,0.0018,0.0155,0.9204
62,0.06545,0.00205,0.01355,0.91895
63,0.0677,0.0016,0.0123,0.9184
64,0.07,0.0015,0.0107,0.9178
65,0.07305,0.00135,0.00945,0.91615
66,0.0757,0.00125,0.00875,0.9143
67,0.0795,0.0011,0.00755,0.91185
68,0.08235,9e-04,0.0071,0.90965
69,0.08495,0.00115,0.0061,0.9078
70,0.08765,0.001,0.00575,0.9056
71,0.0901,9e-04,0.0054,0.9036
72,0.0928,0.00115,0.00465,0.9014
73,0.0959,0.001,0.00445,0.89865
74,0.0987,0.00085,0.0041,0.89635
75,0.101,0.00065,0.0037,0.89465
76,0.10375,0.00065,0.0033,0.8923
77,0.10615,6e-04,0.003,0.89025
78,0.1085,6e-04,0.0026,0.8883
79,0.11105,7e-04,0.00215,0.8861
80,0.1137,5e-04,0.00215,0.88365
81,0.1164,5e-04,0.00175,0.88135
82,0.1184,0.00045,0.0018,0.87935
83,0.1212,5e-04,0.0015,0.8768
84,0.12365,0.00035,0.00155,0.87445
85,0.12645,0.00035,0.00145,0.87175
86,0.12855,0.00015,0.00145,0.86985
87,0.1314,3e-04,0.00135,0.86695
88,0.1343,3e-04,0.0013,0.8641
89,0.1369,3e-04,0.00115,0.86165
90,0.13905,0.00015,0.00105,0.85975
91,0.14145,1e-04,0.001,0.85745
92,0.14405,0.00015,0.00095,0.85485
93,0.1467,1e-04,0.00075,0.85245
94,0.14925,1e-04,6e-04,0.85005
95,0.15165,0.00015,6e-04,0.8476
96,0.15405,1e-04,7e-04,0.84515
97,0.15565,0.00015,0.00055,0.84365
98,0.1592,0.00015,5e-04,0.84015
99,0.1619,1e-04,0.00055,0.83745
100,0.16395,1e-04,0.00035,0.8356
101,0.1665,1e-04,0.00035,0.83305
102,0.16825,5e-05,0.00035,0.83135
103,0.1709,0,3e-04,0.8288
104,0.1737,0,0.00025,0.82605
105,0.17565,5e-05,0.00025,0.82405
106,0.1776,5e-05,0.00025,0.8221
107,0.1803,5e-05,0.00015,0.8195
108,0.18265,1e-04,0.00015,0.8171
109,0.185,1e-04,2e-04,0.8147
110,0.18735,1e-04,0.00015,0.8124
111,0.1895,1e-04,1e-04,0.8103
112,0.1916,5e-05,1e-04,0.80825
113,0.1943,5e-05,5e-05,0.8056
114,0.1967,5e-05,0,0.80325
115,0.19945,5e-05,0,0.8005
116,0.2023,5e-05,0,0.79765
117,0.20455,5e-05,0,0.7954
118,0.2074,0,5e-05,0.79255
119,0.2093,0,0,0.7907
120,0.21125,0,0,0.78875
121,0.2133,0,0,0.7867
122,0.2153,0,0,0.7847
123,0.21755,0,0,0.78245
124,0.2201,0,0,0.7799
125,0.22225,0,0,0.77775
126,0.2248,0,0,0.7752
127,0.2267,0,0,0.7733
128,0.2296,0,0,0.7704
129,0.2329,0,0,0.7671
130,0.23495,0,0,0.76505
131,0.2369,0,0,0.7631
132,0.23915,0,0,0.76085
133,0.24135,0,0,0.75865
134,0.24355,0,0,0.75645
135,0.2459,0,0,0.7541
136,0.2475,0,0,0.7525
137,0.2495,0,0,0.7505
138,0.25165,0,0,0.74835
139,0.25385,0,0,0.74615
140,0.25565,0,0,0.74435
141,0.25765,0,0,0.74235
142,0.2595,0,0,0.7405
143,0.26105,0,0,0.73895
144,0.2632,0,0,0.7368
145,0.26535,0,0,0.73465
146,0.267,0,0,0.733
147,0.26935,0,0,0.73065
148,0.27165,0,0,0.72835
149,0.27365,0,0,0.72635
150,0.2758,0,0,0.7242
151,0.278,0,0,0.722
152,0.28025,0,0,0.71975
153,0.2823,0,0,0.7177
