step,S,E,I,R
0,4.995e-05,0,5e-08,0
1,0.999,0,0.001,0
2,0.99855,0.00045,8e-04,2e-04
3,0.9981,0.00075,8e-04,0.00035
4,0.9973,0.0011,0.0011,5e-04
5,0.9967,0.00135,0.0012,0.00075
6,0.99595,0.00165,0.0013,0.0011
7,0.99495,0.0019,0.00195,0.0012
8,0.9937,0.00235,0.00235,0.0016
9,0.9922,0.00305,0.00295,0.0018
10,0.98925,0.0048,0.0038,0.00215
11,0.9862,0.0057,0.0051,0.003
12,0.98205,0.0079,0.0062,0.00385
13,0.9762,0.0106,0.008,0.0052
14,0.9686,0.0132,0.0115,0.0067
15,0.9588,0.018,0.0145,0.0087
16,0.94715,0.0224,0.01915,0.0113
17,0.9316,0.0301,0.0232,0.0151
18,0.91135,0.03825,0.03135,0.01905
19,0.88595,0.04725,0.0424,0.0244
20,0.8521,0.06195,0.05455,0.0314
21,0.80845,0.079,0.0712,0.04135
22,0.7577,0.0977,0.08995,0.05465
23,0.70175,0.11625,0.11175,0.07025
24,0.6381,0.13645,0.1369,0.08855
25,0.56605,0.15535,0.1672,0.1114
26,0.49155,0.17215,0.19855,0.13775
27,0.4163,0.1858,0.22645,0.17145
28,0.3447,0.19055,0.25445,0.2103
29,0.27735,0.1909,0.27935,0.2524
30,0.22315,0.17755,0.30265,0.29665
31,0.1724,0.1653,0.3185,0.3438
32,0.1352,0.14795,0.3251,0.39175
33,0.1057,0.1271,0.3252,0.442
34,0.08325,0.1101,0.31685,0.4898
35,0.06725,0.0901,0.3069,0.53575
36,0.0553,0.0754,0.2896,0.5797
37,0.04555,0.0622,0.2725,0.61975
38,0.03785,0.05165,0.25315,0.65735
39,0.03515,0.03955,0.23405,0.69125
40,0.03255,0.0321,0.21275,0.7226
41,0.03115,0.0256,0.19375,0.7495
42,0.03,0.0209,0.17675,0.77235
43,0.0295,0.01675,0.1574,0.79635
44,0.0293,0.01445,0.1389,0.81735
45,0.0296,0.01185,0.1242,0.83435
46,0.0298,0.0105,0.1108,0.8489
47,0.03055,0.00855,0.0972,0.8637
48,0.03195,0.00765,0.0865,0.8739
49,0.0339,0.0059,0.0762,0.884
50,0.03505,0.0055,0.0691,0.89035
51,0.0357,0.0061,0.0604,0.8978
52,0.03745,0.00495,0.05435,0.90325
53,0.0384,0.005,0.04895,0.90765
54,0.04005,0.0049,0.0438,0.91125
55,0.04165,0.00415,0.0388,0.9154
56,0.0436,0.004,0.034,0.9184
57,0.0457,0.00385,0.0302,0.92025
58,0.0483,0.0035,0.02745,0.92075
59,0.05025,0.0034,0.02475,0.9216
60,0.05375,0.00295,0.02155,0.92175
61,0.0563,0.0029,0.01975,0.92105
62,0.05895,0.0031,0.0186,0.91935
63,0.06115,0.00305,0.01645,0.91935
64,0.0642,0.00285,0.01495,0.918
65,0.0666,0.00265,0.01405,0.9167
66,0.06965,0.0019,0.0127,0.91575
67,0.07255,0.00205,0.0117,0.9137
68,0.0746,0.0022,0.0101,0.9131
69,0.0776,0.00155,0.00925,0.9116
70,0.0803,0.0017,0.00765,0.91035
71,0.083,0.00165,0.00695,0.9084
72,0.08565,0.00145,0.0067,0.9062
73,0.0888,0.00145,0.00605,0.9037
74,0.09135,0.0011,0.0055,0.90205
75,0.09455,0.00105,0.005,0.8994
76,0.0982,0.001,0.0044,0.8964
77,0.10105,0.00115,0.00405,0.89375
78,0.104,0.001,0.0038,0.8912
79,0.1072,0.00095,0.00335,0.8885
80,0.10975,0.00085,0.00305,0.88635
81,0.11245,7e-04,0.00285,0.884
82,0.11475,5e-04,0.00275,0.882
83,0.1172,0.00095,0.0023,0.87955
84,0.1194,0.00085,0.0021,0.87765
85,0.121,8e-04,0.0021,0.8761
86,0.1239,0.00065,0.00205,0.8734
87,0.12675,0.00055,0.0017,0.871
88,0.12915,0.00055,0.00155,0.86875
89,0.13155,0.00045,0.0015,0.8665
90,0.13455,3e-04,0.00145,0.8637
91,0.1373,0.00035,0.00125,0.8611
92,0.1398,0.00035,0.0011,0.85875
93,0.14245,0.00035,0.00115,0.85605
94,0.14475,0.00015,0.0012,0.8539
95,0.14705,3e-04,0.00105,0.8516
96,0.14925,1e-04,0.00105,0.8496
97,0.1512,3e-04,9e-04,0.8476
98,0.1544,4e-04,0.00095,0.84425
99,0.1567,4e-04,0.00105,0.84185
100,0.15895,4e-04,9e-04,0.83975
101,0.16145,4e-04,0.00095,0.8372
102,0.16415,0.00035,0.0011,0.8344
103,0.16655,5e-04,0.00095,0.832
104,0.1688,0.00045,0.001,0.82975
105,0.17105,6e-04,0.001,0.82735
106,0.174,6e-04,0.00115,0.82425
107,0.176,0.00065,0.00135,0.822
108,0.17805,6e-04,0.0013,0.82005
109,0.1798,0.00075,0.00115,0.8183
110,0.18165,6e-04,0.00125,0.8165
111,0.18425,6e-04,0.00115,0.814
112,0.18595,5e-04,0.00125,0.8123
113,0.18835,4e-04,0.0012,0.81005
114,0.1907,0.00035,0.00095,0.808
115,0.19305,5e-04,0.00095,0.8055
116,0.1955,4e-04,9e-04,0.8032
117,0.1975,3e-04,0.0011,0.8011
118,0.1998,0.00055,0.0011,0.79855
119,0.2019,5e-04,0.0012,0.7964
120,0.20455,0.00045,9e-04,0.7941
121,0.20735,0.00035,0.00085,0.79145
122,0.20955,5e-04,0.00085,0.7891
123,0.2122,4e-04,9e-04,0.7865
124,0.2145,0.00035,0.00085,0.7843
125,0.217,0.00045,8e-04,0.78175
126,0.2189,0.00045,0.00075,0.7799
127,0.2222,0.00045,8e-04,0.77655
128,0.22505,0.00045,8e-04,0.7737
129,0.22735,0.00035,8e-04,0.7715
130,0.22945,0.00025,0.00085,0.76945
131,0.23185,0.00055,8e-04,0.7668
132,0.2332,7e-04,0.00075,0.76535
133,0.2356,0.00065,0.00085,0.7629
134,0.2376,6e-04,9e-04,0.7609
135,0.2401,0.00065,9e-04,0.75835
136,0.2422,5e-04,0.001,0.7563
137,0.2436,0.00055,0.0011,0.75475
138,0.2449,6e-04,0.0012,0.7533
139,0.2468,0.00065,0.0013,0.75125
140,0.2492,0.00065,0.00125,0.7489
141,0.2511,6e-04,0.0015,0.7468
142,0.2534,0.00055,0.00165,0.7444
