time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.999,0.0,0.001,0.0
1.0,0.99835,0.00065,0.00065,0.00035
2.0,0.9979,0.0008,0.0008,0.0005
3.0,0.9974,0.001,0.00105,0.00055
4.0,0.9967,0.0015,0.00115,0.00065
5.0,0.9956,0.00225,0.00135,0.0008
6.0,0.99475,0.0025,0.0017,0.00105
7.0,0.9935,0.0029,0.00245,0.00115
8.0,0.99165,0.004,0.0028,0.00155
9.0,0.98895,0.00575,0.00335,0.00195
10.0,0.9863,0.00665,0.00485,0.0022
11.0,0.9813,0.01025,0.00555,0.0029
12.0,0.9756,0.01335,0.00755,0.0035
13.0,0.9688,0.01595,0.01085,0.0044
14.0,0.95995,0.02045,0.0137,0.0059
15.0,0.94835,0.0257,0.0178,0.00815
16.0,0.9335,0.03345,0.023,0.01005
17.0,0.915,0.0427,0.02815,0.01415
18.0,0.8914,0.05345,0.0369,0.01825
19.0,0.8616,0.06795,0.0477,0.02275
20.0,0.82655,0.08275,0.0622,0.0285
21.0,0.78105,0.10535,0.0778,0.0358
22.0,0.7323,0.1245,0.0967,0.0465
23.0,0.6756,0.14605,0.11945,0.0589
24.0,0.6079,0.1741,0.14365,0.07435
25.0,0.53905,0.19325,0.17375,0.09395
26.0,0.46605,0.2112,0.2055,0.11725
27.0,0.3891,0.2301,0.23755,0.14325
28.0,0.31955,0.23255,0.27315,0.17475
29.0,0.25625,0.22915,0.3037,0.2109
30.0,0.19945,0.2215,0.33045,0.2486
31.0,0.15255,0.20635,0.34855,0.29255
32.0,0.1167,0.1856,0.35895,0.33875
33.0,0.0869,0.16335,0.36545,0.3843
34.0,0.06695,0.1385,0.36125,0.4333
35.0,0.05305,0.11485,0.35395,0.47815
36.0,0.0414,0.0945,0.3378,0.5263
37.0,0.03315,0.07835,0.32125,0.56725
38.0,0.0283,0.06325,0.303,0.60545
39.0,0.02435,0.0513,0.28135,0.643
40.0,0.022,0.04225,0.2545,0.68125
41.0,0.0201,0.0335,0.23075,0.71565
42.0,0.0193,0.0265,0.2115,0.7427
