time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.999,0.0,0.001,0.0
1.0,0.9987,0.0003,0.00055,0.00045
2.0,0.9983,0.00065,0.0006,0.00045
3.0,0.9977,0.0011,0.00065,0.00055
4.0,0.9969,0.00145,0.00105,0.0006
5.0,0.9959,0.00225,0.0012,0.00065
6.0,0.99535,0.0022,0.00175,0.0007
7.0,0.9938,0.00335,0.0021,0.00075
8.0,0.99205,0.00435,0.0027,0.0009
9.0,0.98975,0.00575,0.00305,0.00145
10.0,0.9864,0.00715,0.00445,0.002
11.0,0.9828,0.00915,0.0053,0.00275
12.0,0.97765,0.0123,0.0064,0.00365
13.0,0.9706,0.01625,0.00905,0.0041
14.0,0.96225,0.0198,0.0123,0.00565
15.0,0.9523,0.02425,0.01635,0.0071
16.0,0.9379,0.03135,0.0216,0.00915
17.0,0.92005,0.04075,0.027,0.0122
18.0,0.8991,0.04975,0.03545,0.0157
19.0,0.8714,0.06345,0.04485,0.0203
20.0,0.8355,0.08175,0.0571,0.02565
21.0,0.7926,0.1003,0.07385,0.03325
22.0,0.742,0.12145,0.0937,0.04285
23.0,0.6816,0.1482,0.11465,0.05555
24.0,0.6184,0.16915,0.14135,0.0711
25.0,0.5465,0.1932,0.1698,0.0905
26.0,0.47145,0.2141,0.20285,0.1116
27.0,0.39665,0.22885,0.2373,0.1372
28.0,0.3242,0.2346,0.27065,0.17055
29.0,0.2589,0.23295,0.30315,0.205
30.0,0.20545,0.2203,0.33045,0.2438
31.0,0.1581,0.20625,0.34765,0.288
32.0,0.12185,0.185,0.3601,0.33305
33.0,0.0936,0.1617,0.36415,0.38055
34.0,0.07165,0.1386,0.3597,0.43005
35.0,0.0566,0.1151,0.3501,0.4782
36.0,0.04305,0.09785,0.334,0.5251
37.0,0.0356,0.07945,0.31605,0.5689
38.0,0.0303,0.0652,0.29645,0.60805
39.0,0.02655,0.05165,0.27655,0.64525
40.0,0.02365,0.0422,0.2538,0.68035
41.0,0.02205,0.03465,0.23245,0.71085
42.0,0.02035,0.02815,0.21195,0.73955
43.0,0.0187,0.0226,0.19355,0.76515
44.0,0.0197,0.0183,0.1731,0.7889
45.0,0.01985,0.0155,0.15495,0.8097
46.0,0.02005,0.01285,0.1374,0.8297
47.0,0.0218,0.01115,0.12315,0.8439
48.0,0.02305,0.0101,0.10995,0.8569
49.0,0.0243,0.0093,0.0976,0.8688
50.0,0.0253,0.00865,0.0855,0.88055
51.0,0.02695,0.00705,0.0775,0.8885
52.0,0.0286,0.00645,0.0689,0.89605
53.0,0.03065,0.006,0.06055,0.9028
54.0,0.0324,0.00585,0.05375,0.908
55.0,0.03435,0.00565,0.04785,0.91215
56.0,0.036,0.0051,0.04315,0.91575
