time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.999,0.0,0.001,0.0
1.0,0.9982,0.0008,0.00055,0.00045
2.0,0.9975,0.00135,0.00065,0.0005
3.0,0.99665,0.0018,0.001,0.00055
4.0,0.9957,0.0024,0.00125,0.00065
5.0,0.99445,0.00285,0.0017,0.001
6.0,0.9929,0.00365,0.00215,0.0013
7.0,0.99125,0.0039,0.00315,0.0017
8.0,0.989,0.0051,0.0034,0.0025
9.0,0.9859,0.00655,0.0047,0.00285
10.0,0.98205,0.00845,0.00605,0.00345
11.0,0.97675,0.0116,0.00735,0.0043
12.0,0.9713,0.01415,0.0097,0.00485
13.0,0.96385,0.0185,0.0117,0.00595
14.0,0.95535,0.02295,0.0145,0.0072
15.0,0.942,0.0295,0.0188,0.0097
16.0,0.9261,0.0375,0.02435,0.01205
17.0,0.9091,0.04475,0.03015,0.016
18.0,0.88695,0.0533,0.0401,0.01965
19.0,0.8544,0.0694,0.05145,0.02475
20.0,0.81855,0.08685,0.0626,0.032
21.0,0.77565,0.10495,0.0789,0.0405
22.0,0.7251,0.1281,0.0969,0.0499
23.0,0.6678,0.14925,0.1184,0.06455
24.0,0.60295,0.1726,0.14395,0.0805
25.0,0.53295,0.19615,0.1707,0.1002
26.0,0.46095,0.21295,0.20305,0.12305
27.0,0.3856,0.22865,0.23575,0.15
28.0,0.3184,0.22865,0.27305,0.1799
29.0,0.25595,0.22375,0.304,0.2163
30.0,0.20125,0.21215,0.3308,0.2558
31.0,0.1532,0.1994,0.35075,0.29665
32.0,0.11485,0.1833,0.3591,0.34275
33.0,0.08835,0.1581,0.3651,0.38845
34.0,0.06895,0.13395,0.35995,0.43715
35.0,0.05265,0.11285,0.3503,0.4842
36.0,0.0418,0.09325,0.3347,0.53025
37.0,0.0343,0.0763,0.3138,0.5756
38.0,0.02945,0.06015,0.29495,0.61545
39.0,0.025,0.04945,0.2733,0.65225
40.0,0.023,0.0391,0.25245,0.68545
41.0,0.02145,0.03105,0.23135,0.71615
42.0,0.02025,0.02565,0.2096,0.7445
43.0,0.01925,0.02135,0.19005,0.76935
44.0,0.0182,0.0186,0.1713,0.7919
45.0,0.0184,0.0147,0.1558,0.8111
46.0,0.0196,0.01295,0.1373,0.83015
47.0,0.0217,0.01125,0.1221,0.84495
48.0,0.0229,0.00995,0.1097,0.85745
49.0,0.0247,0.00855,0.0992,0.86755
50.0,0.0269,0.00735,0.08925,0.8765
51.0,0.02885,0.007,0.0784,0.88575
52.0,0.03045,0.0061,0.0697,0.89375
53.0,0.03285,0.00545,0.06235,0.89935
54.0,0.03425,0.00565,0.055,0.9051
55.0,0.0361,0.00545,0.0492,0.90925
56.0,0.0391,0.0055,0.043,0.9124
57.0,0.04035,0.00485,0.03875,0.91605
58.0,0.0424,0.00475,0.03485,0.918
59.0,0.04495,0.00445,0.0315,0.9191
60.0,0.0472,0.00415,0.0284,0.92025
61.0,0.0492,0.00415,0.0252,0.92145
62.0,0.0513,0.0036,0.02245,0.92265
63.0,0.05435,0.00315,0.0206,0.9219
64.0,0.057,0.00315,0.01875,0.9211
65.0,0.0601,0.0028,0.01735,0.91975
66.0,0.0626,0.00255,0.01555,0.9193
67.0,0.0657,0.0027,0.0138,0.9178
68.0,0.06785,0.00275,0.0125,0.9169
69.0,0.07,0.00255,0.0106,0.91685
70.0,0.0727,0.00225,0.00925,0.9158
71.0,0.07585,0.0021,0.0085,0.91355
72.0,0.07775,0.00235,0.0083,0.9116
73.0,0.0804,0.0022,0.0077,0.9097
74.0,0.08325,0.00185,0.00715,0.90775
