TIME,s,e,i,r
1,19980,0,20,0
2,19966,14,14,6
3,19952,22,18,8
4,19939,29,20,12
5,19924,37,23,16
6,19899,50,30,21
7,19870,61,45,24
8,19819,85,65,31
9,19757,114,85,44
10,19666,159,119,56
11,19580,182,162,76
12,19441,249,194,116
13,19288,298,271,143
14,19061,409,330,200
15,18760,544,440,256
16,18407,697,555,341
17,17922,903,747,428
18,17346,1145,942,567
19,16652,1397,1220,731
20,15761,1730,1561,948
21,14704,2116,1988,1192
22,13484,2505,2471,1540
23,12103,2895,3040,1962
24,10649,3276,3623,2452
25,9109,3593,4254,3044
26,7662,3755,4862,3721
27,6272,3785,5438,4505
28,5042,3694,5928,5336
29,4011,3410,6332,6247
30,3130,3121,6461,7288
31,2471,2758,6518,8253
32,1966,2398,6424,9212
33,1550,2080,6236,10134
34,1261,1747,6014,10978
35,1060,1425,5655,11860
36,912,1180,5253,12655
37,767,961,4893,13379
38,677,796,4507,14020
39,624,635,4140,14601
40,590,517,3765,15128
41,572,409,3400,15619
42,583,317,3064,16036
43,575,267,2768,16390
44,566,245,2475,16714
45,590,211,2208,16991
46,610,188,1964,17238
47,637,154,1745,17464
48,668,134,1574,17624
49,689,128,1414,17769
50,717,116,1266,17901
51,745,115,1126,18014
52,790,95,1009,18106
53,834,71,894,18201
54,895,63,792,18250
55,946,56,708,18290
56,983,55,616,18346
57,1039,55,543,18363
58,1095,45,486,18374
59,1138,54,422,18386
60,1181,52,371,18396
61,1236,50,329,18385
62,1280,52,301,18367
63,1333,46,265,18356
64,1376,45,242,18337
65,1444,35,221,18300
66,1487,32,197,18284
67,1545,38,190,18227
68,1599,31,177,18193
69,1674,26,162,18138
70,1725,32,140,18103
71,1781,31,133,18055
72,1854,20,122,18004
73,1924,22,101,17953
74,1971,20,91,17918
75,2014,21,78,17887
76,2068,22,79,17831
77,2127,22,74,17777
78,2171,23,71,17735
79,2230,18,65,17687
80,2293,16,59,17632
81,2366,15,56,17563
82,2413,12,56,17519
83,2475,13,51,17461
84,2526,17,50,17407
85,2589,16,44,17351
86,2646,18,43,17293
87,2684,19,44,17253
88,2727,14,42,17217
89,2782,14,43,17161
90,2840,16,36,17108
91,2900,17,31,17052
92,2946,14,33,17007
93,3000,12,33,16955
94,3053,10,35,16902
95,3108,11,34,16847
96,3154,16,32,16798
97,3212,13,34,16741
98,3253,16,32,16699
99,3301,18,33,16648
100,3341,19,34,16606
101,3381,17,35,16567
102,3419,11,37,16533
103,3456,16,31,16497
104,3508,12,38,16442
105,3554,10,38,16398
106,3607,9,35,16349
107,3640,13,29,16318
108,3683,13,27,16277
109,3730,9,30,16231
110,3767,15,26,16192
111,3802,15,29,16154
112,3851,15,29,16105
113,3903,11,29,16057
114,3946,11,29,16014
115,3980,18,26,15976
116,4020,12,29,15939
117,4073,11,29,15887
118,4110,13,29,15848
119,4160,15,31,15794
120,4197,13,31,15759
121,4247,13,31,15709
122,4302,13,33,15652
123,4338,13,35,15614
124,4374,11,39,15576
125,4415,11,38,15536
126,4463,15,39,15483
127,4500,23,37,15440
128,4537,20,42,15401
129,4578,17,39,15366
130,4611,18,35,15336
131,4649,19,39,15293
132,4694,20,36,15250
133,4728,22,42,15208
134,4772,20,45,15163
135,4801,16,46,15137
136,4828,18,45,15109
137,4878,21,44,15057
138,4922,22,47,15009
139,4959,24,47,14970
140,4987,19,49,14945
141,5034,20,48,14898
142,5079,23,50,14848
143,5099,22,53,14826
144,5134,26,54,14786
145,5174,20,55,14751
146,5198,25,54,14723
147,5220,31,57,14692
148,5246,35,63,14656
149,5282,27,65,14626
150,5303,32,59,14606
151,5340,35,57,14568
152,5363,40,57,14540
153,5386,44,62,14508
154,5412,39,71,14478
155,5430,41,83,14446
156,5452,39,79,14430
157,5471,40,85,14404
158,5499,45,85,14371
159,5519,44,90,14347
160,5546,49,88,14317
161,5567,55,97,14281
162,5573,69,98,14260
163,5611,61,111,14217
164,5638,61,118,14183
165,5652,67,129,14152
166,5656,68,126,14150
167,5661,76,132,14131
168,5660,92,130,14118
169,5672,91,150,14087
170,5673,92,166,14069
171,5677,95,172,14056
172,5677,104,166,14053
173,5672,102,184,14042
174,5674,99,199,14028
175,5652,117,204,14027
176,5651,117,220,14012
177,5644,113,242,14001
178,5622,142,253,13983
179,5609,152,269,13970
180,5583,151,293,13973
181,5567,158,296,13979
182,5541,178,300,13981
183,5531,167,312,13990
184,5507,159,341,13993
185,5481,172,350,13997
186,5444,181,370,14005
187,5407,190,369,14034
188,5378,198,391,14033
189,5347,196,410,14047
190,5320,206,423,14051
191,5275,236,427,14062
192,5216,243,436,14105
193,5160,259,455,14126
194,5117,262,448,14173
195,5074,255,488,14183
196,5026,256,503,14215
197,4989,254,518,14239
198,4946,256,527,14271
199,4881,280,515,14324
200,4852,257,543,14348
201,4811,271,538,14380
202,4767,261,567,14405
203,4713,270,574,14443
204,4653,277,595,14475
205,4608,279,601,14512
206,4553,291,599,14557
207,4494,309,600,14597
208,4443,300,606,14651
209,4415,305,596,14684
210,4413,293,617,14677
211,4372,286,631,14711
212,4313,298,649,14740
213,4273,289,679,14759
214,4239,281,708,14772
215,4168,301,708,14823
216,4111,306,688,14895
217,4066,295,696,14943
218,4023,292,696,14989
219,3979,301,690,15030
220,3953,289,696,15062
221,3904,285,695,15116
222,3872,287,673,15168
223,3836,289,688,15187
224,3810,277,691,15222
225,3802,267,679,15252
226,3783,257,666,15294
227,3757,254,647,15342
228,3692,263,655,15390
229,3683,245,657,15415
230,3651,245,670,15434
231,3633,231,664,15472
232,3611,237,651,15501
233,3605,253,604,15538
234,3589,261,602,15548
235,3566,260,631,15543
236,3542,276,603,15579
237,3511,287,601,15601
238,3520,275,614,15591
239,3533,243,635,15589
240,3521,239,616,15624
241,3492,251,614,15643
242,3503,230,603,15664
243,3499,214,592,15695
244,3484,238,549,15729
245,3482,228,561,15729
246,3487,221,535,15757
247,3480,218,545,15757
248,3487,208,547,15758
249,3500,211,516,15773
250,3526,206,505,15763
251,3543,184,506,15767
252,3570,173,487,15770
253,3601,179,470,15750
254,3652,159,459,15730
255,3674,164,448,15714
256,3708,173,431,15688
257,3702,177,435,15686
258,3730,168,434,15668
259,3765,172,424,15639
260,3783,178,409,15630
261,3794,175,411,15620
262,3817,170,419,15594
263,3865,152,395,15588
264,3881,175,382,15562
265,3897,169,401,15533
266,3934,174,389,15503
267,3957,169,394,15480
268,4003,147,407,15443
269,4018,160,390,15432
270,4057,144,401,15398
271,4081,143,392,15384
272,4096,145,388,15371
273,4118,153,376,15353
274,4149,146,374,15331
275,4183,156,361,15300
276,4199,172,359,15270
277,4238,165,356,15241
278,4240,161,369,15230
279,4277,142,375,15206
280,4302,154,373,15171
281,4302,171,375,15152
282,4331,183,356,15130
283,4337,197,356,15110
284,4338,194,364,15104
285,4349,190,376,15085
286,4350,190,394,15066
287,4374,201,397,15028
288,4376,214,403,15007
289,4390,203,419,14988
290,4416,196,438,14950
291,4429,197,431,14943
292,4453,184,429,14934
293,4468,189,426,14917
294,4483,191,430,14896
295,4510,199,431,14860
296,4522,209,437,14832
297,4528,215,441,14816
298,4535,202,443,14820
299,4544,208,450,14798
300,4554,210,455,14781
301,4554,221,448,14777
302,4557,227,470,14746
303,4578,211,477,14734
304,4583,211,485,14721
305,4593,212,485,14710
306,4589,222,481,14708
307,4571,251,471,14707
308,4543,264,497,14696
309,4531,255,510,14704
310,4526,250,523,14701
311,4510,278,528,14684
312,4506,259,553,14682
313,4480,272,567,14681
314,4460,278,578,14684
315,4452,267,589,14692
316,4462,241,605,14692
317,4456,253,605,14686
318,4456,268,593,14683
319,4452,295,583,14670
320,4453,292,600,14655
321,4453,293,582,14672
322,4426,291,595,14688
323,4425,288,617,14670
324,4388,310,619,14683
325,4374,311,628,14687
326,4373,323,625,14679
327,4333,344,642,14681
328,4309,342,644,14705
329,4290,323,657,14730
330,4262,330,658,14750
331,4233,328,671,14768
332,4224,307,696,14773
333,4192,326,683,14799
334,4162,314,706,14818
335,4133,324,714,14829
336,4082,321,741,14856
337,4086,294,744,14876
338,4062,315,704,14919
339,4024,309,716,14951
340,4007,315,703,14975
341,3985,316,683,15016
342,3981,293,684,15042
343,3983,272,697,15048
344,3984,260,685,15071
345,3985,268,674,15073
346,3955,269,675,15101
347,3968,258,688,15086
348,3943,257,708,15092
349,3935,254,720,15091
350,3935,270,721,15074
351,3891,311,714,15084
352,3881,298,732,15089
353,3866,299,712,15123
354,3842,292,720,15146
355,3838,272,721,15169
356,3818,269,717,15196
357,3779,283,690,15248
358,3759,271,699,15271
359,3756,269,689,15286
360,3762,254,703,15281
361,3778,258,685,15279
362,3772,275,685,15268
363,3777,277,673,15273
364,3789,278,669,15264
365,3792,285,638,15285
366,3812,269,637,15282
367,3795,283,623,15299
368,3787,288,619,15306
369,3795,264,623,15318
370,3796,275,611,15318
371,3792,268,616,15324
372,3786,272,608,15334
373,3795,265,608,15332
374,3809,253,605,15333
375,3841,250,584,15325
376,3852,255,571,15322
377,3842,252,570,15336
378,3858,231,573,15338
379,3891,232,576,15301
380,3916,220,559,15305
381,3941,229,567,15263
382,3957,237,560,15246
383,3953,239,560,15248
384,3969,233,535,15263
385,3979,249,518,15254
386,4016,242,522,15220
387,4009,253,510,15228
388,4034,232,524,15210
389,4061,219,513,15207
390,4082,233,502,15183
391,4102,230,520,15148
392,4114,236,522,15128
393,4128,235,507,15130
394,4126,240,515,15119
395,4155,227,530,15088
396,4146,253,524,15077
397,4161,221,554,15064
398,4179,238,543,15040
399,4169,259,534,15038
400,4177,247,555,15021
401,4165,261,559,15015
402,4162,260,570,15008
403,4177,264,571,14988
404,4184,271,584,14961
405,4174,271,609,14946
406,4159,271,599,14971
407,4149,283,591,14977
408,4112,300,597,14991
409,4103,289,614,14994
410,4094,291,622,14993
411,4090,284,623,15003
412,4078,295,614,15013
413,4088,286,620,15006
414,4054,297,615,15034
415,4055,283,605,15057
416,4069,262,611,15058
417,4057,270,612,15061
418,4063,262,617,15058
419,4045,269,620,15066
420,4031,265,642,15062
421,4031,278,619,15072
422,4021,287,609,15083
423,4030,276,610,15084
424,4022,278,618,15082
425,4028,275,616,15081
426,4048,291,607,15054
427,4041,285,615,15059
428,4057,287,621,15035
429,4038,286,614,15062
430,4039,305,626,15030
431,4038,271,648,15043
432,4033,288,632,15047
433,4021,298,641,15040
434,4007,286,653,15054
435,4003,302,648,15047
436,4011,301,635,15053
437,4022,297,643,15038
438,4056,281,645,15018
439,4066,272,635,15027
440,4058,272,632,15038
441,4040,274,647,15039
442,4028,280,637,15055
443,4016,282,640,15062
444,4011,266,648,15075
445,4025,268,631,15076
446,4023,267,638,15072
447,4002,290,634,15074
448,3994,285,644,15077
449,3977,282,641,15100
450,3974,267,665,15094
451,3980,258,663,15099
452,3989,250,657,15104
453,3991,267,639,15103
454,3970,265,650,15115
455,3973,252,656,15119
456,3964,248,645,15143
457,3992,220,638,15150
458,4009,242,624,15125
459,4004,272,610,15114
460,4011,271,611,15107
461,3997,284,616,15103
462,3972,293,627,15108
463,3969,281,638,15112
464,3956,296,627,15121
465,3967,276,647,15110
466,3968,276,633,15123
467,3972,271,632,15125
468,3957,287,629,15127
469,3962,273,637,15128
470,3966,263,656,15115
471,3939,294,633,15134
472,3929,286,635,15150
473,3925,288,610,15177
474,3907,272,605,15216
475,3916,265,608,15211
476,3884,274,604,15238
477,3884,256,607,15253
478,3921,240,598,15241
479,3925,244,592,15239
480,3912,238,607,15243
481,3933,232,583,15252
482,3950,220,581,15249
483,3953,245,554,15248
484,3976,220,555,15249
485,3985,230,538,15247
486,3990,234,529,15247
487,4000,229,537,15234
488,4018,222,555,15205
489,4026,219,549,15206
490,4037,214,533,15216
491,4051,222,546,15181
492,4055,225,527,15193
493,4080,224,530,15166
494,4090,236,532,15142
495,4104,226,544,15126
496,4110,217,541,15132
497,4112,215,543,15130
498,4101,220,553,15126
499,4105,229,559,15107
500,4121,233,556,15090
501,4134,243,540,15083
502,4130,246,539,15085
503,4114,240,549,15097
504,4109,238,576,15077
505,4113,245,556,15086
506,4091,250,561,15098
507,4077,259,583,15081
508,4089,249,580,15082
509,4080,257,579,15084
510,4059,303,571,15067
511,4061,283,594,15062
512,4045,279,599,15077
513,4045,278,599,15078
514,4037,287,599,15077
515,4041,262,591,15106
516,4035,259,622,15084
517,4009,295,589,15107
518,3996,284,621,15099
519,3993,282,624,15101
520,3999,276,623,15102
521,3973,289,641,15097
522,3961,293,633,15113
523,3955,282,645,15118
524,3940,289,653,15118
525,3922,300,649,15129
526,3919,292,670,15119
527,3902,303,651,15144
528,3897,315,655,15133
529,3880,291,675,15154
530,3875,270,705,15150
531,3848,290,689,15173
532,3825,303,685,15187
533,3812,307,683,15198
534,3812,282,683,15223
535,3789,282,664,15265
536,3807,282,663,15248
537,3801,290,657,15252
538,3786,300,653,15261
539,3764,293,665,15278
540,3766,287,649,15298
541,3761,285,653,15301
542,3800,257,656,15287
543,3793,275,633,15299
544,3785,294,618,15303
545,3785,271,657,15287
546,3779,279,645,15297
547,3794,280,654,15272
548,3800,275,666,15259
549,3799,266,645,15290
550,3804,245,639,15312
551,3838,250,633,15279
552,3861,252,626,15261
553,3870,235,638,15257
554,3881,229,636,15254
555,3913,231,615,15241
556,3936,232,598,15234
557,3929,248,581,15242
558,3947,235,581,15237
559,3941,249,580,15230
560,3948,250,567,15235
561,3982,238,568,15212
562,4009,218,551,15222
563,4014,229,544,15213
564,4052,238,533,15177
565,4075,230,542,15153
566,4096,238,533,15133
567,4118,214,554,15114
568,4118,227,548,15107
569,4117,241,539,15103
570,4120,244,540,15096
571,4147,238,539,15076
572,4157,239,546,15058
573,4158,254,532,15056
574,4172,239,537,15052
575,4193,240,507,15060
576,4210,243,496,15051
577,4215,266,505,15014
578,4220,266,522,14992
579,4250,255,509,14986
580,4265,261,519,14955
581,4293,245,525,14937
582,4311,226,533,14930
583,4315,235,539,14911
584,4318,244,542,14896
585,4331,244,553,14872
586,4342,257,551,14850
587,4348,263,559,14830
588,4337,260,586,14817
589,4329,261,606,14804
590,4349,267,589,14795
591,4333,284,596,14787
592,4346,283,614,14757
593,4327,284,618,14771
594,4311,294,611,14784
595,4343,298,602,14757
596,4340,289,624,14747
597,4344,283,607,14766
598,4311,286,625,14778
599,4278,309,615,14798
600,4252,316,641,14791
601,4269,294,661,14776
602,4248,327,661,14764
603,4235,307,696,14762
604,4226,308,694,14772
605,4208,306,696,14790
606,4211,299,702,14788
607,4197,312,709,14782
608,4149,340,700,14811
609,4124,332,728,14816
610,4091,327,745,14837
611,4059,318,739,14884
612,4047,315,736,14902
613,4025,316,735,14924
614,4010,311,742,14937
615,3998,292,757,14953
616,4004,302,745,14949
617,3989,316,750,14945
618,3955,320,753,14972
619,3919,316,759,15006
620,3923,313,757,15007
621,3900,302,750,15048
622,3898,286,737,15079
623,3881,318,720,15081
624,3879,314,714,15093
625,3882,296,718,15104
626,3875,278,715,15132
627,3866,283,721,15130
628,3840,297,711,15152
629,3837,285,710,15168
630,3831,294,709,15166
631,3823,296,703,15178
632,3804,282,707,15207
633,3799,286,692,15223
634,3808,279,698,15215
635,3820,280,691,15209
636,3822,279,659,15240
637,3818,282,655,15245
638,3807,273,662,15258
639,3817,265,672,15246
640,3815,272,644,15269
641,3822,285,627,15266
642,3840,271,632,15257
643,3855,281,632,15232
644,3885,256,624,15235
645,3877,267,612,15244
646,3858,256,625,15261
647,3866,264,624,15246
648,3877,272,620,15231
649,3873,261,618,15248
650,3881,248,621,15250
651,3889,257,611,15243
652,3916,249,607,15228
653,3933,252,593,15222
654,3941,276,595,15188
655,3958,279,594,15169
656,3970,277,563,15190
657,3978,299,564,15159
658,3990,304,577,15129
659,3995,284,610,15111
660,4014,288,614,15084
661,4053,275,623,15049
662,4045,272,640,15043
663,4043,291,648,15018
664,4038,276,647,15039
665,4019,293,620,15068
666,4013,296,611,15080
667,4013,281,623,15083
668,4019,283,604,15094
669,4004,296,608,15092
670,4002,292,616,15090
671,4020,262,637,15081
672,4015,267,622,15096
673,4011,261,640,15088
674,4009,259,655,15077
675,4015,254,659,15072
676,4007,268,648,15077
677,4002,273,640,15085
678,4003,265,643,15089
679,4007,271,627,15095
680,4033,261,605,15101
681,4019,268,608,15105
682,4006,269,611,15114
683,4019,271,614,15096
684,4025,269,615,15091
685,4033,261,607,15099
686,4063,242,597,15098
687,4058,256,575,15111
688,4060,256,581,15103
689,4061,239,588,15112
690,4047,240,593,15120
691,4042,240,590,15128
692,4048,237,584,15131
693,4044,239,586,15131
694,4051,225,581,15143
695,4042,234,569,15155
696,4065,240,569,15126
697,4081,257,543,15119
698,4106,244,560,15090
699,4133,249,542,15076
700,4140,226,551,15083
701,4143,239,527,15091
702,4164,240,525,15071
703,4175,254,517,15054
704,4208,229,522,15041
705,4214,248,500,15038
706,4215,241,519,15025
707,4224,230,525,15021
708,4240,231,540,14989
709,4273,228,522,14977
710,4300,220,496,14984
711,4286,228,494,14992
712,4290,234,494,14982
713,4314,222,505,14959
714,4332,227,500,14941
715,4339,222,526,14913
716,4333,227,536,14904
717,4332,232,549,14887
718,4326,240,554,14880
719,4328,234,550,14888
720,4348,221,559,14872
721,4336,248,551,14865
722,4340,247,536,14877
723,4361,254,541,14844
724,4341,251,562,14846
725,4341,249,565,14845
726,4318,256,577,14849
727,4322,252,572,14854
728,4327,262,566,14845
729,4314,284,558,14844
730,4313,279,595,14813
