TIME,s,e,i,r
1,19980,0,20,0
2,19964,16,16,4
3,19952,16,25,7
4,19932,32,22,14
5,19910,42,29,19
6,19882,57,39,22
7,19842,76,54,28
8,19787,92,82,39
9,19716,121,111,52
10,19627,166,134,73
11,19515,221,169,95
12,19320,329,236,115
13,19119,404,318,159
14,18875,512,385,228
15,18529,680,492,299
16,18105,836,691,368
17,17497,1114,924,465
18,16821,1360,1201,618
19,15984,1688,1502,826
20,15000,2030,1893,1077
21,13776,2458,2391,1375
22,12416,2865,2910,1809
23,10932,3278,3489,2301
24,9487,3556,4064,2893
25,7993,3765,4658,3584
26,6608,3774,5248,4370
27,5354,3632,5812,5202
28,4278,3410,6189,6123
29,3349,3128,6437,7086
30,2616,2797,6538,8049
31,2040,2420,6588,8952
32,1628,2048,6400,9924
33,1300,1734,6127,10839
34,1090,1394,5788,11728
35,916,1176,5432,12476
36,802,967,4997,13234
37,709,806,4601,13884
38,625,683,4206,14486
39,559,535,3851,15055
40,549,436,3491,15524
41,554,349,3121,15976
42,563,275,2827,16335
43,565,231,2539,16665
44,576,206,2252,16966
45,597,173,2007,17223
46,631,161,1783,17425
47,672,141,1582,17605
48,688,133,1375,17804
49,712,121,1230,17937
50,763,114,1110,18013
51,784,99,1009,18108
52,836,81,902,18181
53,878,79,809,18234
54,935,78,717,18270
55,986,63,650,18301
56,1032,68,570,18330
57,1077,65,513,18345
58,1139,64,453,18344
59,1185,52,406,18357
60,1238,52,351,18359
61,1276,53,298,18373
62,1330,53,265,18352
63,1381,39,258,18322
64,1429,42,224,18305
65,1487,46,186,18281
66,1527,47,179,18247
67,1583,33,166,18218
68,1642,30,153,18175
69,1693,28,139,18140
70,1748,29,123,18100
71,1799,26,111,18064
72,1846,18,106,18030
73,1888,13,86,18013
74,1949,15,82,17954
75,1993,18,76,17913
76,2044,11,78,17867
77,2093,10,72,17825
78,2144,11,67,17778
79,2183,15,61,17741
80,2232,14,55,17699
81,2289,12,58,17641
82,2334,11,47,17608
83,2387,11,48,17554
84,2435,11,47,17507
85,2494,10,45,17451
86,2544,15,41,17400
87,2598,9,41,17352
88,2653,8,40,17299
89,2696,10,34,17260
90,2743,13,26,17218
91,2800,11,29,17160
92,2854,8,27,17111
93,2899,10,23,17068
94,2943,11,26,17020
95,3002,10,26,16962
96,3044,6,26,16924
97,3098,8,21,16873
98,3141,8,17,16834
99,3199,7,16,16778
100,3255,9,15,16721
101,3300,7,14,16679
102,3350,5,13,16632
103,3397,8,15,16580
104,3437,8,15,16540
105,3484,8,14,16494
106,3536,9,12,16443
107,3590,6,15,16389
108,3639,4,14,16343
109,3689,3,13,16295
110,3737,3,11,16249
111,3794,6,10,16190
112,3845,5,12,16138
113,3885,2,11,16102
114,3940,6,9,16045
115,3990,2,13,15995
116,4041,5,11,15943
117,4093,5,12,15890
118,4136,6,11,15847
119,4184,4,10,15802
120,4237,6,9,15748
121,4283,6,10,15701
122,4333,4,12,15651
123,4368,5,11,15616
124,4401,2,12,15585
125,4442,2,10,15546
126,4475,5,8,15512
127,4521,6,8,15465
128,4565,5,7,15423
129,4607,5,8,15380
