TIME,s,e,i,r
288,3479,126,339,16056
289,3528,120,350,16002
290,3550,125,334,15991
291,3581,138,321,15960
292,3626,121,330,15923
293,3653,127,309,15911
294,3695,119,311,15875
295,3706,139,294,15861
296,3742,138,295,15825
297,3794,114,308,15784
298,3840,110,293,15757
299,3877,116,278,15729
300,3914,126,260,15700
301,3966,108,268,15658
302,3988,109,269,15634
303,4009,122,271,15598
304,4044,126,271,15559
305,4092,116,279,15513
306,4150,123,268,15459
307,4175,126,278,15421
308,4209,114,282,15395
309,4255,117,281,15347
310,4304,115,274,15307
311,4356,116,265,15263
312,4384,126,251,15239
313,4432,116,260,15192
314,4476,118,255,15151
315,4541,113,261,15085
316,4579,110,251,15060
317,4621,117,246,15016
318,4634,138,232,14996
319,4672,132,249,14947
320,4686,130,255,14929
321,4707,140,266,14887
322,4732,130,286,14852
323,4782,121,291,14806
324,4824,122,293,14761
325,4863,120,293,14724
326,4880,150,296,14674
327,4894,155,319,14632
328,4907,183,307,14603
329,4914,180,339,14567
330,4912,187,349,14552
331,4935,197,370,14498
332,4944,202,370,14484
333,4968,189,389,14454
334,4969,188,400,14443
335,4981,197,404,14418
336,5002,184,427,14387
337,5010,207,420,14363
338,4995,209,440,14356
339,4992,229,436,14343
340,4974,249,447,14330
341,4966,252,464,14318
342,4959,260,479,14302
343,4956,256,501,14287
344,4943,265,522,14270
345,4918,282,530,14270
346,4898,291,556,14255
347,4910,272,583,14235
348,4893,271,592,14244
349,4860,278,605,14257
350,4814,319,600,14267
351,4773,326,637,14264
352,4728,342,650,14280
353,4662,350,670,14318
354,4633,322,717,14328
355,4609,328,705,14358
356,4557,338,702,14403
357,4530,322,693,14455
358,4520,329,682,14469
359,4492,334,681,14493
360,4467,329,676,14528
361,4441,321,678,14560
362,4410,315,666,14609
363,4401,310,641,14648
364,4388,284,674,14654
365,4337,303,703,14657
366,4304,317,707,14672
367,4267,330,694,14709
368,4220,335,693,14752
369,4199,328,717,14756
370,4186,327,728,14759
371,4198,303,744,14755
372,4159,317,730,14794
373,4148,312,733,14807
374,4135,298,734,14833
375,4113,288,713,14886
376,4099,300,721,14880
377,4087,323,707,14883
378,4080,329,701,14890
379,4055,333,699,14913
380,4060,324,700,14916
381,4067,321,701,14911
382,4037,309,705,14949
383,4034,296,688,14982
384,4005,296,678,15021
385,4015,280,691,15014
386,4009,298,678,15015
387,3983,309,672,15036
388,3974,292,673,15061
389,3973,293,673,15061
390,3965,282,686,15067
391,3962,299,649,15090
392,3945,296,674,15085
393,3921,287,691,15101
394,3927,288,666,15119
395,3947,273,660,15120
396,3956,263,651,15130
397,3976,257,628,15139
398,3966,277,623,15134
399,3966,267,616,15151
400,3971,272,615,15142
401,3994,251,608,15147
402,3993,262,593,15152
403,3999,257,576,15168
404,4019,254,576,15151
405,4040,257,575,15128
406,4025,263,578,15134
407,4032,273,556,15139
408,4004,292,571,15133
409,4018,272,593,15117
410,4039,267,583,15111
