TIME,s,e,i,r
1,19980,0,20,0
2,19962,18,15,5
3,19945,26,22,7
4,19932,30,25,13
5,19907,40,35,18
6,19880,53,41,26
7,19848,61,57,34
8,19802,87,68,43
9,19741,119,88,52
10,19682,132,120,66
11,19569,191,158,82
12,19449,229,210,112
13,19247,336,266,151
14,19011,437,362,190
15,18711,575,456,258
16,18329,725,621,325
17,17832,948,772,448
18,17241,1183,999,577
19,16490,1476,1267,767
20,15579,1824,1594,1003
21,14483,2236,2010,1271
22,13279,2607,2502,1612
23,11877,2999,3097,2027
24,10438,3290,3706,2566
25,8938,3585,4266,3211
26,7511,3716,4875,3898
27,6195,3666,5385,4754
28,5010,3512,5827,5651
29,4041,3181,6189,6589
30,3150,3003,6323,7524
31,2506,2615,6430,8449
32,1971,2319,6277,9433
33,1575,1987,6058,10380
34,1273,1678,5805,11244
35,1061,1358,5518,12063
36,949,1091,5118,12842
37,799,948,4704,13549
38,695,816,4323,14166
39,661,654,3971,14714
40,637,541,3648,15174
41,616,440,3301,15643
42,598,371,2970,16061
43,589,313,2706,16392
44,591,261,2429,16719
45,613,220,2170,16997
46,627,181,1952,17240
47,652,155,1718,17475
48,675,139,1512,17674
49,721,115,1362,17802
50,771,117,1185,17927
51,809,98,1072,18021
52,839,88,945,18128
53,896,74,844,18186
54,937,69,748,18246
55,985,69,676,18270
56,1033,66,612,18289
57,1111,58,533,18298
58,1155,51,485,18309
59,1204,53,434,18309
60,1252,49,384,18315
61,1303,44,344,18309
62,1354,46,300,18300
63,1415,37,280,18268
64,1475,31,255,18239
65,1520,42,222,18216
66,1572,40,198,18190
67,1640,35,176,18149
68,1688,34,159,18119
69,1740,30,134,18096
70,1795,32,121,18052
71,1852,32,115,18001
72,1905,28,112,17955
73,1975,27,100,17898
74,2030,28,86,17856
75,2090,26,79,17805
76,2149,20,80,17751
77,2191,18,78,17713
78,2247,20,72,17661
79,2285,19,69,17627
80,2332,16,63,17589
81,2373,19,58,17550
82,2420,19,58,17503
83,2459,22,55,17464
84,2497,17,62,17424
85,2547,15,67,17371
86,2596,20,65,17319
87,2654,22,58,17266
88,2695,22,53,17230
89,2737,19,54,17190
90,2789,14,57,17140
91,2844,14,51,17091
92,2900,15,50,17035
93,2939,18,46,16997
94,2982,19,38,16961
95,3026,17,33,16924
96,3072,15,31,16882
97,3118,13,30,16839
98,3160,13,28,16799
99,3217,12,24,16747
100,3259,11,18,16712
101,3302,9,17,16672
102,3363,9,15,16613
103,3423,8,17,16552
104,3484,8,15,16493
105,3517,7,16,16460
106,3567,5,19,16409
107,3602,11,18,16369
108,3641,8,20,16331
109,3683,10,20,16287
110,3737,10,21,16232
111,3775,10,23,16192
112,3819,6,24,16151
113,3851,10,19,16120
114,3889,9,20,16082
115,3940,3,23,16034
116,3979,4,21,15996
117,4021,5,18,15956
118,4065,3,17,15915
119,4103,5,14,15878
