TIME,s,e,i,r
1,19980,0,20,0
2,19973,7,17,3
3,19956,20,20,4
4,19934,30,29,7
5,19913,34,40,13
6,19884,51,46,19
7,19856,51,68,25
8,19807,80,75,38
9,19747,112,91,50
10,19664,145,123,68
11,19571,191,148,90
12,19442,255,189,114
13,19267,332,258,143
14,19079,408,328,185
15,18822,518,428,232
16,18457,700,539,304
17,18003,878,712,407
18,17459,1062,945,534
19,16727,1368,1214,691
20,15864,1740,1482,914
21,14868,2054,1934,1144
22,13643,2499,2383,1475
23,12279,2924,2924,1873
24,10729,3367,3567,2337
25,9232,3621,4224,2923
26,7713,3769,4880,3638
27,6360,3761,5460,4419
28,5104,3726,5901,5269
29,4082,3467,6292,6159
30,3181,3171,6529,7119
31,2484,2791,6574,8151
32,1955,2412,6632,9001
33,1537,2054,6479,9930
34,1235,1664,6311,10790
35,1009,1392,5902,11697
36,859,1138,5483,12520
37,762,911,5037,13290
38,676,773,4563,13988
39,611,623,4152,14614
40,598,480,3759,15163
41,568,386,3390,15656
42,575,319,3012,16094
43,559,285,2678,16478
44,579,221,2395,16805
45,596,182,2109,17113
46,619,167,1869,17345
47,630,145,1669,17556
48,651,122,1489,17738
49,697,105,1368,17830
50,744,100,1219,17937
51,769,97,1075,18059
52,793,97,958,18152
53,840,84,859,18217
54,913,70,748,18269
55,956,69,655,18320
56,1009,66,597,18328
57,1057,62,521,18360
58,1104,58,453,18385
59,1150,61,412,18377
60,1191,58,361,18390
61,1249,43,326,18382
62,1288,47,311,18354
63,1328,49,280,18343
64,1387,48,259,18306
65,1440,43,228,18289
66,1477,37,205,18281
67,1534,31,182,18253
68,1590,33,170,18207
69,1639,28,159,18174
70,1699,22,148,18131
71,1746,23,134,18097
72,1803,20,123,18054
73,1862,23,109,18006
74,1927,20,102,17951
75,1989,20,82,17909
76,2037,19,79,17865
77,2102,17,71,17810
78,2150,23,63,17764
79,2200,16,72,17712
80,2265,19,67,17649
81,2318,12,74,17596
82,2389,12,65,17534
83,2440,12,53,17495
84,2482,13,48,17457
85,2541,10,45,17404
86,2596,5,42,17357
87,2643,9,33,17315
88,2692,10,32,17266
89,2744,5,33,17218
90,2801,7,28,17164
91,2846,9,24,17121
92,2894,7,26,17073
93,2954,7,24,17015
94,3009,7,24,16960
95,3058,8,23,16911
96,3095,7,24,16874
97,3148,6,24,16822
98,3203,6,22,16769
99,3250,6,21,16723
100,3317,7,19,16657
101,3366,5,19,16610
102,3420,1,20,16559
103,3463,3,17,16517
104,3517,3,16,16464
105,3550,5,14,16431
106,3594,3,12,16391
107,3638,3,9,16350
108,3687,3,8,16302
109,3731,5,6,16258
110,3773,2,8,16217
111,3826,0,9,16165
112,3877,0,8,16115
113,3919,2,7,16072
114,3962,1,8,16029
115,4006,1,7,15986
116,4048,1,7,15944
117,4088,3,5,15904
118,4130,4,4,15862
119,4166,4,5,15825
120,4209,4,3,15784
121,4252,5,2,15741
122,4292,3,3,15702
123,4337,3,4,15656
124,4384,4,3,15609
125,4434,3,4,15559
126,4482,3,5,15510
127,4526,4,6,15464
128,4562,2,8,15428
129,4600,6,7,15387
130,4639,5,10,15346
131,4693,5,10,15292
132,4724,4,12,15260
