TIME,s,e,i,r
1,19980,0,20,0
2,19972,8,19,1
3,19957,16,26,1
4,19940,26,30,4
5,19918,37,36,9
6,19893,50,40,17
7,19848,78,52,22
8,19787,116,61,36
9,19726,126,103,45
10,19639,166,134,61
11,19495,242,183,80
12,19327,310,260,103
13,19135,381,333,151
14,18822,545,416,217
15,18459,686,557,298
16,17989,904,711,396
17,17404,1137,928,531
18,16710,1386,1203,701
19,15861,1702,1521,916
20,14883,2001,1927,1189
21,13657,2442,2370,1531
22,12251,2891,2940,1918
23,10715,3313,3575,2397
24,9162,3610,4241,2987
25,7684,3772,4904,3640
26,6273,3839,5445,4443
27,5052,3655,5951,5342
28,4051,3426,6193,6330
29,3210,3129,6320,7341
30,2533,2707,6463,8297
31,2023,2289,6431,9257
32,1618,2018,6237,10127
33,1340,1689,5934,11037
34,1115,1377,5671,11837
35,919,1122,5342,12617
36,792,909,4926,13373
37,680,775,4494,14051
38,637,620,4142,14601
39,592,521,3778,15109
40,568,420,3442,15570
41,545,353,3123,15979
42,537,297,2789,16377
43,558,256,2483,16703
44,563,217,2201,17019
45,596,176,1972,17256
46,627,163,1744,17466
47,651,145,1559,17645
48,695,134,1402,17769
49,721,110,1241,17928
50,768,100,1082,18050
51,806,83,965,18146
52,841,85,863,18211
53,881,65,771,18283
54,921,65,677,18337
55,973,60,595,18372
56,1016,72,514,18398
57,1071,62,466,18401
58,1140,58,409,18393
59,1202,60,352,18386
60,1252,46,337,18365
61,1308,44,300,18348
62,1362,47,260,18331
63,1420,50,226,18304
64,1480,48,209,18263
65,1544,37,186,18233
66,1612,40,161,18187
67,1658,35,152,18155
68,1720,30,146,18104
69,1770,32,125,18073
70,1827,27,121,18025
71,1885,23,110,17982
72,1958,21,100,17921
73,2003,29,87,17881
74,2059,22,80,17839
75,2127,20,70,17783
76,2202,23,64,17711
77,2240,24,65,17671
78,2291,19,63,17627
79,2343,16,60,17581
80,2406,11,55,17528
81,2456,12,48,17484
82,2516,15,43,17426
83,2559,15,39,17387
84,2612,14,38,17336
85,2657,10,42,17291
86,2700,7,39,17254
87,2738,12,38,17212
88,2786,13,36,17165
89,2841,13,35,17111
90,2891,13,32,17064
91,2951,13,29,17007
92,2996,9,30,16965
93,3039,10,22,16929
94,3090,8,24,16878
95,3151,11,22,16816
96,3203,7,22,16768
97,3270,8,21,16701
98,3305,9,23,16663
99,3348,7,22,16623
100,3408,6,22,16564
101,3467,8,23,16502
102,3521,6,24,16449
103,3567,5,23,16405
104,3614,7,20,16359
105,3654,6,23,16317
106,3700,7,22,16271
107,3754,5,21,16220
108,3813,7,18,16162
109,3861,6,19,16114
110,3897,11,16,16076
111,3939,8,18,16035
112,3983,8,16,15993
113,4022,10,16,15952
114,4055,8,17,15920
115,4097,9,16,15878
116,4140,6,15,15839
117,4181,3,17,15799
118,4224,5,16,15755
119,4267,9,17,15707
120,4308,8,16,15668
121,4355,6,15,15624
122,4402,7,13,15578
123,4444,6,14,15536
124,4477,5,13,15505
125,4507,6,11,15476
126,4530,8,10,15452
127,4574,9,9,15408
128,4621,7,13,15359
129,4657,7,11,15325
130,4704,5,12,15279
131,4737,6,10,15247
132,4779,5,10,15206
133,4822,10,9,15159
134,4860,8,8,15124
135,4890,9,4,15097
136,4926,6,6,15062
137,4975,4,7,15014
138,5018,4,8,14970
139,5053,4,9,14934
140,5097,3,9,14891
141,5140,4,6,14850
142,5178,4,6,14812
143,5206,6,8,14780
144,5241,3,11,14745
145,5296,3,8,14693
146,5345,1,9,14645
147,5390,2,9,14599
148,5427,2,9,14562
149,5463,3,8,14526
150,5498,3,8,14491
151,5538,3,5,14454
152,5573,3,6,14418
153,5619,6,7,14368
154,5650,5,6,14339
155,5696,4,6,14294
156,5714,3,6,14277
157,5752,5,5,14238
158,5799,4,6,14191
159,5835,4,6,14155
160,5873,5,6,14116
161,5910,5,6,14079
162,5943,4,6,14047
163,5983,3,7,14007
164,6014,6,7,13973
165,6064,4,10,13922
166,6113,5,9,13873
167,6140,4,9,13847
168,6170,7,9,13814
169,6214,1,16,13769
170,6252,3,13,13732
171,6288,4,13,13695
172,6332,3,10,13655
173,6374,6,9,13611
174,6414,7,8,13571
175,6453,7,9,13531
176,6504,6,12,13478
177,6538,6,13,13443
178,6567,11,13,13409
179,6601,9,15,13375
180,6627,11,16,13346
181,6644,12,21,13323
182,6680,14,20,13286
183,6712,14,19,13255
184,6740,19,17,13224
185,6770,15,20,13195
186,6798,18,17,13167
187,6830,18,14,13138
188,6855,16,18,13111
189,6887,22,23,13068
190,6919,19,26,13036
191,6954,18,30,12998
192,6986,19,32,12963
193,7002,19,38,12941
194,7030,20,41,12909
195,7064,21,46,12869
196,7084,28,48,12840
197,7097,28,53,12822
198,7112,34,55,12799
199,7143,37,56,12764
200,7149,43,72,12736
201,7162,46,82,12710
202,7174,54,86,12686
203,7188,58,92,12662
204,7202,52,96,12650
205,7206,57,105,12632
206,7222,55,114,12609
207,7220,77,119,12584
208,7209,91,135,12565
209,7211,98,146,12545
210,7207,104,155,12534
211,7177,125,162,12536
212,7176,118,177,12529
213,7160,126,180,12534
214,7151,123,203,12523
215,7146,125,211,12518
216,7131,132,222,12515
217,7116,142,225,12517
218,7081,173,224,12522
219,7053,160,256,12531
220,7022,167,280,12531
221,6997,164,306,12533
222,6956,182,329,12533
223,6882,226,332,12560
224,6833,231,370,12566
225,6779,243,400,12578
226,6718,244,447,12591
227,6606,275,475,12644
228,6510,291,500,12699
229,6424,313,531,12732
230,6329,317,572,12782
231,6222,327,618,12833
232,6129,345,636,12890
233,6040,334,667,12959
234,5932,360,673,13035
235,5800,403,702,13095
236,5683,419,720,13178
237,5575,431,740,13254
238,5486,421,760,13333
239,5366,442,792,13400
240,5279,428,819,13474
241,5168,419,854,13559
242,5041,453,867,13639
243,4912,445,912,13731
244,4788,431,938,13843
245,4668,423,961,13948
246,4558,429,961,14052
247,4447,414,943,14196
248,4346,400,963,14291
249,4235,424,968,14373
250,4154,400,981,14465
251,4065,406,955,14574
252,3969,432,934,14665
253,3906,392,961,14741
254,3842,393,953,14812
255,3750,405,954,14891
256,3682,392,938,14988
257,3628,380,929,15063
258,3581,350,916,15153
259,3533,333,889,15245
260,3504,323,860,15313
261,3464,320,834,15382
262,3426,311,815,15448
263,3387,293,800,15520
264,3356,292,781,15571
265,3333,281,755,15631
266,3315,264,735,15686
267,3317,244,716,15723
268,3308,248,685,15759
269,3291,247,666,15796
270,3285,240,644,15831
271,3277,233,620,15870
272,3266,213,616,15905
273,3284,214,578,15924
274,3289,197,574,15940
275,3288,202,559,15951
276,3299,200,542,15959
277,3291,211,529,15969
278,3293,200,523,15984
279,3320,171,532,15977
280,3355,163,510,15972
281,3348,172,500,15980
282,3368,155,486,15991
283,3386,152,485,15977
284,3407,160,455,15978
285,3432,156,445,15967
286,3469,155,443,15933
287,3497,157,416,15930
288,3505,187,401,15907
289,3533,171,421,15875
290,3558,165,417,15860
291,3583,166,412,15839
292,3622,147,411,15820
293,3617,165,404,15814
294,3647,146,409,15798
295,3688,134,406,15772
296,3702,145,396,15757
297,3725,152,390,15733
298,3721,175,385,15719
299,3737,162,406,15695
300,3776,162,394,15668
301,3809,174,381,15636
302,3839,167,387,15607
303,3866,154,398,15582
304,3875,158,386,15581
305,3896,160,381,15563
306,3917,157,376,15550
307,3945,175,375,15505
308,3968,165,383,15484
309,3986,187,365,15462
310,4008,187,361,15444
311,4046,165,367,15422
312,4091,142,382,15385
313,4094,161,371,15374
314,4129,166,356,15349
315,4162,164,361,15313
316,4188,163,357,15292
317,4246,154,357,15243
318,4288,139,364,15209
319,4312,158,354,15176
320,4332,167,356,15145
321,4340,174,358,15128
322,4368,166,363,15103
323,4396,162,360,15082
324,4404,170,378,15048
325,4425,161,372,15042
326,4456,151,384,15009
327,4464,179,357,15000
328,4482,175,362,14981
329,4518,177,368,14937
330,4526,172,390,14912
331,4537,182,379,14902
332,4546,186,397,14871
333,4541,191,402,14866
334,4548,199,404,14849
335,4566,202,422,14810
336,4563,199,438,14800
337,4564,209,437,14790
338,4579,207,454,14760
339,4596,211,458,14735
340,4617,209,473,14701
341,4639,208,476,14677
342,4647,233,474,14646
343,4633,235,488,14644
344,4636,233,509,14622
345,4634,224,521,14621
346,4635,232,512,14621
347,4621,239,521,14619
348,4596,256,538,14610
349,4586,242,551,14621
350,4570,258,536,14636
351,4550,266,554,14630
352,4546,269,574,14611
353,4538,248,589,14625
354,4513,280,566,14641
355,4542,261,567,14630
356,4526,254,603,14617
357,4504,288,583,14625
358,4487,284,594,14635
359,4453,279,620,14648
360,4428,280,622,14670
361,4406,294,617,14683
362,4410,255,640,14695
363,4382,257,625,14736
364,4374,252,618,14756
365,4390,246,599,14765
366,4382,251,587,14780
367,4372,256,588,14784
368,4356,272,596,14776
369,4361,267,590,14782
370,4339,274,584,14803
371,4320,278,600,14802
372,4323,269,600,14808
373,4316,269,600,14815
374,4303,267,617,14813
375,4303,283,628,14786
376,4281,273,645,14801
377,4279,277,643,14801
378,4268,280,643,14809
379,4263,267,654,14816
380,4237,287,647,14829
381,4215,284,678,14823
382,4209,286,681,14824
383,4214,292,683,14811
384,4182,310,694,14814
385,4157,306,698,14839
386,4149,306,684,14861
387,4120,311,689,14880
388,4122,294,694,14890
389,4110,283,691,14916
390,4093,276,685,14946
391,4059,291,704,14946
392,4039,290,723,14948
393,4010,296,719,14975
394,3998,300,710,14992
395,4001,309,689,15001
396,3994,305,698,15003
397,3975,302,680,15043
398,3945,303,669,15083
399,3940,291,671,15098
400,3951,262,669,15118
401,3955,265,634,15146
402,3984,242,650,15124
403,3977,267,625,15131
404,3986,280,608,15126
405,3987,278,630,15105
406,4013,244,644,15099
407,4015,257,638,15090
408,3997,286,639,15078
409,4027,251,637,15085
410,4045,262,620,15073
411,4048,271,621,15060
412,4050,274,615,15061
413,4060,258,641,15041
414,4051,275,625,15049
415,4053,255,633,15059
416,4044,249,637,15070
417,4048,252,636,15064
418,4046,255,634,15065
419,4046,266,629,15059
420,4047,271,626,15056
421,4038,268,616,15078
422,4054,250,623,15073
423,4041,260,613,15086
424,4078,265,604,15053
425,4078,281,586,15055
426,4079,278,599,15044
427,4073,268,598,15061
428,4071,277,606,15046
429,4081,284,578,15057
430,4077,279,577,15067
431,4077,272,574,15077
432,4086,285,558,15071
433,4081,283,547,15089
434,4107,266,533,15094
435,4132,247,550,15071
436,4172,236,551,15041
437,4177,234,531,15058
438,4204,225,533,15038
439,4217,238,541,15004
440,4205,243,543,15009
441,4208,238,542,15012
442,4192,243,558,15007
443,4193,274,555,14978
444,4200,260,575,14965
445,4236,240,596,14928
446,4240,238,607,14915
447,4247,236,619,14898
448,4239,254,616,14891
449,4232,259,607,14902
450,4219,271,616,14894
451,4213,279,601,14907
452,4214,262,618,14906
453,4258,232,621,14889
454,4223,258,600,14919
455,4217,269,603,14911
456,4227,261,608,14904
457,4228,254,593,14925
458,4236,275,584,14905
459,4229,256,603,14912
460,4225,263,590,14922
461,4225,250,600,14925
462,4241,246,578,14935
463,4216,264,590,14930
464,4220,257,597,14926
465,4216,259,577,14948
466,4228,250,595,14927
467,4224,246,595,14935
468,4225,247,614,14914
469,4236,242,618,14904
470,4251,245,604,14900
471,4245,247,593,14915
472,4236,268,599,14897
473,4229,279,612,14880
474,4208,269,622,14901
475,4203,276,615,14906
476,4201,274,614,14911
477,4196,278,630,14896
478,4197,283,626,14894
479,4196,275,643,14886
480,4192,269,626,14913
481,4181,271,633,14915
482,4165,276,643,14916
483,4171,268,644,14917
484,4158,270,630,14942
485,4151,274,636,14939
486,4136,291,625,14948
487,4140,282,632,14946
488,4141,278,617,14964
489,4134,273,624,14969
490,4122,296,606,14976
491,4112,272,629,14987
492,4098,284,631,14987
493,4071,285,634,15010
494,4079,278,630,15013
495,4072,279,626,15023
496,4051,292,637,15020
497,4033,287,644,15036
498,4001,304,638,15057
499,4006,277,658,15059
500,3992,271,634,15103
501,3998,249,646,15107
502,3999,256,637,15108
503,3973,278,634,15115
504,3963,274,648,15115
505,3968,263,660,15109
506,3961,253,643,15143
507,3987,249,626,15138
508,3970,259,618,15153
509,3969,242,643,15146
510,3975,236,644,15145
511,3965,241,629,15165
512,3969,235,600,15196
513,3961,240,613,15186
514,3960,259,615,15166
515,3976,258,609,15157
516,3986,246,614,15154
517,3954,271,606,15169
518,3957,257,618,15168
519,3960,269,593,15178
520,3943,287,589,15181
521,3933,268,607,15192
522,3931,268,610,15191
523,3933,271,606,15190
524,3919,282,615,15184
525,3914,274,611,15201
526,3897,280,614,15209
527,3883,264,628,15225
528,3882,244,631,15243
529,3875,240,618,15267
530,3864,265,601,15270
531,3857,269,596,15278
532,3857,274,589,15280
533,3854,269,584,15293
534,3862,265,582,15291
535,3853,273,580,15294
536,3859,256,611,15274
537,3874,255,575,15296
538,3877,255,577,15291
539,3884,244,587,15285
540,3889,244,584,15283
541,3915,239,567,15279
542,3931,239,557,15273
543,3938,235,545,15282
544,3945,231,549,15275
545,3963,215,578,15244
546,3993,213,574,15220
547,4005,234,562,15199
548,4026,205,576,15193
549,4038,208,587,15167
550,4045,223,567,15165
551,4040,248,557,15155
552,4047,252,568,15133
553,4071,240,562,15127
554,4087,232,574,15107
555,4085,245,570,15100
556,4088,241,579,15092
557,4095,263,548,15094
558,4101,261,549,15089
559,4105,260,560,15075
560,4091,254,586,15069
561,4095,239,591,15075
562,4114,231,587,15068
563,4118,241,562,15079
564,4092,262,576,15070
565,4111,248,588,15053
566,4114,259,587,15040
567,4117,263,585,15035
568,4132,230,585,15053
569,4150,240,570,15040
570,4142,252,548,15058
571,4160,261,537,15042
572,4157,250,522,15071
573,4153,244,527,15076
574,4169,222,531,15078
575,4176,226,526,15072
576,4187,219,526,15068
577,4199,219,525,15057
578,4190,231,519,15060
