step,S,E,I,R
0,0.999,0,0.001,0
1,0.9982,8e-04,0.00065,0.00035
2,0.99755,0.00115,0.00085,0.00045
3,0.9963,0.002,0.0011,6e-04
4,0.995,0.0027,0.0016,7e-04
5,0.99375,0.00315,0.00215,0.00095
6,0.9914,0.00465,0.0027,0.00125
7,0.9888,0.00575,0.00385,0.0016
8,0.9849,0.0078,0.00535,0.00195
9,0.9799,0.01055,0.0066,0.00295
10,0.973,0.01435,0.0091,0.00355
11,0.9656,0.01765,0.012,0.00475
12,0.9552,0.02285,0.0159,0.00605
13,0.94245,0.02895,0.02045,0.00815
14,0.92475,0.0378,0.0268,0.01065
15,0.904,0.0479,0.0335,0.0146
16,0.8774,0.0595,0.0441,0.019
17,0.8447,0.07635,0.0541,0.02485
18,0.80605,0.09475,0.06735,0.03185
19,0.75775,0.11695,0.0841,0.0412
20,0.7011,0.13955,0.1071,0.05225
21,0.6377,0.1631,0.13305,0.06615
22,0.56655,0.18895,0.16205,0.08245
23,0.49205,0.21065,0.19355,0.10375
24,0.4163,0.2247,0.2294,0.1296
25,0.34485,0.23445,0.26075,0.15995
26,0.2784,0.2334,0.2931,0.1951
27,0.2162,0.22975,0.32015,0.2339
28,0.16925,0.2137,0.34005,0.277
29,0.13095,0.19265,0.3568,0.3196
30,0.09865,0.17215,0.3654,0.3638
31,0.0773,0.14555,0.3668,0.41035
32,0.0583,0.1248,0.3579,0.459
33,0.04485,0.10375,0.34365,0.50775
34,0.0374,0.0817,0.32965,0.55125
35,0.0301,0.0683,0.30665,0.59495
36,0.02535,0.05565,0.2851,0.6339
37,0.0225,0.04445,0.26575,0.6673
38,0.02035,0.03605,0.24335,0.70025
39,0.0199,0.02925,0.22155,0.7293
40,0.0197,0.024,0.20055,0.75575
41,0.0197,0.01895,0.18105,0.7803
42,0.01865,0.0172,0.1614,0.80275
43,0.01885,0.01435,0.1436,0.8232
44,0.02085,0.01135,0.12825,0.83955
45,0.0223,0.01015,0.1148,0.85275
46,0.024,0.0085,0.1014,0.8661
47,0.0263,0.00745,0.09005,0.8762
48,0.02805,0.00665,0.0803,0.885
49,0.0298,0.00625,0.0707,0.89325
50,0.0313,0.00575,0.06405,0.8989
51,0.034,0.00615,0.05645,0.9034
52,0.03545,0.0062,0.05085,0.9075
53,0.03755,0.006,0.04535,0.9111
54,0.03895,0.00585,0.0405,0.9147
55,0.0412,0.00485,0.0355,0.91845
56,0.04305,0.00475,0.0323,0.9199
57,0.04555,0.0039,0.0293,0.92125
58,0.0479,0.00335,0.0259,0.92285
59,0.0511,0.003,0.02325,0.92265
60,0.0529,0.00345,0.02045,0.9232
61,0.05565,0.00275,0.01885,0.92275
62,0.0586,0.00275,0.01665,0.922
63,0.06125,0.0025,0.01495,0.9213
64,0.06355,0.0025,0.01365,0.9203
65,0.066,0.0023,0.01215,0.91955
66,0.0684,0.0025,0.01085,0.91825
67,0.07125,0.00255,0.0096,0.9166
68,0.07495,0.0021,0.0086,0.91435
69,0.0778,0.00175,0.00755,0.9129
70,0.0811,0.00175,0.00685,0.9103
71,0.0847,0.00155,0.0064,0.90735
72,0.0881,0.00135,0.00595,0.9046
73,0.09085,0.0011,0.00515,0.9029
74,0.0937,0.0014,0.00455,0.90035
75,0.0967,0.00125,0.0044,0.89765
76,0.09905,0.0012,0.0042,0.89555
77,0.1015,0.00105,0.00405,0.8934
78,0.10415,8e-04,0.00395,0.8911
79,0.10695,9e-04,0.00355,0.8886
80,0.10965,0.00095,0.00345,0.88595
81,0.112,0.00075,0.00345,0.8838
82,0.11445,0.00055,0.00335,0.88165
83,0.11645,0.00085,0.0031,0.8796
84,0.11945,0.00085,0.00285,0.87685
85,0.12225,0.00105,0.00275,0.87395
86,0.1246,0.00115,0.00275,0.8715
87,0.12695,0.00105,0.0028,0.8692
88,0.12935,0.00085,0.00255,0.86725
89,0.13205,0.00075,0.00245,0.86475
90,0.1344,0.00095,0.0023,0.86235
91,0.1372,0.001,0.00205,0.85975
92,0.14025,0.00095,0.0017,0.8571
93,0.1427,8e-04,0.002,0.8545
94,0.14495,0.00095,0.00195,0.85215
95,0.1475,7e-04,0.0021,0.8497
96,0.15045,5e-04,0.00195,0.8471
97,0.1522,0.00065,0.0019,0.84525
98,0.15435,5e-04,0.0019,0.84325
99,0.1573,7e-04,0.00175,0.84025
100,0.15945,0.00065,0.00165,0.83825
101,0.1617,0.00065,0.0016,0.83605
102,0.16375,0.00075,0.0015,0.834
103,0.1662,8e-04,0.00155,0.83145
104,0.16825,0.00055,0.0017,0.8295
105,0.1697,7e-04,0.00155,0.82805
106,0.17215,0.00075,0.0016,0.8255
107,0.1746,6e-04,0.0015,0.8233
108,0.17705,7e-04,0.00125,0.821
109,0.1794,8e-04,0.0012,0.8186
110,0.18145,8e-04,0.00125,0.8165
111,0.184,7e-04,0.00135,0.81395
112,0.1866,0.00065,0.0014,0.81135
113,0.18915,9e-04,0.0013,0.80865
114,0.191,0.001,0.0014,0.8066
115,0.1925,0.00085,0.0016,0.80505
116,0.1958,0.00075,0.0018,0.80165
117,0.1981,0.00075,0.00185,0.7993
118,0.20005,8e-04,0.00185,0.7973
119,0.20215,0.0012,0.0013,0.79535
120,0.2048,0.001,0.0014,0.7928
121,0.207,0.00125,0.0013,0.79045
122,0.2086,0.001,0.0015,0.7889
123,0.2106,0.001,0.0017,0.7867
124,0.21295,0.00095,0.00185,0.78425
125,0.2157,0.00115,0.0017,0.78145
126,0.21805,0.00105,0.0018,0.7791
127,0.2193,0.0013,0.00165,0.77775
128,0.2212,0.00125,0.0016,0.77595
129,0.22355,0.001,0.0019,0.77355
130,0.22575,0.00095,0.0018,0.7715
131,0.2273,0.00095,0.0017,0.77005
132,0.22895,0.00105,0.0018,0.7682
133,0.2304,0.0013,0.0019,0.7664
134,0.23225,0.00115,0.00185,0.76475
135,0.23445,0.0013,0.00165,0.7626
136,0.23585,0.0014,0.0017,0.76105
137,0.23805,0.00125,0.00195,0.75875
138,0.2399,0.00135,0.00185,0.7569
139,0.2422,0.0011,0.00205,0.75465
140,0.2439,0.00115,0.0021,0.75285
141,0.2456,0.00115,0.00215,0.7511
142,0.2473,0.00125,0.0023,0.74915
143,0.24945,0.0012,0.00205,0.7473
144,0.2516,0.0013,0.00195,0.74515
