step,S,E,I,R
0,0.999,0,0.001,0
1,0.9981,9e-04,0.001,0
2,0.9976,0.00105,0.00125,1e-04
3,0.99685,0.00145,0.00145,0.00025
4,0.99545,0.0024,0.0018,0.00035
5,0.9942,0.00285,0.0024,0.00055
6,0.9922,0.00375,0.0031,0.00095
7,0.9896,0.0054,0.00385,0.00115
8,0.98685,0.0065,0.005,0.00165
9,0.9834,0.00805,0.006,0.00255
10,0.97865,0.01025,0.0079,0.0032
11,0.9729,0.01245,0.0106,0.00405
12,0.9646,0.0169,0.01275,0.00575
13,0.9557,0.02125,0.0156,0.00745
14,0.9445,0.02555,0.01985,0.0101
15,0.9304,0.03265,0.02445,0.0125
16,0.91225,0.041,0.0313,0.01545
17,0.88935,0.0537,0.0374,0.01955
18,0.8641,0.0639,0.04765,0.02435
19,0.83235,0.0782,0.0583,0.03115
20,0.795,0.09325,0.07285,0.0389
21,0.75055,0.11105,0.0901,0.0483
22,0.6967,0.13295,0.1109,0.05945
23,0.6387,0.15385,0.13325,0.0742
24,0.5767,0.17185,0.15945,0.092
25,0.50955,0.18975,0.18705,0.11365
26,0.4408,0.20335,0.2181,0.13775
27,0.372,0.21535,0.247,0.16565
28,0.3061,0.22105,0.27585,0.197
29,0.24565,0.2215,0.29875,0.2341
30,0.19595,0.2092,0.32195,0.2729
31,0.15305,0.19285,0.3408,0.3133
32,0.1171,0.17425,0.3502,0.35845
33,0.0889,0.15265,0.355,0.40345
34,0.06805,0.13055,0.35425,0.44715
35,0.05175,0.11155,0.3438,0.4929
36,0.0426,0.092,0.32875,0.53665
37,0.03335,0.0777,0.3092,0.57975
38,0.02825,0.0624,0.28895,0.6204
39,0.0247,0.0501,0.26755,0.65765
40,0.0216,0.0404,0.24785,0.69015
41,0.02015,0.03305,0.2262,0.7206
42,0.0196,0.02655,0.20425,0.7496
43,0.0194,0.02085,0.18595,0.7738
44,0.0188,0.0178,0.1673,0.7961
45,0.0198,0.0145,0.1503,0.8154
46,0.02035,0.01175,0.1334,0.8345
47,0.02165,0.0101,0.1198,0.84845
48,0.02265,0.00855,0.10775,0.86105
49,0.02365,0.00775,0.09585,0.87275
50,0.0251,0.0067,0.08525,0.88295
51,0.0273,0.00625,0.07615,0.8903
52,0.02875,0.0059,0.06805,0.8973
53,0.03055,0.0058,0.0604,0.90325
54,0.03185,0.00555,0.05375,0.90885
55,0.03445,0.0048,0.04765,0.9131
56,0.03695,0.00465,0.04135,0.91705
57,0.03875,0.0048,0.0362,0.92025
58,0.042,0.004,0.0314,0.9226
59,0.04375,0.0041,0.0284,0.92375
60,0.04595,0.00385,0.02555,0.92465
61,0.04825,0.00375,0.0234,0.9246
62,0.05085,0.0037,0.02165,0.9238
63,0.0536,0.003,0.0197,0.9237
64,0.05555,0.00325,0.0175,0.9237
65,0.0584,0.00255,0.01625,0.9228
66,0.0614,0.0023,0.01495,0.92135
67,0.06455,0.00205,0.01425,0.91915
68,0.0673,0.00285,0.0123,0.91755
69,0.0702,0.00245,0.0118,0.91555
70,0.07255,0.0025,0.0104,0.91455
71,0.07545,0.0026,0.00935,0.9126
72,0.07795,0.00245,0.008,0.9116
