step,S,E,I,R
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99675,0.00325,0,0
5,0.99675,0.0028,0.00045,0
6,0.99445,0.0044,0.0011,5e-05
7,0.99445,0.00375,0.0017,1e-04
8,0.98975,0.0073,0.0027,0.00025
9,0.98975,0.00545,0.00425,0.00055
10,0.98125,0.01245,0.00515,0.00115
11,0.9813,0.0098,0.0073,0.0016
12,0.96825,0.0197,0.00975,0.0023
13,0.96825,0.01595,0.01235,0.00345
14,0.94585,0.0347,0.0143,0.00515
15,0.9459,0.028,0.0193,0.0068
16,0.91465,0.0515,0.0254,0.00845
17,0.9147,0.0405,0.03315,0.01165
18,0.86215,0.0812,0.0414,0.01525
19,0.86225,0.06625,0.05105,0.02045
20,0.786,0.1235,0.0645,0.026
21,0.78615,0.1,0.0804,0.03345
22,0.6816,0.17725,0.0986,0.04255
23,0.6819,0.14015,0.12365,0.0543
24,0.55205,0.23135,0.1489,0.0677
25,0.5521,0.1842,0.1768,0.0869
26,0.4009,0.2826,0.20945,0.10705
27,0.40105,0.21965,0.24605,0.13325
28,0.2604,0.2988,0.28135,0.15945
29,0.261,0.23205,0.31485,0.1921
30,0.14335,0.2843,0.3433,0.22905
31,0.1435,0.2213,0.36525,0.26995
32,0.07445,0.22645,0.3843,0.3148
33,0.0746,0.1737,0.3917,0.36
34,0.03645,0.1658,0.38975,0.408
35,0.03715,0.1261,0.38125,0.4555
36,0.0195,0.10905,0.3669,0.50455
37,0.0199,0.07995,0.3486,0.55155
38,0.01125,0.0666,0.32785,0.5943
39,0.0119,0.04935,0.30605,0.6327
40,0.0087,0.0393,0.2822,0.6698
41,0.0095,0.0299,0.2557,0.7049
42,0.0086,0.0242,0.2295,0.7377
43,0.01,0.0182,0.2058,0.766
44,0.00975,0.01535,0.18385,0.79105
45,0.01095,0.0126,0.1644,0.81205
46,0.0106,0.01155,0.14455,0.8333
47,0.01225,0.0098,0.12875,0.8492
48,0.01165,0.00925,0.1139,0.8652
49,0.01355,0.00855,0.10085,0.87705
50,0.01375,0.0085,0.08985,0.8879
51,0.01705,0.0078,0.0792,0.89595
52,0.01785,0.00755,0.0717,0.9029
53,0.0216,0.00605,0.06295,0.9094
54,0.02315,0.0055,0.0559,0.91545
55,0.0262,0.00495,0.0498,0.91905
56,0.028,0.0049,0.0439,0.9232
57,0.0305,0.0049,0.03805,0.92655
58,0.0317,0.0046,0.03485,0.92885
59,0.0351,0.00455,0.03165,0.9287
60,0.03535,0.0057,0.028,0.93095
61,0.03905,0.0048,0.0258,0.93035
62,0.04035,0.00475,0.024,0.9309
63,0.0435,0.00425,0.0224,0.92985
64,0.04485,0.00445,0.02045,0.93025
65,0.04885,0.0038,0.0189,0.92845
66,0.0499,0.00375,0.0171,0.92925
67,0.0532,0.00355,0.0153,0.92795
68,0.0547,0.00415,0.0135,0.92765
69,0.05865,0.0035,0.01285,0.925
70,0.05985,0.00355,0.0115,0.9251
71,0.06355,0.00325,0.01075,0.92245
72,0.0654,0.0033,0.00995,0.92135
73,0.0686,0.0031,0.00905,0.91925
74,0.0702,0.00305,0.00815,0.9186
75,0.0739,0.00285,0.0077,0.91555
76,0.07555,0.0027,0.0075,0.91425
77,0.0797,0.00245,0.00675,0.9111
78,0.0814,0.00285,0.0063,0.90945
79,0.0848,0.0021,0.0063,0.9068
80,0.08715,0.00215,0.00605,0.90465
81,0.0904,0.00175,0.0056,0.90225
82,0.0924,0.0019,0.00505,0.90065
83,0.0961,0.00205,0.0044,0.89745
84,0.0982,0.00185,0.0045,0.89545
85,0.10185,0.0016,0.00435,0.8922
86,0.10445,0.00155,0.00435,0.88965
87,0.1079,0.00155,0.00445,0.8861
88,0.10965,0.0018,0.00425,0.8843
89,0.11295,0.0017,0.0042,0.88115
90,0.1148,0.00175,0.0041,0.87935
91,0.1181,0.0017,0.00395,0.87625
92,0.1203,0.00185,0.00355,0.8743
93,0.12335,0.00175,0.0036,0.8713
94,0.1247,0.0017,0.00395,0.86965
95,0.1274,0.00175,0.004,0.86685
96,0.12885,0.002,0.0042,0.86495
97,0.13165,0.00195,0.00395,0.86245
98,0.1339,0.00215,0.0039,0.86005
99,0.13695,0.00225,0.00375,0.85705
100,0.1384,0.00215,0.00415,0.8553
101,0.1404,0.0023,0.00405,0.85325
102,0.14185,0.00245,0.0038,0.8519
103,0.1446,0.002,0.0038,0.8496
104,0.14675,0.00215,0.00385,0.84725
105,0.14925,0.00205,0.004,0.8447
106,0.15095,0.0022,0.00355,0.8433
107,0.15395,0.00195,0.0037,0.8404
108,0.15585,0.0021,0.00405,0.838
109,0.1584,0.0022,0.00365,0.83575
110,0.16005,0.00235,0.0039,0.8337
111,0.16295,0.00225,0.0039,0.8309
112,0.1641,0.0028,0.0038,0.8293
113,0.166,0.0026,0.0039,0.8275
114,0.16845,0.00275,0.00405,0.82475
115,0.1713,0.00285,0.00385,0.822
116,0.17315,0.00285,0.00405,0.81995
117,0.17485,0.003,0.0039,0.81825
118,0.17595,0.00305,0.0041,0.8169
119,0.17825,0.0029,0.0044,0.81445
120,0.1795,0.0029,0.00445,0.81315
121,0.18185,0.00275,0.00455,0.81085
122,0.18315,0.0028,0.0049,0.80915
123,0.1854,0.00305,0.0051,0.80645
124,0.1875,0.0031,0.0053,0.8041
125,0.18945,0.0028,0.00535,0.8024
126,0.1903,0.003,0.00555,0.80115
127,0.192,0.00315,0.0058,0.79905
128,0.19375,0.0032,0.0057,0.79735
129,0.1951,0.00385,0.0054,0.79565
130,0.1959,0.00415,0.0056,0.79435
131,0.19705,0.00415,0.00585,0.79295
132,0.19835,0.0039,0.0061,0.79165
133,0.20035,0.00425,0.006,0.7894
134,0.20165,0.00415,0.0066,0.7876
135,0.2035,0.00405,0.00675,0.7857
136,0.2037,0.0045,0.00725,0.78455
137,0.206,0.0041,0.0073,0.7826
138,0.20635,0.0049,0.00735,0.7814
139,0.20785,0.0051,0.0076,0.77945
140,0.20815,0.00545,0.0083,0.7781
141,0.2095,0.00535,0.0085,0.77665
142,0.20945,0.0058,0.0092,0.77555
143,0.2112,0.00595,0.0095,0.77335
144,0.21145,0.006,0.00985,0.7727
145,0.2129,0.00645,0.00985,0.7708
146,0.21195,0.00765,0.01005,0.77035
147,0.2125,0.0073,0.0108,0.7694
148,0.21155,0.00805,0.01135,0.76905
149,0.21245,0.0083,0.01145,0.7678
150,0.21175,0.0088,0.0123,0.76715
151,0.21265,0.0091,0.01235,0.7659
152,0.21125,0.0102,0.01275,0.7658
153,0.21255,0.00995,0.01335,0.76415
154,0.2118,0.01055,0.0149,0.76275
155,0.213,0.01,0.01625,0.76075
156,0.21165,0.0111,0.0167,0.76055
157,0.2126,0.01065,0.0167,0.76005
158,0.21015,0.0118,0.0178,0.76025
159,0.21135,0.01125,0.0191,0.7583
160,0.2092,0.0131,0.0192,0.7585
161,0.20835,0.0138,0.01955,0.7583
162,0.2064,0.01455,0.02085,0.7582
163,0.20605,0.0144,0.0221,0.75745
164,0.2022,0.0168,0.02285,0.75815
165,0.20215,0.0167,0.02425,0.7569
166,0.1992,0.0174,0.0248,0.7586
167,0.1978,0.01765,0.02595,0.7586
168,0.1945,0.0179,0.02755,0.76005
169,0.193,0.01725,0.02875,0.761
170,0.1887,0.0185,0.03,0.7628
171,0.18685,0.0188,0.0306,0.76375
172,0.1827,0.02035,0.0311,0.76585
173,0.182,0.01995,0.0318,0.76625
174,0.1772,0.0216,0.03345,0.76775
175,0.1755,0.02235,0.034,0.76815
176,0.1723,0.0231,0.03525,0.76935
177,0.17185,0.0218,0.03735,0.769
