step,S,E,I,R
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99675,0.00325,0,0
5,0.99675,0.00275,5e-04,0
6,0.9939,0.0045,0.00155,5e-05
7,0.9939,0.00325,0.00265,2e-04
8,0.989,0.00745,0.0031,0.00045
9,0.989,0.00605,0.0039,0.00105
10,0.9827,0.01075,0.0051,0.00145
11,0.9827,0.00895,0.0061,0.00225
12,0.9719,0.0174,0.00765,0.00305
13,0.9719,0.0136,0.0107,0.0038
14,0.95445,0.0272,0.01345,0.0049
15,0.95445,0.0219,0.017,0.00665
16,0.9244,0.046,0.0215,0.0081
17,0.9244,0.0369,0.0283,0.0104
18,0.88055,0.0702,0.0358,0.01345
19,0.8806,0.05545,0.04655,0.0174
20,0.811,0.10875,0.0564,0.02385
21,0.811,0.0865,0.07195,0.03055
22,0.7166,0.15715,0.08785,0.0384
23,0.7166,0.1249,0.1096,0.0489
24,0.58955,0.21725,0.13235,0.06085
25,0.5896,0.1732,0.16135,0.07585
26,0.44185,0.2706,0.1934,0.09415
27,0.44185,0.21255,0.2297,0.1159
28,0.2905,0.3045,0.2626,0.1424
29,0.2906,0.2393,0.29555,0.17455
30,0.16815,0.2921,0.32775,0.212
31,0.1685,0.2271,0.3527,0.2517
32,0.08675,0.24475,0.372,0.2965
33,0.0868,0.1852,0.38445,0.34355
34,0.0416,0.17715,0.3918,0.38945
35,0.04175,0.13275,0.388,0.4375
36,0.02125,0.11525,0.3791,0.4844
37,0.02125,0.0872,0.3621,0.52945
38,0.01275,0.0743,0.33885,0.5741
39,0.01365,0.05465,0.31425,0.61745
40,0.00925,0.0448,0.28855,0.6574
41,0.00975,0.0344,0.2635,0.69235
42,0.00805,0.02805,0.2406,0.7233
43,0.00905,0.0215,0.2157,0.75375
44,0.00855,0.01795,0.19345,0.78005
45,0.0107,0.0144,0.1715,0.8034
46,0.01075,0.01275,0.154,0.8225
47,0.0123,0.01095,0.13725,0.8395
48,0.01345,0.0083,0.12345,0.8548
49,0.015,0.0079,0.10915,0.86795
50,0.0156,0.00745,0.0965,0.88045
51,0.01805,0.00655,0.0848,0.8906
52,0.0187,0.00715,0.0758,0.89835
53,0.0213,0.0063,0.06695,0.90545
54,0.0222,0.0062,0.05885,0.91275
55,0.026,0.00595,0.05285,0.9152
56,0.02735,0.006,0.04615,0.9205
57,0.03105,0.00515,0.04165,0.92215
58,0.03255,0.0047,0.0383,0.92445
59,0.03565,0.0051,0.03345,0.9258
60,0.036,0.00585,0.0303,0.92785
61,0.03875,0.00535,0.02715,0.92875
62,0.03985,0.00465,0.02465,0.93085
63,0.04325,0.00415,0.023,0.9296
64,0.0446,0.0047,0.0202,0.9305
65,0.04805,0.0043,0.0186,0.92905
66,0.0498,0.00415,0.01725,0.9288
67,0.0536,0.00335,0.01645,0.9266
68,0.05505,0.00395,0.0148,0.9262
69,0.05855,0.0036,0.0138,0.92405
70,0.06005,0.0036,0.0125,0.92385
71,0.0637,0.0034,0.0112,0.9217
72,0.06575,0.00345,0.01005,0.92075
73,0.0702,0.0029,0.00985,0.91705
74,0.0719,0.0034,0.0095,0.9152
75,0.076,0.00295,0.00855,0.9125
76,0.07875,0.003,0.00835,0.9099
77,0.08235,0.0025,0.0084,0.90675
78,0.0839,0.00265,0.008,0.90545
79,0.0878,0.0028,0.007,0.9024
80,0.0895,0.0026,0.00725,0.90065
81,0.0933,0.00195,0.0066,0.89815
82,0.09505,0.00225,0.0061,0.8966
83,0.0991,0.0023,0.00555,0.89305
84,0.1007,0.0019,0.0057,0.8917
85,0.10445,0.00165,0.00515,0.88875
86,0.10625,0.00165,0.00515,0.88695
87,0.1098,0.00175,0.00485,0.8836
88,0.1114,0.0019,0.00445,0.88225
89,0.11405,0.00155,0.0047,0.8797
90,0.1157,0.0018,0.0045,0.878
91,0.1184,0.0015,0.00445,0.87565
92,0.11955,0.002,0.00425,0.8742
93,0.12335,0.00195,0.0044,0.8703
94,0.1246,0.00235,0.0043,0.86875
95,0.1279,0.00205,0.0039,0.86615
96,0.1293,0.0022,0.00405,0.86445
97,0.1324,0.002,0.004,0.8616
98,0.13385,0.0024,0.00405,0.8597
99,0.1376,0.00215,0.0037,0.85655
100,0.1393,0.0021,0.00385,0.85475
101,0.14175,0.00205,0.00405,0.85215
102,0.1433,0.0018,0.0042,0.8507
103,0.1456,0.0018,0.0042,0.8484
104,0.1471,0.0019,0.00395,0.84705
105,0.1502,0.00185,0.00385,0.8441
106,0.15205,0.00205,0.00385,0.84205
107,0.155,0.0018,0.0037,0.8395
108,0.1568,0.00205,0.00395,0.8372
109,0.1594,0.002,0.0039,0.8347
110,0.16125,0.00235,0.0037,0.8327
111,0.16395,0.00245,0.0035,0.8301
112,0.1656,0.00225,0.00365,0.8285
113,0.16875,0.0023,0.0037,0.82525
114,0.1699,0.0024,0.00405,0.82365
115,0.17245,0.00195,0.00435,0.82125
116,0.1744,0.0021,0.00435,0.81915
117,0.17705,0.0023,0.0042,0.81645
118,0.17795,0.0027,0.0043,0.81505
119,0.1795,0.003,0.00405,0.81345
120,0.18165,0.00245,0.0042,0.8117
121,0.18475,0.00235,0.00425,0.80865
122,0.1855,0.00255,0.00445,0.8075
123,0.1873,0.00255,0.00445,0.8057
124,0.18885,0.00235,0.00465,0.80415
125,0.19095,0.0025,0.0047,0.80185
126,0.19225,0.00305,0.00485,0.79985
127,0.19465,0.00325,0.0047,0.7974
128,0.19555,0.00415,0.0045,0.7958
129,0.19735,0.00405,0.00485,0.79375
130,0.1977,0.0039,0.0058,0.7926
131,0.19995,0.00415,0.0057,0.7902
132,0.20045,0.00415,0.00645,0.78895
133,0.20215,0.0041,0.00685,0.7869
134,0.20305,0.00435,0.0072,0.7854
135,0.2049,0.00385,0.0079,0.78335
136,0.20535,0.00485,0.0076,0.7822
137,0.2062,0.0047,0.00745,0.78165
138,0.20605,0.00485,0.0081,0.781
139,0.20775,0.00455,0.0086,0.7791
140,0.20765,0.0053,0.0087,0.77835
141,0.2096,0.0047,0.009,0.7767
142,0.20885,0.00595,0.0089,0.7763
143,0.2106,0.0064,0.0093,0.7737
144,0.2106,0.0073,0.0097,0.7724
145,0.2123,0.00735,0.01015,0.7702
146,0.2114,0.00785,0.0103,0.77045
147,0.2134,0.00725,0.01075,0.7686
148,0.2129,0.00775,0.0114,0.76795
149,0.21285,0.0086,0.01195,0.7666
150,0.2123,0.0093,0.0125,0.7659
151,0.21265,0.00945,0.0128,0.7651
152,0.21175,0.01045,0.01315,0.76465
153,0.2126,0.0101,0.01405,0.76325
154,0.2122,0.0109,0.01485,0.76205
155,0.21255,0.0107,0.0152,0.76155
156,0.21095,0.0122,0.0165,0.76035
157,0.2119,0.0115,0.0174,0.7592
158,0.2093,0.01375,0.018,0.75895
159,0.2098,0.01335,0.0186,0.75825
160,0.2072,0.01425,0.0201,0.75845
161,0.20685,0.01405,0.02065,0.75845
162,0.20445,0.01605,0.02075,0.75875
163,0.20515,0.0154,0.02195,0.7575
164,0.2026,0.0163,0.02335,0.75775
165,0.20345,0.01535,0.02355,0.75765
166,0.1999,0.0162,0.0252,0.7587
167,0.1989,0.01595,0.02665,0.7585
168,0.19675,0.0168,0.02755,0.7589
169,0.1964,0.0169,0.0279,0.7588
170,0.1924,0.0184,0.02865,0.76055
171,0.19035,0.01755,0.03045,0.76165
172,0.18655,0.0198,0.03065,0.763
173,0.18535,0.0202,0.03175,0.7627
174,0.1818,0.02115,0.0324,0.76465
175,0.1807,0.02115,0.0335,0.76465
176,0.17615,0.0221,0.0356,0.76615
177,0.1751,0.02035,0.03755,0.767
