step,S,E,I,R
146,0.24615,0.00105,0.0014,0.7514
147,0.24795,9e-04,0.00155,0.7496
148,0.2497,9e-04,0.0016,0.7478
149,0.25185,9e-04,0.0017,0.74555
150,0.25325,0.001,0.00185,0.7439
151,0.25465,0.0011,0.0019,0.74235
152,0.25705,0.001,0.00185,0.7401
153,0.25885,9e-04,0.002,0.73825
154,0.26065,9e-04,0.002,0.73645
155,0.2619,0.00115,0.0019,0.73505
156,0.26365,0.0012,0.00165,0.7335
157,0.2649,0.0012,0.0017,0.7322
158,0.26635,0.0013,0.0017,0.73065
159,0.26785,0.0015,0.00175,0.7289
160,0.27045,0.00175,0.00175,0.72605
161,0.2722,0.0019,0.002,0.7239
162,0.2735,0.00195,0.00215,0.7224
163,0.27585,0.002,0.0021,0.72005
164,0.27705,0.0021,0.00215,0.7187
165,0.27875,0.00195,0.00235,0.71695
166,0.2803,0.00165,0.0029,0.71515
167,0.28185,0.002,0.00275,0.7134
168,0.2836,0.00215,0.00285,0.7114
169,0.285,0.0023,0.0029,0.7098
170,0.2859,0.0029,0.0031,0.7081
171,0.2873,0.00305,0.0034,0.70625
172,0.28815,0.0034,0.00365,0.7048
173,0.28905,0.00335,0.0038,0.7038
174,0.2901,0.00325,0.0043,0.70235
175,0.2909,0.0035,0.0043,0.7013
176,0.2922,0.00315,0.00465,0.7
177,0.29295,0.00325,0.005,0.6988
178,0.2932,0.00345,0.00535,0.698
179,0.29325,0.0046,0.0054,0.69675
180,0.2948,0.0049,0.00555,0.69475
181,0.29535,0.00525,0.0057,0.6937
182,0.2966,0.00525,0.00605,0.6921
183,0.29645,0.00585,0.00645,0.69125
184,0.297,0.00635,0.0067,0.68995
185,0.29675,0.00695,0.00755,0.68875
186,0.2968,0.0079,0.00775,0.68755
187,0.29715,0.0083,0.0081,0.68645
188,0.29785,0.00855,0.0088,0.6848
189,0.2972,0.00955,0.0093,0.68395
190,0.2967,0.0092,0.0108,0.6833
191,0.2959,0.00935,0.01185,0.6829
192,0.2948,0.0108,0.0124,0.682
193,0.29425,0.01165,0.01295,0.68115
194,0.29305,0.0119,0.0139,0.68115
195,0.2923,0.0123,0.01485,0.68055
196,0.2913,0.0131,0.01605,0.67955
197,0.288,0.01525,0.01705,0.6797
198,0.2864,0.0157,0.01825,0.67965
199,0.28355,0.0174,0.0197,0.67935
200,0.28085,0.019,0.02065,0.6795
201,0.27775,0.02005,0.02175,0.68045
202,0.27395,0.02195,0.02355,0.68055
203,0.27095,0.0224,0.02575,0.6809
