time,S,E,I,R
0.0,0.999,0.0,0.001,0.0
1.0,0.9985228560366411,0.0004051873481323977,0.0009355955918457878,0.00013636102338062978
2.0,0.9980478249783403,0.0006953612773217363,0.0009848945512592893,0.00027191919307862776
3.0,0.9975290009977245,0.0009417283326130527,0.0011094608818067039,0.0004198097878557361
4.0,0.9969337980996863,0.0011842588192957706,0.0012925853462461767,0.0005893577347717529
5.0,0.996234815868822,0.0014473534025174588,0.0015294201302049038,0.000788410598455613
6.0,0.9954053425576548,0.001747994971625951,0.0018220290152665428,0.0010246334554527183
7.0,0.9944166458396606,0.002100124918474676,0.002176934071808144,0.001306295170056479
8.0,0.9932360512802766,0.0025172003118524174,0.002603913629657451,0.001642834778213474
9.0,0.991825665194892,0.0030132720870379745,0.003115814337634282,0.002045248380435744
10.0,0.9901408070656901,0.0036043251572333433,0.003728293079221409,0.002526574697855082
11.0,0.9881289767939991,0.004308497447648315,0.004460296907841094,0.0031022288505113496
12.0,0.9857280740811933,0.005146913345866738,0.005334414139512692,0.0037905984334271545
13.0,0.9828651258721411,0.006144350519490968,0.006377028761654628,0.00461349484671318
14.0,0.9794547683015917,0.007328871816192989,0.007619664369359419,0.005596695512855841
15.0,0.9753967943110273,0.008733152276530124,0.009099113540012168,0.006770939872430318
16.0,0.9705749511029499,0.010395332912133275,0.010857241820863154,0.008172474164053603
17.0,0.9648554976118272,0.012356922902556024,0.012943825528096765,0.009843753957519918
18.0,0.9580850660555114,0.014663500105719204,0.015416608965157386,0.011834824873611942
19.0,0.950088724056604,0.017368159606649503,0.018338545331179856,0.014204571005566456
20.0,0.9406704090791811,0.02052888448746971,0.021779355887539067,0.01702135054581
21.0,0.9296163571626039,0.02419569405067992,0.02582490112893253,0.020363047657783497
22.0,0.9166939489750228,0.02842317324102137,0.030562514396562403,0.024320363387393306
23.0,0.9016517494658187,0.033274362163622784,0.03607605299740734,0.028997835373151128
24.0,0.8842355963966995,0.03879246257427401,0.04246027172475203,0.03451166930427448
25.0,0.8642053608560303,0.04498159625425315,0.049824740752189525,0.04098830213752693
26.0,0.8413346409103655,0.051847564008393146,0.05824762386606642,0.04857017121517485
27.0,0.8154187603398979,0.05939334005651487,0.06777304605847627,0.057414853545110965
28.0,0.7863408789795656,0.06751775655864381,0.07846190329191147,0.06767946116987913
29.0,0.7540825114802452,0.07605143637445749,0.0903452790601528,0.07952077308514445
30.0,0.7187122116366338,0.08483381424025274,0.10335151032738663,0.09310246379572679
31.0,0.6804151558393816,0.09366924885710921,0.11733147467036446,0.10858412063314475
32.0,0.6395927907213975,0.10217286780507129,0.13215341847062265,0.1260809230029086
33.0,0.5967739513545719,0.10996686169190369,0.14757953003784485,0.14567965691567966
34.0,0.5525814706274514,0.11675433692777289,0.16321869932095268,0.16744549312382298
35.0,0.5077592923424875,0.12222180627634882,0.17862906114200802,0.19138984023915565
36.0,0.46317224499242277,0.12596797476997781,0.19343791755417988,0.2174218626834195
37.0,0.4196251168247948,0.1277759397010393,0.20719115725789491,0.2454077862162711
38.0,0.3778324449987596,0.12764725599291374,0.21933963547565702,0.27518066353266973
39.0,0.33843596463362363,0.12561621040148943,0.22946074790099685,0.30648707706389017
40.0,0.30195648830642297,0.12171741861215885,0.23734986641731556,0.3389762266641027
41.0,0.26870908671065785,0.11620320506667825,0.2427802959199182,0.3723074123027458
42.0,0.2388101069609732,0.10951927829752829,0.24551828810172227,0.4061523266397764
43.0,0.21227719057310077,0.10197052974760161,0.24563344108155125,0.4401188385977466
44.0,0.18901088701903826,0.09383535510412834,0.24333701712103975,0.47381674075579383
45.0,0.1688087217949332,0.08546697554930671,0.2388011955001957,0.5069231071555644
46.0,0.15139769255097432,0.07721171473792957,0.23223077066886239,0.5391598220422338
47.0,0.13650486624187516,0.06923477447747119,0.22401049405552764,0.5702498652251261
48.0,0.12384496767776822,0.06168375445851571,0.2144925632907189,0.5999787145729972
49.0,0.11313967994518306,0.05468518104299605,0.20398231222618798,0.6281928267856329
50.0,0.10412952973925636,0.04830250327856627,0.1927901070190248,0.6547778599631526
51.0,0.09658147596415481,0.042550402657417115,0.18120397998122761,0.6796641413972005
52.0,0.09028823399992301,0.03742737940465693,0.16946330311808852,0.7028210834773316
53.0,0.08507277119433485,0.032898255295386945,0.15778656344181083,0.7242424100684675
54.0,0.08078463447371076,0.02890081610929541,0.1463700452763093,0.7439445041406846
55.0,0.07728899990639157,0.025404908288772236,0.13531979500211333,0.7619862968027229
56.0,0.07447092795130031,0.022381489185891886,0.1247035078526157,0.7784440750101922
57.0,0.07223591192960144,0.019773620549156608,0.11460148569638703,0.793388981824855
58.0,0.07050945442914884,0.017498474645403758,0.10510419846656198,0.8068878724588854
59.0,0.06922388807959463,0.015513546152240255,0.09623078103170914,0.819031784736456
60.0,0.0683193274847468,0.013797737515084889,0.08796149949019562,0.8299214355099727
61.0,0.06774704906930343,0.01231492825266907,0.08029082879591105,0.8396471938821165
62.0,0.06746715203334695,0.011023685285635272,0.07321593812683565,0.8482932245541822
63.0,0.06744475594386479,0.009895465594634133,0.06671456289024336,0.8559452155712578
64.0,0.06764917593293517,0.008913247172861264,0.06074921900240256,0.8626883578918011
65.0,0.06805433954020534,0.00805717520903459,0.05528810174201225,0.8686003835087478
66.0,0.06863849449248814,0.00730465624000498,0.0503052528534671,0.8737515964140399
67.0,0.0693827211284093,0.006638293181313628,0.04577025654397908,0.8782087291462981
68.0,0.07026981702471354,0.006049439153547071,0.041644477469297704,0.8820362663524418
69.0,0.07128499311682852,0.005527956332532844,0.037894729266102524,0.8852923212845362
70.0,0.07241531512577183,0.005063914204946756,0.03449094870203854,0.888029821967243
71.0,0.07364947761333475,0.004648580198006252,0.031404820834987766,0.8902971213536713
72.0,0.07497731899089506,0.0042763906864493224,0.02860727894833291,0.8921390113743228
73.0,0.0763900480396274,0.003941467880120097,0.026072967869191745,0.8935955162110608
74.0,0.07787962257075493,0.0036389963980850873,0.023777888919325856,0.8947034921118342
75.0,0.07943872011206626,0.0033653312229501276,0.021699240793776137,0.8954967078712075
76.0,0.08106062819735184,0.003118386714406807,0.019814804573221125,0.8960061805150203
77.0,0.08273960983503688,0.0028951583944721556,0.018106072758791097,0.8962591590117
78.0,0.08447097979443413,0.0026906083074399127,0.016559534274038827,0.8962788776240872
79.0,0.08625017276317802,0.0025016049285042853,0.015160922547454474,0.8960872997608633
80.0,0.08807271113255964,0.002327059630869039,0.0138950155154528,0.8957052137211186
81.0,0.08993420499752688,0.002167926685747482,0.01274563562237313,0.8951522326943526
82.0,0.09183077311116714,0.0020246886581810593,0.011698851267256519,0.8944456869633953
83.0,0.09375975008927953,0.0018930156738218113,0.010748337435974486,0.8935988968009242
84.0,0.09571834994272492,0.0017710083178850962,0.009885763032286936,0.892624878707103
85.0,0.09770384476640569,0.0016578368732961947,0.009102440305852848,0.8915358780544453
86.0,0.09971357787162388,0.001553659199612747,0.008389428624847598,0.8903433343039159
87.0,0.10174515181704231,0.001458424134902642,0.007738970873588317,0.8890574531744668
88.0,0.10379673803770718,0.0013702354256489259,0.0071464735178039225,0.88768655301884
89.0,0.10586658502095575,0.001287740682930254,0.006607314511251715,0.8862383597848623
90.0,0.10795291864263189,0.0012105062473049177,0.006116307056160349,0.8847202680539029
91.0,0.11005394216708617,0.0011390171888108441,0.005667699603229833,0.8831393410408732
92.0,0.1121679918880434,0.001073801992732038,0.005256242911257812,0.8815019632079669
93.0,0.11429392743343816,0.0010133175524465704,0.004879730568977784,0.8798130244451376
94.0,0.11643061337557258,0.0009566371095923756,0.0045355802134282325,0.8780771693014069
95.0,0.1185768954916325,0.0009034104208650245,0.004220836157204807,0.8762988579302978
